step,time,drone_0_phase,drone_0_is_firing,drone_0_coupling,drone_0_pos_x,drone_0_pos_y,drone_1_phase,drone_1_is_firing,drone_1_coupling,drone_1_pos_x,drone_1_pos_y,drone_2_phase,drone_2_is_firing,drone_2_coupling,drone_2_pos_x,drone_2_pos_y
41,0.41,5.252922,0,-0.063273,4.3888,8.586,4.857365,0,0.076257,0.9418,9.7562,5.239697,0,-0.012984,7.8606,1.2811
42,0.42,5.262293,0,-0.062892,4.3888,8.586,4.868624,0,0.075962,0.9418,9.7562,5.250566,0,-0.01307,7.8606,1.2811
43,0.43,5.271668,0,-0.062513,4.3888,8.586,4.879881,0,0.075668,0.9418,9.7562,5.261434,0,-0.013155,7.8606,1.2811
44,0.44,5.281047,0,-0.062134,4.3888,8.586,4.891135,0,0.075375,0.9418,9.7562,5.272302,0,-0.01324,7.8606,1.2811
45,0.45,5.290429,0,-0.061757,4.3888,8.586,4.902385,0,0.075082,0.9418,9.7562,5.283169,0,-0.013326,7.8606,1.2811
46,0.46,5.299816,0,-0.06138,4.3888,8.586,4.913633,0,0.074791,0.9418,9.7562,5.294035,0,-0.01341,7.8606,1.2811
47,0.47,5.309206,0,-0.061005,4.3888,8.586,4.924878,0,0.0745,0.9418,9.7562,5.3049,0,-0.013495,7.8606,1.2811
48,0.48,5.318599,0,-0.060631,4.3888,8.586,4.93612,0,0.07421,0.9418,9.7562,5.315764,0,-0.013579,7.8606,1.2811
49,0.49,5.327997,0,-0.060258,4.3888,8.586,4.94736,0,0.073921,0.9418,9.7562,5.326627,0,-0.013663,7.8606,1.2811
50,0.5,5.337398,0,-0.059885,4.3888,8.586,4.958596,0,0.073633,0.9418,9.7562,5.33749,0,-0.013747,7.8606,1.2811
51,0.51,5.346803,0,-0.059514,4.3888,8.586,4.969829,0,0.073345,0.9418,9.7562,5.348352,0,-0.013831,7.8606,1.2811
52,0.52,5.356211,0,-0.059145,4.3888,8.586,4.98106,0,0.073059,0.9418,9.7562,5.359212,0,-0.013914,7.8606,1.2811
53,0.53,5.365623,0,-0.058776,4.3888,8.586,4.992288,0,0.072773,0.9418,9.7562,5.370072,0,-0.013998,7.8606,1.2811
54,0.54,5.375039,0,-0.058408,4.3888,8.586,5.003513,0,0.072489,0.9418,9.7562,5.380932,0,-0.014081,7.8606,1.2811
55,0.55,5.384459,0,-0.058041,4.3888,8.586,5.014735,0,0.072205,0.9418,9.7562,5.39179,0,-0.014163,7.8606,1.2811
56,0.56,5.393882,0,-0.057676,4.3888,8.586,5.025954,0,0.071922,0.9418,9.7562,5.402647,0,-0.014246,7.8606,1.2811
57,0.57,5.403309,0,-0.057311,4.3888,8.586,5.03717,0,0.07164,0.9418,9.7562,5.413504,0,-0.014328,7.8606,1.2811
58,0.58,5.41274,0,-0.056948,4.3888,8.586,5.048384,0,0.071358,0.9418,9.7562,5.42436,0,-0.01441,7.8606,1.2811
59,0.59,5.422174,0,-0.056586,4.3888,8.586,5.059595,0,0.071078,0.9418,9.7562,5.435215,0,-0.014492,7.8606,1.2811
60,0.6,5.431612,0,-0.056225,4.3888,8.586,5.070803,0,0.070798,0.9418,9.7562,5.446069,0,-0.014574,7.8606,1.2811
61,0.61,5.441053,0,-0.055864,4.3888,8.586,5.082008,0,0.070519,0.9418,9.7562,5.456923,0,-0.014655,7.8606,1.2811
62,0.62,5.450498,0,-0.055505,4.3888,8.586,5.09321,0,0.070241,0.9418,9.7562,5.467776,0,-0.014736,7.8606,1.2811
63,0.63,5.459946,0,-0.055147,4.3888,8.586,5.10441,0,0.069964,0.9418,9.7562,5.478627,0,-0.014817,7.8606,1.2811
64,0.64,5.469398,0,-0.05479,4.3888,8.586,5.115607,0,0.069688,0.9418,9.7562,5.489478,0,-0.014898,7.8606,1.2811
65,0.65,5.478854,0,-0.054435,4.3888,8.586,5.126801,0,0.069413,0.9418,9.7562,5.500329,0,-0.014978,7.8606,1.2811
66,0.66,5.488313,0,-0.05408,4.3888,8.586,5.137992,0,0.069138,0.9418,9.7562,5.511178,0,-0.015058,7.8606,1.2811
67,0.67,5.497776,0,-0.053726,4.3888,8.586,5.149181,0,0.068864,0.9418,9.7562,5.522027,0,-0.015138,7.8606,1.2811
68,0.68,5.507242,0,-0.053374,4.3888,8.586,5.160367,0,0.068592,0.9418,9.7562,5.532874,0,-0.015218,7.8606,1.2811
69,0.69,5.516712,0,-0.053022,4.3888,8.586,5.17155,0,0.06832,0.9418,9.7562,5.543722,0,-0.015298,7.8606,1.2811
70,0.7,5.526185,0,-0.052672,4.3888,8.586,5.182731,0,0.068049,0.9418,9.7562,5.554568,0,-0.015377,7.8606,1.2811
71,0.71,5.535662,0,-0.052322,4.3888,8.586,5.193908,0,0.067778,0.9418,9.7562,5.565413,0,-0.015456,7.8606,1.2811
72,0.72,5.545142,0,-0.051974,4.3888,8.586,5.205083,0,0.067509,0.9418,9.7562,5.576258,0,-0.015535,7.8606,1.2811
73,0.73,5.554626,0,-0.051627,4.3888,8.586,5.216256,0,0.06724,0.9418,9.7562,5.587102,0,-0.015614,7.8606,1.2811
