event,model,source,t_s
pi_flash,eapf_consensus,pi_oscillator,0.80333
virtual_flash,eapf_consensus,camera,1.124394
virtual_flash,eapf_consensus,camera,1.537725
pi_flash,eapf_consensus,pi_oscillator,1.675813
virtual_flash,eapf_consensus,camera,2.096954
pi_flash,eapf_consensus,pi_oscillator,2.444103
virtual_flash,eapf_consensus,camera,2.539622
virtual_flash,eapf_consensus,camera,3.067771
pi_flash,eapf_consensus,pi_oscillator,3.067771
virtual_flash,eapf_consensus,camera,3.61121
pi_flash,eapf_consensus,pi_oscillator,3.61121
virtual_flash,eapf_consensus,camera,4.162523
pi_flash,eapf_consensus,pi_oscillator,4.162523
virtual_flash,eapf_consensus,camera,4.567483
pi_flash,eapf_consensus,pi_oscillator,4.667449
virtual_flash,eapf_consensus,camera,5.10981
pi_flash,eapf_consensus,pi_oscillator,5.195701
virtual_flash,eapf_consensus,camera,5.658068
pi_flash,eapf_consensus,pi_oscillator,5.723563
virtual_flash,eapf_consensus,camera,6.189958
pi_flash,eapf_consensus,pi_oscillator,6.256816
virtual_flash,eapf_consensus,camera,6.728953
pi_flash,eapf_consensus,pi_oscillator,6.767661
virtual_flash,eapf_consensus,camera,7.284017
pi_flash,eapf_consensus,pi_oscillator,7.284017
virtual_flash,eapf_consensus,camera,7.709645
pi_flash,eapf_consensus,pi_oscillator,7.830647
virtual_flash,eapf_consensus,camera,8.249938
pi_flash,eapf_consensus,pi_oscillator,8.351125
virtual_flash,eapf_consensus,camera,8.796388
pi_flash,eapf_consensus,pi_oscillator,8.879802
virtual_flash,eapf_consensus,camera,9.329684
pi_flash,eapf_consensus,pi_oscillator,9.371585
virtual_flash,eapf_consensus,camera,9.872546
pi_flash,eapf_consensus,pi_oscillator,9.896381
virtual_flash,eapf_consensus,camera,10.319864
pi_flash,eapf_consensus,pi_oscillator,10.445589
virtual_flash,eapf_consensus,camera,10.85013
virtual_flash,eapf_consensus,camera,11.375712
pi_flash,eapf_consensus,pi_oscillator,11.46122
virtual_flash,eapf_consensus,camera,11.947268
pi_flash,eapf_consensus,pi_oscillator,11.988089
virtual_flash,eapf_consensus,camera,12.476597
pi_flash,eapf_consensus,pi_oscillator,12.518806
virtual_flash,eapf_consensus,camera,13.001996
pi_flash,eapf_consensus,pi_oscillator,13.024386
virtual_flash,eapf_consensus,camera,13.548276
pi_flash,eapf_consensus,pi_oscillator,13.548276
virtual_flash,eapf_consensus,camera,14.084642
pi_flash,eapf_consensus,pi_oscillator,14.084642
pi_flash,eapf_consensus,pi_oscillator,14.607889
virtual_flash,eapf_consensus,camera,14.719601
pi_flash,eapf_consensus,pi_oscillator,15.157932
virtual_flash,eapf_consensus,camera,15.264557
virtual_flash,eapf_consensus,camera,15.70473
pi_flash,eapf_consensus,pi_oscillator,15.70473
virtual_flash,eapf_consensus,camera,16.148651
pi_flash,eapf_consensus,pi_oscillator,16.208142
virtual_flash,eapf_consensus,camera,16.687274
pi_flash,eapf_consensus,pi_oscillator,16.732369
virtual_flash,eapf_consensus,camera,17.235038
pi_flash,eapf_consensus,pi_oscillator,17.259718
virtual_flash,eapf_consensus,camera,17.766658
pi_flash,eapf_consensus,pi_oscillator,17.791504
virtual_flash,eapf_consensus,camera,18.325194
pi_flash,eapf_consensus,pi_oscillator,18.325194
pi_flash,eapf_consensus,pi_oscillator,18.848923
virtual_flash,eapf_consensus,camera,18.942273
virtual_flash,eapf_consensus,camera,19.395334
pi_flash,eapf_consensus,pi_oscillator,19.395334
virtual_flash,eapf_consensus,camera,19.950356
pi_flash,eapf_consensus,pi_oscillator,19.950356
pi_flash,eapf_consensus,pi_oscillator,20.45971
virtual_flash,eapf_consensus,camera,20.565467
pi_flash,eapf_consensus,pi_oscillator,21.029422
virtual_flash,eapf_consensus,camera,21.120294
pi_flash,eapf_consensus,pi_oscillator,21.557518
virtual_flash,eapf_consensus,camera,22.038891
pi_flash,eapf_consensus,pi_oscillator,22.120638
virtual_flash,eapf_consensus,camera,22.541727
pi_flash,eapf_consensus,pi_oscillator,22.649619
virtual_flash,eapf_consensus,camera,23.0994
pi_flash,eapf_consensus,pi_oscillator,23.18389
virtual_flash,eapf_consensus,camera,23.645915
pi_flash,eapf_consensus,pi_oscillator,23.709979
virtual_flash,eapf_consensus,camera,24.172813
pi_flash,eapf_consensus,pi_oscillator,24.262055
virtual_flash,eapf_consensus,camera,24.73999
pi_flash,eapf_consensus,pi_oscillator,24.811562
virtual_flash,eapf_consensus,camera,25.249951
pi_flash,eapf_consensus,pi_oscillator,25.31774
virtual_flash,eapf_consensus,camera,25.792209
pi_flash,eapf_consensus,pi_oscillator,25.860905
virtual_flash,eapf_consensus,camera,26.339327
virtual_flash,eapf_consensus,camera,26.779485
pi_flash,eapf_consensus,pi_oscillator,26.916919
virtual_flash,eapf_consensus,camera,27.313748
pi_flash,eapf_consensus,pi_oscillator,27.439604
virtual_flash,eapf_consensus,camera,27.859882
pi_flash,eapf_consensus,pi_oscillator,27.967073
virtual_flash,eapf_consensus,camera,28.391086
pi_flash,eapf_consensus,pi_oscillator,28.458115
virtual_flash,eapf_consensus,camera,28.950443
pi_flash,eapf_consensus,pi_oscillator,28.992683
virtual_flash,eapf_consensus,camera,29.477084
pi_flash,eapf_consensus,pi_oscillator,29.522982
