K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
3.0,0,0.019568878,0.19766543,0.033,0.477468662,0,0,0,2.094378291,2.0,0.5,2.539388497,2.774671817,2.340412709,0.434259108,0.434259108,0,0.033485,,0.198975787
3.0,0,0.017666157,0.178446034,0.033,0.479569913,0,0,0,2.085201705,2.094378291,0.5,2.954078727,3.207028205,2.774671817,0.432356388,0.432356388,0,0.067066,,0.17940691
3.0,0,0.015942612,0.161036483,0.033,0.481489322,0,0,0,2.076889257,2.085201705,0.5,3.368768957,3.637661047,3.207028205,0.430632842,0.430632842,0,0.100586,,0.161740752
3.0,0,0.014382933,0.145282149,0.033,0.483239534,0,0,0,2.069367116,2.076889257,0.5,3.783459188,4.06673421,3.637661047,0.429073163,0.429073163,0,0.134122,,0.145798141
3.0,0,0.012972691,0.131037279,0.033,0.484833043,0,0,0,2.062565692,2.069367116,0.5,4.198149418,4.494397131,4.06673421,0.427662921,0.427662921,0,0.167485,,0.131415208
3.0,0,0.011698412,0.118165781,0.033,0.486281984,0,0,0,2.056420004,2.062565692,0.5,4.612839648,4.920785773,4.494397131,0.426388643,0.426388643,0,0.201011,,0.118442517
3.0,0,0.010547609,0.106541508,0.033,0.487597988,0,0,0,2.050869823,2.056420004,0.5,5.027529878,5.346023613,4.920785773,0.42523784,0.42523784,0,0.234349,,0.106744105
3.0,0,0.009508772,0.096048201,0.033,0.488792086,0,0,0,2.045859638,2.050869823,0.5,5.442220109,5.770222615,5.346023613,0.424199002,0.424199002,0,0.267994,,0.096196496
3.0,0,0.00857134,0.086579192,0.033,0.489874654,0,0,0,2.041338519,2.045859638,0.5,5.856910339,6.193484185,5.770222615,0.42326157,0.42326157,0,0.301501,,0.086687724
3.0,0,0.007725659,0.078036962,0.033,0.490855388,1,1,1,2.037259905,2.041338519,0.5,6.271600569,0.332714768,6.193484185,0.422415889,0.422415889,0,0.33508,,0.078116384
3.0,0,0.006962928,0.07033261,0.033,0.491743299,1,0,0,2.033581348,2.037259905,0.5,0.403105492,0.754367926,0.332714768,0.421653159,0.421653159,0,0.368325,,0.070390725
3.0,0,0.006275142,0.063385276,0.033,0.492546724,1,0,0,2.03026424,2.033581348,0.5,0.817795723,1.175333299,0.754367926,0.420965373,0.420965373,0,0.401869,,0.063427796
3.0,0,0.005655033,0.057121545,0.033,0.493273348,1,0,0,2.027273529,2.03026424,0.5,1.232485953,1.595678562,1.175333299,0.420345263,0.420345263,0,0.435449,,0.057152654
3.0,0,0.005096011,0.051474862,0.033,0.493930231,1,0,0,2.024577436,2.027273529,0.5,1.647176183,2.015464804,1.595678562,0.419786242,0.419786242,0,0.469011,,0.051497621
