t_s,frequency_hz,phase_rad,fire_count,received_pi_flashes,feedback_enabled,flash_on,raw_flash_on
0.016073,2.0,0.0,0,1,True,False,False
0.202698,2.0,2.486482620722021,0,2,True,False,False
0.424661,2.0,5.38931423263899,0,3,True,False,False
0.601764,2.001484496286102,1.1814010036823053,1,4,True,True,True
0.827051,2.0041506516159417,4.095646200965789,1,6,True,False,False
1.001595,2.0041506516159417,6.173400439021054,1,6,True,False,False
1.21865,2.0041506516159417,2.383520217507788,2,7,True,True,False
1.401518,2.0082578590875695,4.8772942371384955,2,8,True,False,False
1.639804,2.0082578590875695,1.5089261290789542,3,9,True,True,False
1.80147,2.0129977938540966,3.584137018647072,3,10,True,False,False
2.002839,2.0129977938540966,6.0884485746694095,3,11,True,False,False
2.216248,2.018728636306122,2.306039456507282,4,12,True,True,False
2.433539,2.0248412389322974,5.232661289626901,4,14,True,False,False
2.601581,2.0248412389322974,1.048680681549385,5,14,True,True,True
2.824392,2.031525978726857,3.9940354784349466,5,16,True,False,False
3.027076,2.031525978726857,0.23821209903202334,6,16,True,True,True
3.202776,2.031525978726857,2.3443470388459096,6,17,True,True,False
3.417907,2.038641689296946,4.873198284166651,6,18,True,False,False
3.619925,2.038641689296946,1.1262273517283437,7,19,True,True,True
3.801572,2.0460737136451774,3.65924079992599,7,20,True,False,False
4.027571,2.0460737136451774,6.2047011383323785,7,21,True,False,False
4.214081,2.053657837428259,2.4647310707590644,8,22,True,True,False
4.419278,2.053657837428259,5.0196265952795445,8,23,True,False,False
4.60165,2.06140452775436,1.2946327726568476,9,24,True,True,False
4.803038,2.06140452775436,3.8591657275629005,9,25,True,False,False
5.014947,2.0693465189061815,0.152945244758933,10,26,True,True,True
5.217534,2.0693465189061815,2.7273585980837325,10,27,True,True,False
5.419808,2.0774129827539727,5.326000255348859,10,28,True,False,False
5.602981,2.0774129827539727,1.6272635527456802,11,29,True,True,True
5.801785,2.085546427062143,4.224604762758596,11,30,True,False,False
6.002526,2.093701253802389,0.5374110578383602,12,32,True,True,True
6.217871,2.093701253802389,3.1421234230302604,12,32,True,True,False
6.421068,2.093701253802389,5.746835788222162,12,33,True,False,False
