follower_initial_freq_hz,n_trials,success_rate,mean_time_to_sync_s,std_time_to_sync_s,mean_steady_state_mae_s,std_steady_state_mae_s,mean_jitter_s,mean_final_frequency_error_hz,mean_convergence_quality
1.5,1,0.0,,,0.098,,0.011662,0.030457,0.0
2.3,1,1.0,2.45,,0.052,,0.004,0.015873,1.0
