t,frame_id,roi_intensity,normalized_signal,detected_flash_state,leader_flash_event,detected_flash_time,detection_confidence,roi_x,roi_y,roi_w,roi_h,camera_processing_time_ms
2e-06,1,171.0,0.0,0,0,,0.0,,,,,104.9
0.105215,2,137.0,0.0,0,0,,0.0,,,,,77.54
0.183002,3,138.0,0.0,0,0,,0.0,,,,,85.62
0.268879,4,140.0,0.0,0,0,,0.0,,,,,59.55
0.328696,5,172.67,0.0,0,0,,0.0,,,,,60.8
0.389756,6,169.67,0.0,0,0,,0.0,,,,,59.22
0.449234,7,168.33,0.0,0,0,,0.0,,,,,60.2
0.509729,8,169.33,0.0,0,0,,0.0,,,,,63.2
0.573196,9,135.67,0.0,0,0,,0.0,,,,,67.87
0.641333,10,136.33,0.0019,0,0,,0.0,,,,,65.04
0.706627,11,137.33,0.0288,0,0,,0.0,,,,,61.19
0.768066,12,139.33,0.0851,0,0,,0.0,,,,,58.63
0.82695,13,172.67,1.0,1,1,0.82695,0.0,,,,,59.79
0.886999,14,171.0,0.9672,1,0,,0.0,,,,,60.3
0.947556,15,169.67,0.9341,1,0,,0.0,,,,,58.93
1.006816,16,170.33,0.9572,1,0,,0.0,,,,,64.33
1.071367,17,136.0,0.0,0,0,,0.0,,,,,67.28
1.138913,18,137.67,0.0408,0,0,,0.0,,,,,65.79
1.204955,19,137.33,0.0304,0,0,,0.0,,,,,60.04
1.26525,20,138.67,0.0681,0,0,,0.4704,,,,,60.07
1.325564,21,172.33,1.0,1,1,1.325564,0.5149,,,,,60.03
1.385952,22,171.0,0.9666,1,0,,0.5437,,,,,59.89
1.446093,23,169.0,0.9139,1,0,,0.5633,,,,,59.32
1.505664,24,171.0,0.9737,1,0,,0.5802,,,,,63.74
1.569658,25,136.67,0.0058,0,0,,0.6007,,,,,67.85
1.637767,26,138.67,0.0617,0,0,,0.6143,,,,,65.69
1.703706,27,138.67,0.061,0,0,,0.6259,,,,,59.73
1.763674,28,140.67,0.1178,0,0,,0.6341,,,,,60.24
1.82424,29,172.67,1.0,1,1,1.82424,0.6547,,,,,60.1
1.884622,30,172.33,0.999,1,0,,0.6688,,,,,60.27
1.945142,31,170.33,0.9439,1,0,,0.6779,,,,,59.66
2.005053,32,171.67,0.9815,1,0,,0.6882,,,,,62.84
2.068141,33,136.67,0.0,0,0,,0.6983,,,,,67.82
2.13621,34,138.33,0.0466,0,0,,0.7045,,,,,67.15
2.203605,35,138.33,0.0466,0,0,,0.7096,,,,,60.27
2.264119,36,139.0,0.0653,0,0,,0.7115,,,,,60.44
2.324902,37,172.67,1.0,1,1,2.324902,0.724,,,,,59.17
2.384364,38,171.67,0.9787,1,0,,0.7348,,,,,59.82
2.444435,39,169.67,0.9236,1,0,,0.7424,,,,,59.71
2.504401,40,171.33,0.971,1,0,,0.7499,,,,,63.69
2.568347,41,136.33,0.0,0,0,,0.7562,,,,,67.74
2.636343,42,138.33,0.0466,0,0,,0.7607,,,,,65.95
2.702543,43,137.67,0.028,0,0,,0.7642,,,,,60.74
2.763521,44,138.33,0.0466,0,0,,0.7668,,,,,59.47
2.82333,45,172.0,0.9907,1,1,2.82333,0.7753,,,,,59.67
2.883254,46,170.0,0.9347,1,0,,0.7826,,,,,60.44
2.943946,47,168.33,0.8878,1,0,,0.7879,,,,,59.0
3.003198,48,169.33,0.9159,1,0,,0.7939,,,,,63.67
3.067121,49,135.33,0.0,0,0,,0.7977,,,,,67.26
3.134635,50,136.67,0.001,0,0,,0.7996,,,,,66.88
3.201755,51,137.33,0.0185,0,0,,0.8025,,,,,59.35
3.261355,52,138.67,0.0561,0,0,,0.8054,,,,,60.32
3.322029,53,171.67,0.9833,1,1,3.322029,0.8108,,,,,59.22
3.381541,54,171.33,0.9747,1,0,,0.8136,,,,,60.31
3.4421,55,169.67,0.9288,1,0,,0.8156,,,,,59.85
3.502226,56,170.67,0.9579,1,0,,0.8176,,,,,62.36
3.56484,57,136.0,0.0,0,0,,0.822,,,,,68.57
3.633663,58,137.33,0.0214,0,0,,0.8254,,,,,65.81
3.699713,59,137.33,0.0205,0,0,,0.8279,,,,,60.54
3.760498,60,138.33,0.0479,0,0,,0.8294,,,,,59.92
3.820795,61,171.67,0.9907,1,1,3.820795,0.8333,,,,,59.5
3.880577,62,171.0,0.9726,1,0,,0.8369,,,,,60.0
3.940821,63,170.0,0.9452,1,0,,0.8393,,,,,59.49
4.000564,64,171.0,0.9744,1,0,,0.8418,,,,,63.01
4.063824,65,137.0,0.0094,0,0,,0.8451,,,,,67.85
4.131932,66,138.67,0.0569,0,0,,0.848,,,,,66.32
4.198499,67,138.67,0.0569,0,0,,0.8506,,,,,60.59
4.259337,68,140.0,0.0949,0,0,,0.853,,,,,59.25
4.318944,69,172.33,1.0,1,1,4.318944,0.8555,,,,,60.17
4.379362,70,171.67,0.9897,1,0,,0.8577,,,,,59.1
4.438708,71,170.33,0.9527,1,0,,0.8597,,,,,60.17
4.499127,72,171.0,0.9726,1,0,,0.8619,,,,,63.59
4.562972,73,136.33,0.0,0,0,,0.8632,,,,,67.79
4.631012,74,138.0,0.0378,0,0,,0.8641,,,,,66.65
4.697916,75,138.0,0.0378,0,0,,0.8649,,,,,60.32
4.758484,76,139.0,0.0663,0,0,,0.8653,,,,,60.51
4.819355,77,172.0,1.0,1,1,4.819355,0.8681,,,,,59.46
4.879116,78,171.67,0.9907,1,0,,0.8703,,,,,59.5
4.938857,79,170.33,0.9527,1,0,,0.8721,,,,,60.22
4.999329,80,172.0,1.0,1,0,,0.8733,,,,,62.95
5.062527,81,136.67,0.0,0,0,,0.8999,,,,,67.93
5.130703,82,138.67,0.0566,0,0,,0.8996,,,,,66.02
5.196969,83,138.0,0.0376,0,0,,0.8991,,,,,60.84
5.258051,84,139.0,0.0659,0,0,,0.9001,,,,,59.44
5.31787,85,172.0,1.0,1,1,5.31787,0.9001,,,,,60.58
5.378697,86,170.67,0.9624,1,0,,0.9005,,,,,58.78
5.437723,87,168.67,0.9057,1,0,,0.9006,,,,,60.42
5.498412,88,169.33,0.9244,1,0,,0.9016,,,,,63.51
5.562198,89,135.33,0.0,0,0,,0.9005,,,,,67.0
5.629452,90,136.33,0.0,0,0,,0.8988,,,,,66.93
5.696635,91,137.0,0.0093,0,0,,0.899,,,,,60.15
5.757026,92,138.0,0.0376,0,0,,0.8982,,,,,59.89
5.817296,93,171.67,0.9907,1,1,5.817296,0.8982,,,,,59.41
5.876998,94,170.67,0.9624,1,0,,0.8982,,,,,60.06
5.937311,95,169.67,0.9341,1,0,,0.8973,,,,,59.6
5.997163,96,170.67,0.9624,1,0,,0.8969,,,,,63.36
6.060768,97,136.0,0.0,0,0,,0.8975,,,,,67.56
6.128577,98,137.33,0.0187,0,0,,0.8986,,,,,66.44
6.195264,99,137.0,0.0093,0,0,,0.8994,,,,,60.51
6.256021,100,138.33,0.047,0,0,,0.9005,,,,,60.1
6.316519,101,171.33,0.981,1,1,6.316519,0.9023,,,,,59.77
6.376574,102,170.0,0.9523,1,0,,0.9022,,,,,59.7
6.436517,103,169.33,0.9331,1,0,,0.9012,,,,,60.06
6.496831,104,171.0,0.9809,1,0,,0.9004,,,,,63.06
6.560142,105,136.67,0.0,0,0,,0.9005,,,,,67.77
6.628164,106,138.67,0.0571,0,0,,0.9011,,,,,66.18
6.694588,107,138.67,0.0571,0,0,,0.902,,,,,61.03
6.755863,108,140.0,0.0951,0,0,,0.9027,,,,,59.51
6.815774,109,172.0,1.0,1,1,6.815774,0.9018,,,,,59.18
6.875219,110,171.33,0.9903,1,0,,0.9006,,,,,60.93
6.936397,111,170.33,0.9617,1,0,,0.9001,,,,,59.24
6.99589,112,171.67,1.0,1,0,,0.9003,,,,,63.84
7.059978,113,136.67,0.0,0,0,,0.9004,,,,,68.25
7.128481,114,138.0,0.038,0,0,,0.8994,,,,,65.53
7.194276,115,137.67,0.0286,0,0,,0.8988,,,,,61.65
7.256165,116,138.67,0.0571,0,0,,0.8974,,,,,59.26
7.315833,117,172.0,1.0,1,1,7.315833,0.8974,,,,,59.7
7.375786,118,171.0,0.9809,1,0,,0.8979,,,,,59.81
7.435837,119,170.0,0.9523,1,0,,0.8992,,,,,60.29
7.496373,120,171.67,1.0,1,0,,0.9004,,,,,62.92
7.559538,121,136.33,0.0,0,0,,0.9018,,,,,68.56
7.628348,122,138.0,0.038,0,0,,0.9007,,,,,66.8
7.695396,123,137.33,0.0189,0,0,,0.8995,,,,,60.48
7.756119,124,138.33,0.0474,0,0,,0.8989,,,,,59.35
7.815875,125,171.0,0.9809,1,1,7.815875,0.8999,,,,,60.46
7.876588,126,169.67,0.9429,1,0,,0.9007,,,,,59.13
7.935967,127,169.0,0.9237,1,0,,0.9003,,,,,59.98
7.996191,128,169.67,0.9429,1,0,,0.901,,,,,63.69
8.060135,129,135.0,0.0,0,0,,0.8997,,,,,67.12
8.127521,130,136.67,0.0,0,0,,0.899,,,,,67.08
8.194838,131,137.0,0.0094,0,0,,0.8993,,,,,59.96
8.255042,132,138.33,0.0474,0,0,,0.8991,,,,,60.13
8.315594,133,171.67,1.0,1,1,8.315594,0.8985,,,,,59.57
8.375448,134,170.67,0.9714,1,0,,0.8976,,,,,59.36
8.435054,135,169.67,0.9429,1,0,,0.8972,,,,,61.02
8.496322,136,170.67,0.9714,1,0,,0.8963,,,,,62.42
8.558993,137,136.0,0.0,0,0,,0.8973,,,,,68.34
8.627589,138,137.33,0.0189,0,0,,0.8984,,,,,65.68
8.693519,139,137.33,0.0189,0,0,,0.8996,,,,,61.04
8.754801,140,137.67,0.0286,0,0,,0.9001,,,,,60.55
8.815777,141,171.33,0.9903,1,1,8.815777,0.9017,,,,,59.49
8.875556,142,170.33,0.9617,1,0,,0.9012,,,,,59.39
8.935192,143,169.0,0.9237,1,0,,0.9009,,,,,60.02
8.995469,144,170.67,0.9714,1,0,,0.9008,,,,,64.15
9.059872,145,136.33,0.0,0,0,,0.9011,,,,,67.88
9.128,146,138.67,0.0571,0,0,,0.9013,,,,,67.4
9.195639,147,138.67,0.0571,0,0,,0.9018,,,,,60.33
9.256216,148,140.0,0.0951,0,0,,0.9026,,,,,60.36
9.317008,149,172.0,1.0,1,1,9.317008,0.902,,,,,59.95
9.377267,150,171.33,0.9903,1,0,,0.9014,,,,,59.26
9.436773,151,170.67,0.9714,1,0,,0.9,,,,,60.03
9.497051,152,171.67,1.0,1,0,,0.8995,,,,,63.49
9.560784,153,136.67,0.0,0,0,,0.8989,,,,,67.67
9.6287,154,138.33,0.0474,0,0,,0.8986,,,,,67.06
9.69601,155,138.0,0.038,0,0,,0.8986,,,,,60.97
9.757225,156,139.0,0.0666,0,0,,0.8978,,,,,60.4
9.818076,157,172.0,1.0,1,1,9.818076,0.8984,,,,,59.17
9.877535,158,171.33,0.9903,1,0,,0.8983,,,,,59.78
9.937564,159,170.67,0.9714,1,0,,0.8989,,,,,59.67
9.997488,160,171.67,1.0,1,0,,0.9003,,,,,63.16
10.0609,161,137.0,0.0094,0,0,,0.9025,,,,,68.26
10.129409,162,138.0,0.038,0,0,,0.901,,,,,66.74
10.196397,163,137.67,0.0286,0,0,,0.8993,,,,,60.73
10.257372,164,138.33,0.0474,0,0,,0.8981,,,,,59.69
10.317516,165,171.0,0.9809,1,1,10.317516,0.8983,,,,,59.86
10.377664,166,169.67,0.9429,1,0,,0.8994,,,,,59.54
10.437446,167,168.67,0.9143,1,0,,0.9004,,,,,60.29
10.497982,168,169.33,0.9331,1,0,,0.9014,,,,,62.71
10.560934,169,135.0,0.0,0,0,,0.8996,,,,,67.21
10.628393,170,136.33,0.0,0,0,,0.8986,,,,,67.21
10.695847,171,137.0,0.0094,0,0,,0.8988,,,,,60.54
10.756638,172,138.33,0.0474,0,0,,0.8986,,,,,59.78
10.816864,173,171.67,1.0,1,1,10.816864,0.8984,,,,,59.61
10.876775,174,170.67,0.9714,1,0,,0.8977,,,,,59.75
10.936764,175,169.67,0.9429,1,0,,0.8974,,,,,59.55
10.996555,176,170.67,0.9714,1,0,,0.8968,,,,,63.28
11.060081,177,136.33,0.0,0,0,,0.8979,,,,,68.02
11.128356,178,137.67,0.0286,0,0,,0.8992,,,,,66.49
11.195085,179,137.33,0.0189,0,0,,0.9004,,,,,60.2
11.255521,180,138.0,0.038,0,0,,0.9013,,,,,60.91
11.316899,181,171.33,0.9903,1,1,11.316899,0.9012,,,,,58.93
11.376115,182,170.33,0.9617,1,0,,0.9025,,,,,60.08
11.436435,183,169.67,0.9429,1,0,,0.9016,,,,,59.53
11.496214,184,171.0,0.9809,1,0,,0.9009,,,,,63.29
11.559756,185,137.0,0.0094,0,0,,0.9008,,,,,67.23
11.627231,186,138.33,0.0474,0,0,,0.9011,,,,,67.51
11.694985,187,138.67,0.0571,0,0,,0.8998,,,,,60.58
11.755813,188,139.67,0.0857,0,0,,0.9018,,,,,59.92
11.8162,189,172.0,1.0,1,1,11.8162,0.8996,,,,,59.11
11.875601,190,171.0,0.9809,1,0,,0.8993,,,,,60.32
11.936168,191,170.67,0.9714,1,0,,0.8998,,,,,60.01
11.99642,192,171.67,1.0,1,0,,0.8983,,,,,62.3
12.058966,193,136.67,0.0,0,0,,0.8993,,,,,68.45
12.127663,194,137.67,0.0286,0,0,,0.8984,,,,,67.08
12.194986,195,137.67,0.0286,0,0,,0.8963,,,,,60.87
12.256101,196,139.0,0.0666,0,0,,0.8969,,,,,59.52
12.316097,197,171.67,1.0,1,1,12.316097,0.8966,,,,,60.08
12.376433,198,171.0,0.9809,1,0,,0.8976,,,,,59.27
12.435949,199,170.33,0.9617,1,0,,0.8986,,,,,60.16
12.49636,200,172.0,1.0,1,0,,0.8998,,,,,64.03
12.560643,201,136.67,0.0,0,0,,0.8989,,,,,68.22
12.62913,202,138.33,0.0474,0,0,,0.8983,,,,,66.17
12.695543,203,138.0,0.038,0,0,,0.8982,,,,,61.16
12.756949,204,138.67,0.0571,0,0,,0.8979,,,,,60.37
12.817814,205,171.33,0.9903,1,1,12.817814,0.8977,,,,,60.16
12.878289,206,170.0,0.9523,1,0,,0.8978,,,,,59.13
12.937661,207,168.67,0.9143,1,0,,0.8984,,,,,59.73
12.997644,208,169.67,0.9429,1,0,,0.8993,,,,,62.85
13.060743,209,135.33,0.0,0,0,,0.899,,,,,68.07
13.129063,210,137.0,0.0094,0,0,,0.8984,,,,,66.33
13.195634,211,137.0,0.0094,0,0,,0.8979,,,,,61.08
13.25696,212,138.33,0.0474,0,0,,0.8972,,,,,59.57
13.317021,213,171.67,1.0,1,1,13.317021,0.8972,,,,,59.71
13.377021,214,170.67,0.9714,1,0,,0.8969,,,,,60.1
