t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
1.7e-05,0.000246,2.3,0.0,0,0.017
1.059819,2.749414,2.3,0.0,1,1059.802
1.11739,3.581404,2.3,0.0,0,57.572
1.216297,5.010739,2.3,0.0,0,98.907
1.31272,0.120983,2.3,0.0,1,96.422
1.406501,1.476245,2.3,0.0,0,93.781
1.469691,2.389427,2.3,0.0,0,63.19
1.525968,3.202704,2.3,0.0,0,56.277
1.598419,4.249724,2.3,0.0,0,72.451
1.679464,5.42093,2.3,0.0,0,81.045
1.772003,0.475051,2.3,0.0,1,92.539
1.866191,1.836201,2.3,0.0,0,94.189
1.932416,2.793237,2.3,0.0,0,66.225
1.99345,3.66408,2.3,-2.793237,0,61.034
2.064981,4.677734,2.3,-2.782064,0,71.531
2.140813,5.746503,2.3,-2.761998,0,75.832
2.229011,0.705273,2.3,-2.734896,1,88.198
2.323101,2.028099,2.3,-2.702276,0,94.09
2.394203,3.015429,2.3,-2.66537,0,71.102
2.460103,3.923302,2.299372,-3.08047,0,65.9
2.551181,5.191058,2.298243,-3.125531,0,91.078
2.641859,0.191292,2.296719,3.117238,1,90.678
2.724493,1.375228,2.294885,3.063378,0,82.635
2.818344,2.733579,2.292809,2.982308,0,93.851
2.909786,4.066546,2.290549,2.891093,0,91.442
2.97442,5.017721,2.287734,2.114402,0,64.634
3.065287,0.065265,2.284487,1.951305,1,90.867
3.141244,1.182438,2.280906,1.809468,0,75.957
3.229815,2.479905,2.277073,1.647829,0,88.572
3.324675,3.865489,2.273053,1.477699,0,94.86
3.396001,4.91227,2.2689,1.344314,0,71.326
3.460382,5.857699,2.264734,1.285511,0,64.381
3.534596,0.657297,2.260572,1.161385,1,74.214
3.606984,1.711037,2.256432,1.042404,0,72.388
3.685983,2.855178,2.252326,0.918232,0,78.999
3.77704,4.166214,2.248262,0.782801,0,91.056
3.872269,5.531977,2.244249,0.646393,0,95.229
3.938585,0.20253,2.240293,0.548164,1,66.316
3.997489,1.045397,2.236165,-0.29167,0,58.904
4.071198,2.090355,2.231915,-0.41503,0,73.71
4.145188,3.133276,2.227585,-0.532425,0,73.989
4.229837,4.319682,2.223209,-0.659094,0,84.649
4.32356,5.627008,2.218813,-0.792491,0,93.723
4.39552,0.341985,2.214419,-0.889808,1,71.96
4.459739,1.229831,2.210277,-0.405191,0,64.218
4.53497,2.268195,2.206353,-0.471613,0,75.231
4.60747,3.265996,2.20262,-0.532878,0,72.5
4.687755,4.368881,2.199054,-0.598679,0,80.284
4.779073,5.621379,2.195636,-0.671533,0,91.318
4.874797,0.648384,2.19235,-0.745199,1,95.724
4.941263,1.552477,2.189183,-0.791018,0,66.466
4.999645,2.339862,2.185891,-1.622079,0,58.382
5.072689,3.323778,2.182511,-1.691986,0,73.044
5.147519,4.327446,2.179075,-1.758759,0,74.829
5.232501,5.465672,2.175608,-1.832201,0,84.982
5.326718,0.442527,2.172129,-1.91118,1,94.218
5.398517,1.392274,2.168655,-1.961192,0,71.799
5.463256,2.244435,2.1652,-1.461104,0,64.739
5.538004,3.231315,2.161772,-1.508981,0,74.748
5.611052,4.193294,2.158381,-1.553475,0,73.048
5.691115,5.248472,2.155032,-1.603204,0,80.063
5.782518,0.17181,2.15173,-1.661968,1,91.403
5.877932,1.429995,2.14848,-1.722144,0,95.414
5.944136,2.291268,2.145283,-1.752354,0,66.204
6.002588,3.04375,2.141965,-2.361187,0,58.451
6.075876,3.992133,2.138562,-2.411931,0,73.289
6.151776,4.971773,2.135104,-2.461552,0,75.899
6.241772,6.136834,2.131618,-2.523232,0,89.997
6.337756,1.095028,2.128122,-2.587539,1,95.984
6.407086,1.976256,2.124632,-2.618832,0,69.33
6.469819,2.768954,2.121307,-2.028787,0,62.733
6.543639,3.708878,2.118127,-2.044298,0,73.82
6.616697,4.637763,2.115077,-2.058504,0,73.059
6.701066,5.715914,2.112141,-2.080663,0,84.369
6.795781,0.646801,2.10931,-2.10948,1,94.715
6.889456,1.845435,2.106573,-2.136015,0,93.675
6.952733,2.640136,2.103922,-2.138968,0,63.277
7.01102,3.365646,2.101334,-2.682971,0,58.287
7.080273,4.233247,2.098806,-2.687736,0,69.253
7.159696,5.232422,2.096336,-2.696798,0,79.423
7.250676,0.098197,2.093923,-2.711133,1,90.98
7.347128,1.316753,2.091564,-2.72656,0,96.453
7.416548,2.177817,2.089259,-2.721763,0,69.42
7.479793,2.958184,2.086993,-2.219675,0,63.245
7.554046,3.8831,2.084769,-2.217904,0,74.253
7.627565,4.798256,2.082585,-2.21573,0,73.519
7.711771,5.852939,2.080444,-2.220061,0,84.206
7.806962,0.767409,2.078345,-2.230615,1,95.191
7.90227,1.965717,2.076288,-2.240496,0,95.309
7.966444,2.758043,2.074711,-1.958853,0,64.174
8.023785,3.461992,2.073523,-1.907283,0,57.34
8.095023,4.347872,2.072652,-1.854901,0,71.239
8.173473,5.328517,2.072038,-1.802479,0,78.45
8.264867,0.195386,2.071632,-1.749262,1,91.394
8.361127,1.409733,2.071394,-1.696352,0,96.261
8.429364,2.260336,2.071291,-1.648332,0,68.237
8.491862,3.034523,2.070828,-2.297697,0,62.498
8.565135,3.947351,2.070079,-2.302102,0,73.273
8.641015,4.892622,2.069104,-2.306328,0,75.879
