agent_id,event_type,normalized_signal,raw_brightness,roi_id,t_s
V0,pi_detected_virtual_flash,0.9737,56.0,0,25.687916
V1,pi_detected_virtual_flash,0.9767,50.0,1,25.721221
V1,pi_detected_virtual_flash,0.9767,50.0,1,26.121016
V0,pi_detected_virtual_flash,0.9737,56.0,0,26.354257
V1,pi_detected_virtual_flash,0.9767,50.0,1,26.520819
V1,pi_detected_virtual_flash,0.9767,50.0,1,26.920604
V0,pi_detected_virtual_flash,0.9737,56.0,0,27.020573
V1,pi_detected_virtual_flash,0.9767,50.0,1,27.320424
V0,pi_detected_virtual_flash,0.9474,55.0,0,27.686898
V1,pi_detected_virtual_flash,0.9767,50.0,1,27.720207
V1,pi_detected_virtual_flash,0.9767,50.0,1,28.120006
V0,pi_detected_virtual_flash,0.9737,56.0,0,28.353236
V1,pi_detected_virtual_flash,0.9767,50.0,1,28.519797
V1,pi_detected_virtual_flash,0.9767,50.0,1,28.919585
V0,pi_detected_virtual_flash,0.9211,54.0,0,29.019549
V1,pi_detected_virtual_flash,1.0,51.0,1,29.319421
V0,pi_detected_virtual_flash,0.9211,54.0,0,29.685883
V1,pi_detected_virtual_flash,0.9767,50.0,1,29.719198
