event,model,source,t_s
pi_flash,eapf_consensus,pi_oscillator,0.67851
virtual_flash,eapf_consensus,camera,0.878268
virtual_flash,eapf_consensus,camera,1.382985
pi_flash,eapf_consensus,pi_oscillator,1.382985
virtual_flash,eapf_consensus,camera,1.813817
pi_flash,eapf_consensus,pi_oscillator,2.003284
virtual_flash,eapf_consensus,camera,2.35553
pi_flash,eapf_consensus,pi_oscillator,2.573119
virtual_flash,eapf_consensus,camera,2.898404
pi_flash,eapf_consensus,pi_oscillator,3.105882
virtual_flash,eapf_consensus,camera,3.465266
pi_flash,eapf_consensus,pi_oscillator,3.569578
virtual_flash,eapf_consensus,camera,3.877592
pi_flash,eapf_consensus,pi_oscillator,4.118561
virtual_flash,eapf_consensus,camera,4.441059
pi_flash,eapf_consensus,pi_oscillator,4.5733
virtual_flash,eapf_consensus,camera,4.966589
virtual_flash,eapf_consensus,camera,5.406642
pi_flash,eapf_consensus,pi_oscillator,5.590931
virtual_flash,eapf_consensus,camera,5.942679
virtual_flash,eapf_consensus,camera,6.49007
pi_flash,eapf_consensus,pi_oscillator,6.599247
virtual_flash,eapf_consensus,camera,7.061657
pi_flash,eapf_consensus,pi_oscillator,7.13576
virtual_flash,eapf_consensus,camera,7.481538
pi_flash,eapf_consensus,pi_oscillator,7.621542
virtual_flash,eapf_consensus,camera,8.020403
virtual_flash,eapf_consensus,camera,8.567964
pi_flash,eapf_consensus,pi_oscillator,8.631511
virtual_flash,eapf_consensus,camera,9.097064
pi_flash,eapf_consensus,pi_oscillator,9.153077
virtual_flash,eapf_consensus,camera,9.655711
pi_flash,eapf_consensus,pi_oscillator,9.69033
virtual_flash,eapf_consensus,camera,10.087647
pi_flash,eapf_consensus,pi_oscillator,10.209241
virtual_flash,eapf_consensus,camera,10.632231
pi_flash,eapf_consensus,pi_oscillator,10.738251
virtual_flash,eapf_consensus,camera,11.160766
pi_flash,eapf_consensus,pi_oscillator,11.226589
virtual_flash,eapf_consensus,camera,11.701979
pi_flash,eapf_consensus,pi_oscillator,11.740526
virtual_flash,eapf_consensus,camera,12.266431
pi_flash,eapf_consensus,pi_oscillator,12.266431
virtual_flash,eapf_consensus,camera,12.819681
pi_flash,eapf_consensus,pi_oscillator,12.819681
virtual_flash,eapf_consensus,camera,13.239012
pi_flash,eapf_consensus,pi_oscillator,13.337107
virtual_flash,eapf_consensus,camera,13.782066
pi_flash,eapf_consensus,pi_oscillator,13.867429
virtual_flash,eapf_consensus,camera,14.319319
pi_flash,eapf_consensus,pi_oscillator,14.405243
virtual_flash,eapf_consensus,camera,14.846504
pi_flash,eapf_consensus,pi_oscillator,14.892825
virtual_flash,eapf_consensus,camera,15.39326
pi_flash,eapf_consensus,pi_oscillator,15.428517
virtual_flash,eapf_consensus,camera,15.955984
pi_flash,eapf_consensus,pi_oscillator,15.955984
virtual_flash,eapf_consensus,camera,16.501982
pi_flash,eapf_consensus,pi_oscillator,16.501982
virtual_flash,eapf_consensus,camera,16.911024
pi_flash,eapf_consensus,pi_oscillator,17.051156
virtual_flash,eapf_consensus,camera,17.475934
pi_flash,eapf_consensus,pi_oscillator,17.532785
virtual_flash,eapf_consensus,camera,17.995907
pi_flash,eapf_consensus,pi_oscillator,18.062614
virtual_flash,eapf_consensus,camera,18.556155
pi_flash,eapf_consensus,pi_oscillator,18.598279
virtual_flash,eapf_consensus,camera,19.106221
pi_flash,eapf_consensus,pi_oscillator,19.142378
virtual_flash,eapf_consensus,camera,19.626483
pi_flash,eapf_consensus,pi_oscillator,19.660506
virtual_flash,eapf_consensus,camera,20.203063
pi_flash,eapf_consensus,pi_oscillator,20.203063
virtual_flash,eapf_consensus,camera,20.719368
pi_flash,eapf_consensus,pi_oscillator,20.719368
virtual_flash,eapf_consensus,camera,21.145317
pi_flash,eapf_consensus,pi_oscillator,21.263894
virtual_flash,eapf_consensus,camera,21.707105
pi_flash,eapf_consensus,pi_oscillator,21.791876
virtual_flash,eapf_consensus,camera,22.241759
pi_flash,eapf_consensus,pi_oscillator,22.326834
virtual_flash,eapf_consensus,camera,22.788563
pi_flash,eapf_consensus,pi_oscillator,22.84794
virtual_flash,eapf_consensus,camera,23.33772
pi_flash,eapf_consensus,pi_oscillator,23.380033
virtual_flash,eapf_consensus,camera,23.883622
pi_flash,eapf_consensus,pi_oscillator,23.883622
virtual_flash,eapf_consensus,camera,24.407479
pi_flash,eapf_consensus,pi_oscillator,24.407479
virtual_flash,eapf_consensus,camera,24.84684
pi_flash,eapf_consensus,pi_oscillator,24.944519
virtual_flash,eapf_consensus,camera,25.384321
pi_flash,eapf_consensus,pi_oscillator,25.469993
virtual_flash,eapf_consensus,camera,25.931513
pi_flash,eapf_consensus,pi_oscillator,25.9965
virtual_flash,eapf_consensus,camera,26.461472
pi_flash,eapf_consensus,pi_oscillator,26.5274
virtual_flash,eapf_consensus,camera,27.018134
pi_flash,eapf_consensus,pi_oscillator,27.059588
virtual_flash,eapf_consensus,camera,27.565216
pi_flash,eapf_consensus,pi_oscillator,27.565216
virtual_flash,eapf_consensus,camera,28.102256
pi_flash,eapf_consensus,pi_oscillator,28.102256
pi_flash,eapf_consensus,pi_oscillator,28.633495
virtual_flash,eapf_consensus,camera,28.728249
pi_flash,eapf_consensus,pi_oscillator,29.172994
virtual_flash,eapf_consensus,camera,29.281609
virtual_flash,eapf_consensus,camera,29.727136
pi_flash,eapf_consensus,pi_oscillator,29.727136
