common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
1.851503,,0.218108,0,1,acquisition,,0.107822,0.910759,0,1e-06,0
1.851503,,0.218108,0,1,acquisition,,0.152753,0.825542,0,0.43444,0
1.851555,,0.216639,0,1,acquisition,,0.163498,0.810815,0,0.655202,0
1.877414,,0.171685,0,1,acquisition,,0.080972,0.94342,0,0.856291,0
1.96405,,0.122265,0,1,acquisition,,0.094977,0.918231,0,1.089597,0
2.057711,,0.209182,0,1,acquisition,,0.184774,0.762811,0,1.292715,0
2.119905,,0.244601,0,1,acquisition,,0.112855,0.899277,0,1.523983,0
2.224183,,0.305157,0,1,acquisition,,0.101766,0.920441,0,1.832169,0
2.265531,,0.328304,0,1,acquisition,,0.199801,0.711169,0,2.057441,0
2.272895,,0.32317,0,1,acquisition,,0.182695,0.747446,0,2.327472,0
2.268556,,0.256291,0,1,acquisition,,0.196269,0.697426,0,2.557367,0
2.253149,,0.176977,0,1,acquisition,,0.177913,0.739213,0,2.830997,0
2.24288,,0.112892,0,1,acquisition,,0.195602,0.713008,0,3.057317,0
2.22806,,0.075107,0,1,acquisition,,0.275808,0.497352,0,3.282242,0
2.221092,,0.05252,0,1,acquisition,,0.220166,0.672243,0,3.491184,0
2.212969,,0.03344,0,1,acquisition,,0.206985,0.70031,0,3.703364,0
2.205747,,0.01315,0,1,acquisition,,0.199812,0.71917,0,3.924748,0
2.19917,,0.01316,0,1,acquisition,,0.158338,0.815216,0,4.161437,0
2.194129,,0.026792,0,1,acquisition,,0.120729,0.888756,0,4.392101,0
2.190076,,0.035961,0,1,acquisition,,0.082359,0.942829,0,4.595384,0
2.186437,,0.04659,0,1,acquisition,,0.059577,0.968543,0,4.826094,0
2.182961,,0.054719,0,1,acquisition,,0.040441,0.984089,0,5.058176,0
2.179851,,0.059456,0,1,acquisition,,0.032527,0.991818,0,5.260023,0
2.175539,,0.064258,0,1,acquisition,,0.024642,0.994053,0,5.527834,0
2.169797,,0.066603,0,1,acquisition,,0.037898,0.989325,0,5.760243,0
2.164782,,0.06905,0,1,acquisition,,0.056394,0.976014,0,5.99386,0
2.161316,,0.063847,0,1,acquisition,,0.060275,0.971847,0,6.227242,0
2.158543,,0.058078,0,1,acquisition,,0.066206,0.965051,0,6.465883,0
2.151128,,0.053156,0,1,acquisition,,0.045491,0.984444,0,6.694186,0
2.142895,,0.049462,0,1,acquisition,,0.086363,0.94066,0,6.965286,0
2.134055,,0.044965,0,1,acquisition,,0.024684,0.994889,0,7.194471,0
