agent_id,f_lock_hz,fire_count,flash_on,frequency_hz,lock_hold_state,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,,1,0,1.722741,acquisition,3.561596,0,1,virtual,1e-06,all_to_all
V1,,1,0,1.89092,acquisition,3.851932,0,1,virtual,1e-06,all_to_all
P0,,0,0,1.940849,acquisition,4.577798,,0,pi,1e-06,all_to_all
V0,,1,0,1.722741,acquisition,4.613617,0,1,virtual,0.43444,all_to_all
V1,,1,0,1.89092,acquisition,5.032128,0,1,virtual,0.43444,all_to_all
P0,,1,1,1.940849,acquisition,3.592466,,0,pi,0.43444,all_to_all
V0,,2,1,1.72421,acquisition,0.868094,1,3,virtual,0.655202,all_to_all
V1,,2,1,1.889605,acquisition,1.542341,1,3,virtual,0.655202,all_to_all
P0,,2,1,1.940849,acquisition,0.001408,,0,pi,0.655202,all_to_all
V0,,2,1,1.769164,acquisition,2.346508,2,4,virtual,0.856291,all_to_all
V1,,2,1,1.922229,acquisition,3.109654,2,4,virtual,0.856291,all_to_all
P0,,2,0,1.940849,acquisition,2.445453,,2,pi,0.856291,all_to_all
V0,,2,0,1.914518,acquisition,5.0526,2,4,virtual,1.089597,all_to_all
V1,,2,0,2.036783,acquisition,5.947741,2,4,virtual,1.089597,all_to_all
P0,,2,0,1.940849,acquisition,5.111844,,0,pi,1.089597,all_to_all
V0,,3,1,2.070389,acquisition,2.072438,4,7,virtual,1.292715,all_to_all
V1,,3,1,2.155963,acquisition,2.962651,4,7,virtual,1.292715,all_to_all
P0,,4,1,1.946781,acquisition,1.221195,,0,pi,1.292715,all_to_all
V0,,3,0,2.158047,acquisition,4.273028,4,7,virtual,1.523983,all_to_all
V1,,3,0,2.223134,acquisition,5.09148,4,7,virtual,1.523983,all_to_all
P0,,4,0,1.978533,acquisition,4.02785,,0,pi,1.523983,all_to_all
V0,,4,1,2.302115,acquisition,1.771834,4,8,virtual,1.832169,all_to_all
V1,,4,1,2.337796,acquisition,2.453669,4,8,virtual,1.832169,all_to_all
P0,,5,0,2.032639,acquisition,1.494544,,1,pi,1.832169,all_to_all
V0,,4,0,2.367829,acquisition,5.593882,5,9,virtual,2.057441,all_to_all
V1,,4,0,2.378534,acquisition,6.13321,5,9,virtual,2.057441,all_to_all
P0,,5,0,2.05023,acquisition,4.250133,,0,pi,2.057441,all_to_all
V0,,5,1,2.381891,acquisition,2.698766,6,11,virtual,2.327472,all_to_all
V1,,5,1,2.378073,acquisition,3.093774,6,11,virtual,2.327472,all_to_all
P0,,6,0,2.058721,acquisition,1.371917,,1,pi,2.327472,all_to_all
V0,,5,0,2.357326,acquisition,6.002306,6,11,virtual,2.557367,all_to_all
V1,,6,1,2.347308,acquisition,0.002079,6,11,virtual,2.557367,all_to_all
P0,,6,0,2.101035,acquisition,4.435475,,0,pi,2.557367,all_to_all
V0,,6,1,2.314261,acquisition,3.395277,7,13,virtual,2.830997,all_to_all
V1,,6,0,2.307901,acquisition,3.583857,7,13,virtual,2.830997,all_to_all
P0,,7,0,2.137284,acquisition,1.907062,,0,pi,2.830997,all_to_all
V0,,7,1,2.278611,acquisition,0.239595,7,14,virtual,3.057317,all_to_all
V1,,7,1,2.28146,acquisition,0.654817,7,13,virtual,3.057317,all_to_all
P0,,7,0,2.168568,acquisition,5.094493,,0,pi,3.057317,all_to_all
V0,,7,0,2.246453,acquisition,3.756569,8,15,virtual,3.282242,all_to_all
V1,,7,0,2.256417,acquisition,4.555234,8,15,virtual,3.282242,all_to_all
P0,,8,0,2.18131,acquisition,1.955801,,0,pi,3.282242,all_to_all
V0,,7,0,2.229985,acquisition,5.935063,8,16,virtual,3.491184,all_to_all
V1,,8,1,2.242905,acquisition,0.683999,8,15,virtual,3.491184,all_to_all
P0,,8,0,2.190385,acquisition,4.892168,,0,pi,3.491184,all_to_all
V0,,8,1,2.215176,acquisition,2.275794,9,17,virtual,3.703364,all_to_all
V1,,8,1,2.228586,acquisition,3.531609,9,17,virtual,3.703364,all_to_all
P0,,9,0,2.195146,acquisition,1.580817,,1,pi,3.703364,all_to_all
V0,,8,0,2.201974,acquisition,5.376999,9,17,virtual,3.924748,all_to_all
V1,,9,1,2.214208,acquisition,0.30416,9,17,virtual,3.924748,all_to_all
P0,,9,0,2.201058,acquisition,4.704165,,0,pi,3.924748,all_to_all
V0,,9,1,2.191209,acquisition,2.205183,10,19,virtual,4.161437,all_to_all
V1,,9,1,2.201933,acquisition,3.229455,10,19,virtual,4.161437,all_to_all
P0,,10,0,2.204369,acquisition,1.737153,,1,pi,4.161437,all_to_all
V0,,9,0,2.182099,acquisition,5.31191,10,19,virtual,4.392101,all_to_all
V1,,9,0,2.191396,acquisition,6.125119,10,19,virtual,4.392101,all_to_all
P0,,10,0,2.208891,acquisition,4.987276,,0,pi,4.392101,all_to_all
V0,,10,1,2.175357,acquisition,1.676513,11,21,virtual,4.595384,all_to_all
V1,,10,1,2.183554,acquisition,2.32968,11,21,virtual,4.595384,all_to_all
P0,,11,0,2.211318,acquisition,1.553463,,1,pi,4.595384,all_to_all
V0,,10,0,2.168563,acquisition,4.768224,11,21,virtual,4.826094,all_to_all
V1,,10,0,2.175594,acquisition,5.270144,11,21,virtual,4.826094,all_to_all
P0,,11,0,2.215153,acquisition,4.708644,,0,pi,4.826094,all_to_all
V0,,11,1,2.162701,acquisition,1.570402,12,23,virtual,5.058176,all_to_all
V1,,11,1,2.168761,acquisition,1.951547,12,23,virtual,5.058176,all_to_all
P0,,12,0,2.21742,acquisition,1.57438,,1,pi,5.058176,all_to_all
V0,,11,0,2.158224,acquisition,4.202664,12,23,virtual,5.260023,all_to_all
V1,,11,0,2.163649,acquisition,4.509224,12,23,virtual,5.260023,all_to_all
P0,,12,0,2.21768,acquisition,4.298427,,0,pi,5.260023,all_to_all
V0,,12,1,2.152295,acquisition,1.418514,13,25,virtual,5.527834,all_to_all
V1,,12,1,2.157769,acquisition,1.650756,13,25,virtual,5.527834,all_to_all
P0,,13,0,2.216553,acquisition,1.649295,,2,pi,5.527834,all_to_all
V0,,12,0,2.144718,acquisition,4.460246,13,25,virtual,5.760243,all_to_all
V1,,12,0,2.153352,acquisition,4.664291,13,25,virtual,5.760243,all_to_all
P0,,13,0,2.211321,acquisition,4.817428,,0,pi,5.760243,all_to_all
V0,,13,1,2.137653,acquisition,1.211661,14,27,virtual,5.99386,all_to_all
V1,,13,1,2.149989,acquisition,1.404571,14,27,virtual,5.99386,all_to_all
P0,,14,0,2.206703,acquisition,1.743165,,0,pi,5.99386,all_to_all
