agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,2.081543,,,,1.405966,,,,9.43661
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,9.43661,9.43661
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9677,,81.0,0,,9.54223
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8241,,103.0,1,,9.54223
P0,,,pi_flash,2.077173,,,,0.046171,,,,9.82863
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,9.82863,9.82863
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8871,,76.0,0,,10.028597
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7815,,97.0,1,,10.028597
P0,,,pi_flash,2.060747,,,,0.234974,,,,10.362375
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,10.362375,10.362375
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9032,,77.0,0,,10.465432
V1,,0,pi_detected_virtual_flash,,0.0,1,0.955,,115.0,1,,10.465432
P0,,,pi_flash,2.060471,,,,0.259683,,,,10.862767
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,10.862767,10.862767
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7742,,69.0,0,,11.002106
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9444,,111.0,1,,11.002106
P0,,,pi_flash,2.047238,,,,0.156922,,,,11.363039
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,11.363039,11.363039
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9839,,82.0,0,,11.477569
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8704,,103.0,1,,11.477569
P0,,,pi_flash,2.047297,,,,0.182013,,,,11.863333
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,11.863333,11.863333
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8065,,71.0,0,,11.968019
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9286,,113.0,1,,11.968019
P0,,,pi_flash,2.049174,,,,0.307051,,,,12.363997
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,12.363997,12.363997
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8226,,72.0,0,,12.487567
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8246,,103.0,1,,12.487567
P0,,,pi_flash,2.048909,,,,0.406635,,,,12.864375
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,12.864375,12.864375
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9683,,82.0,0,,13.064392
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8745,,110.0,1,,13.064392
P0,,,pi_flash,2.040194,,,,0.196662,,,,13.364306
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,13.364306,13.364306
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9683,,82.0,0,,13.509189
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8485,,107.0,1,,13.509189
P0,,,pi_flash,2.024838,,,,0.26188,,,,13.898018
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,13.898018,13.898018
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9524,,81.0,0,,14.04494
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8718,,111.0,1,,14.04494
P0,,,pi_flash,2.012946,,,,0.357436,,,,14.431776
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,14.431776,14.431776
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9531,,81.0,0,,14.573412
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8632,,110.0,1,,14.573412
P0,,,pi_flash,1.993375,,,,6.258745,,,,14.931929
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,14.931929,14.931929
P0,,,pi_flash,1.991623,,,,1.691956,,,,15.071538
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,15.071538,15.071538
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9688,,82.0,0,,15.191076
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8136,,105.0,1,,15.191076
P0,,,pi_flash,1.975786,,,,0.056073,,,,15.465654
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,15.465654,15.465654
V1,,0,pi_detected_virtual_flash,,0.0,1,0.6525,,86.0,1,,15.608527
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7812,,70.0,0,,15.633254
P0,,,pi_flash,1.948955,,,,0.28992,,,,16.032751
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,16.032751,16.032751
V1,,0,pi_detected_virtual_flash,,0.0,1,0.6695,,88.0,1,,16.149719
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7812,,70.0,0,,16.166929
P0,,,pi_flash,1.930682,,,,0.205341,,,,16.566386
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,16.566386,16.566386
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8273,,73.0,0,,16.71446
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7052,,92.0,1,,16.71446
P0,,,pi_flash,1.914366,,,,0.028766,,,,17.100076
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,17.100076,17.100076
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8095,,72.0,0,,17.241827
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8201,,105.0,1,,17.241827
P0,,,pi_flash,1.902523,,,,0.178907,,,,17.667235
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,17.667235,17.667235
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8387,,73.0,0,,17.785688
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8202,,104.0,1,,17.785688
P0,,,pi_flash,1.890354,,,,0.129999,,,,18.200739
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,18.200739,18.200739
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7097,,65.0,0,,18.306923
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8543,,105.0,1,,18.306923
P0,,,pi_flash,1.885088,,,,0.13283,,,,18.734549
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,18.734549,18.734549
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7649,,94.0,1,,18.84076
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,83.0,0,,18.874314
P0,,,pi_flash,1.879548,,,,0.011053,,,,19.268051
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,19.268051,19.268051
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9516,,80.0,0,,19.40887
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8993,,110.0,1,,19.40887
P0,,,pi_flash,1.873022,,,,0.107764,,,,19.835042
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,19.835042,19.835042
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8539,,73.0,0,,19.951742
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9725,,116.0,1,,19.951742
P0,,,pi_flash,1.868599,,,,6.282197,,,,20.36863
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,20.36863,20.36863
V0,,0,pi_detected_virtual_flash,,0.0,1,0.873,,74.0,0,,20.478017
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8589,,107.0,1,,20.478017
P0,,,pi_flash,1.86834,,,,1.281539,,,,20.478017
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,20.478017,20.478017
P0,,,pi_flash,1.865655,,,,0.360511,,,,20.93587
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,20.93587,20.93587
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8254,,71.0,0,,21.136548
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7063,,91.0,1,,21.136548
P0,,,pi_flash,1.863604,,,,0.077109,,,,21.469614
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,21.469614,21.469614
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8571,,73.0,0,,21.669753
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7725,,99.0,1,,21.669753
P0,,,pi_flash,1.861595,,,,0.351938,,,,22.080086
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,22.080086,22.080086
