common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
1.945674,,0.665948,0,1,acquisition,,0.326996,0.350633,0,2e-06,0
1.950303,,0.665948,0,1,acquisition,,0.241762,0.51787,0,0.424713,0
1.956317,,0.658039,0,1,acquisition,,0.276993,0.428059,0,0.64868,0
1.957868,,0.622418,0,1,acquisition,,0.296593,0.42261,0,0.955819,0
1.965495,,0.582378,0,1,acquisition,,0.321612,0.370022,0,1.18302,0
1.991069,,0.49655,0,1,acquisition,,0.319437,0.339516,0,1.41619,0
1.996825,,0.462268,0,1,acquisition,,0.333333,0.280293,0,1.659065,0
2.020552,,0.375635,0,1,acquisition,,0.248179,0.502061,0,1.882656,0
2.037896,,0.322426,0,1,acquisition,,0.252285,0.54954,0,2.086238,0
2.051906,,0.278291,0,1,acquisition,,0.191913,0.731106,0,2.316643,0
2.058204,,0.260085,0,1,acquisition,,0.089667,0.941343,0,2.516991,0
2.064139,,0.243183,0,1,acquisition,,0.067474,0.966342,0,2.750355,0
2.072162,,0.22882,0,1,acquisition,,0.05703,0.975188,0,2.95089,0
2.079414,,0.231091,0,1,acquisition,,0.052302,0.973903,0,3.151767,0
2.081539,,0.212331,0,1,acquisition,,0.083367,0.948915,0,3.384786,0
2.078984,,0.183213,0,1,acquisition,,0.102855,0.923182,0,3.686208,0
2.072175,,0.153733,0,1,acquisition,,0.1116,0.909895,0,3.918098,0
2.060721,,0.127247,0,1,acquisition,,0.107498,0.915643,0,4.186509,0
2.055889,,0.103822,0,1,acquisition,,0.104189,0.919063,0,4.418317,0
2.051122,,0.098681,0,1,acquisition,,0.090872,0.932299,0,4.687347,0
2.046286,,0.095933,0,1,acquisition,,0.086392,0.934744,0,4.918868,0
2.039883,,0.09139,0,1,acquisition,,0.079188,0.940432,0,5.186186,0
2.033009,,0.084584,0,1,acquisition,,0.077154,0.946735,0,5.41931,0
2.025124,,0.076045,0,1,acquisition,,0.073779,0.956467,0,5.688737,0
2.019935,,0.066524,0,1,acquisition,,0.070918,0.96167,0,5.919596,0
2.0163,,0.057373,0,1,acquisition,,0.084136,0.942284,0,6.189613,0
2.011373,,0.048136,0,1,acquisition,,0.059611,0.973794,0,6.419829,0
2.006157,,0.040303,0,1,acquisition,,0.078436,0.953569,0,6.729395,0
2.000628,,0.033048,0,1,acquisition,,0.077553,0.955664,0,6.953631,0
1.997445,,0.028963,0,1,acquisition,,0.054457,0.976477,0,7.222634,0
1.992744,,0.024834,0,1,acquisition,,0.042591,0.98455,0,7.454,0
1.988005,,0.026459,0,1,acquisition,,0.037724,0.98831,0,7.755979,0
1.983335,,0.034942,0,1,acquisition,,0.025363,0.993801,0,7.987763,0
1.978617,,0.042714,0,1,acquisition,,0.020462,0.996134,0,8.292753,0
1.972833,,0.048056,0,1,acquisition,,0.022651,0.995648,0,8.521481,0
1.965441,,0.049282,0,1,acquisition,,0.059368,0.972589,0,8.83992,0
1.959329,,0.049939,0,1,acquisition,,0.048152,0.982334,0,9.055271,0
1.951447,,0.046715,0,1,acquisition,,0.135988,0.841756,0,9.287567,0
1.94815,,0.045643,0,1,acquisition,,0.047657,0.982024,0,9.488697,0
1.942506,,0.045156,0,1,acquisition,,0.04512,0.983164,0,9.721392,0
1.938405,,0.042277,0,1,acquisition,,0.030476,0.992296,0,9.928484,0
1.933287,,0.037864,0,1,acquisition,,0.033109,0.989815,0,10.155451,0
1.926578,,0.03372,0,1,acquisition,,0.098966,0.908879,0,10.430756,0
1.922488,,0.030104,0,1,acquisition,,0.017419,0.997614,0,10.655903,0
1.915959,,0.023587,0,1,acquisition,,0.010986,0.999072,0,10.958148,0
1.913656,,0.02097,0,1,acquisition,,0.016795,0.997909,0,11.189644,0
1.91232,,0.019021,0,1,acquisition,,0.067013,0.962298,0,11.491045,0
1.910711,,0.016387,0,1,acquisition,,0.060204,0.969806,0,11.723158,0
1.90842,,0.013907,0,1,acquisition,,0.051899,0.977251,0,11.956084,0
1.907398,,0.012513,0,1,acquisition,,0.014282,0.998491,0,12.157025,0
1.906285,,0.010976,0,1,acquisition,,0.01739,0.99765,0,12.357086,0
1.904043,,0.010754,0,1,acquisition,,0.165639,0.753256,0,12.662491,0
1.903563,,0.011119,0,1,acquisition,,0.005067,0.999793,0,12.890583,0
1.902199,,0.01178,0,1,acquisition,,0.036117,0.988535,0,13.149014,0
1.900703,,0.009105,0,1,acquisition,,0.063577,0.963115,0,13.357725,0
1.89649,,0.004497,0,1,acquisition,,0.022648,0.995784,0,13.66536,0
1.893602,,0.009862,0,1,acquisition,,0.005988,0.999704,0,13.891552,0
1.890771,,0.015367,0,1,acquisition,,0.049272,0.97821,0,14.124073,0
1.887632,,0.017844,0,1,acquisition,,0.032425,0.990901,0,14.325381,0
1.878556,,0.014734,0,1,acquisition,,0.110867,0.886665,0,14.557685,0
