agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,1.68112,,,,2.048299,,,,0.424713
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.424713,0.424713
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,125.0,1,,0.748324
P0,,,pi_flash,1.68112,,,,0.280282,,,,0.848582
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.848582,0.848582
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,82.0,0,,0.955819
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7656,,98.0,1,,1.115436
P0,,,pi_flash,1.747062,,,,6.280226,,,,1.41619
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.41619,1.41619
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9779,,81.0,0,,1.540882
P0,,,pi_flash,1.756136,,,,1.356423,,,,1.540882
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.540882,1.540882
V0,,0,pi_detected_virtual_flash,,0.0,1,0.6984,,63.0,0,,1.882656
P0,,,pi_flash,1.859005,,,,0.164628,,,,1.983125
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.983125,1.983125
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8522,,108.0,1,,2.127293
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8668,,73.0,0,,2.316643
P0,,,pi_flash,1.900605,,,,0.337708,,,,2.516991
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.516991,2.516991
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9432,,118.0,1,,2.649817
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8203,,70.0,0,,2.750355
P0,,,pi_flash,1.93313,,,,0.090425,,,,3.050146
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.050146,3.050146
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9561,,119.0,1,,3.151767
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9551,,77.49,0,,3.209753
P0,,,pi_flash,1.979192,,,,0.156989,,,,3.583814
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.583814,3.583814
V0,,0,pi_detected_virtual_flash,,0.0,1,0.95,,77.0,0,,3.686208
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9561,,119.0,1,,3.686208
P0,,,pi_flash,2.005641,,,,0.1149,,,,4.084195
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.084195,4.084195
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9333,,76.0,0,,4.186509
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8772,,110.0,1,,4.186509
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8187,,103.0,1,,4.58478
P0,,,pi_flash,2.027048,,,,0.176898,,,,4.58478
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.58478,4.58478
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9596,,77.0,0,,4.730658
P0,,,pi_flash,2.036095,,,,0.197952,,,,5.085134
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,5.085134,5.085134
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8673,,108.0,1,,5.186186
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8983,,73.0,0,,5.239558
P0,,,pi_flash,2.03212,,,,0.133557,,,,5.585205
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,5.585205,5.585205
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9492,,76.0,0,,5.688737
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8938,,111.0,1,,5.688737
P0,,,pi_flash,2.027838,,,,0.150482,,,,6.085462
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,6.085462,6.085462
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9655,,76.0,0,,6.230184
