t_s,event_type
1.02779,follower_flash
1.124165,follower_flash
1.714729,leader_flash
1.714729,follower_flash
2.095842,leader_flash
2.267953,follower_flash
2.650759,leader_flash
2.813845,follower_flash
3.104459,leader_flash
3.354792,follower_flash
3.645988,leader_flash
3.901111,follower_flash
4.100755,leader_flash
4.357921,follower_flash
4.650875,leader_flash
4.906565,follower_flash
5.104984,leader_flash
5.453865,follower_flash
5.645833,leader_flash
6.000924,follower_flash
6.099581,leader_flash
6.457479,follower_flash
6.650101,leader_flash
7.005961,follower_flash
7.104043,leader_flash
7.451651,follower_flash
7.645985,leader_flash
8.001307,follower_flash
8.099527,leader_flash
8.557502,follower_flash
8.650139,leader_flash
9.006556,follower_flash
9.103557,leader_flash
9.552629,follower_flash
9.645971,leader_flash
10.000826,follower_flash
10.099509,leader_flash
10.557989,follower_flash
10.650303,leader_flash
11.006677,follower_flash
11.103495,leader_flash
11.552423,follower_flash
11.646054,leader_flash
12.001271,follower_flash
12.099591,leader_flash
12.557999,follower_flash
12.650142,leader_flash
13.005938,follower_flash
13.103788,leader_flash
13.553159,follower_flash
13.646156,leader_flash
14.001279,follower_flash
14.09992,leader_flash
14.557891,follower_flash
14.649975,leader_flash
15.006209,follower_flash
15.104049,leader_flash
15.552584,follower_flash
15.645961,leader_flash
16.099571,leader_flash
16.099571,follower_flash
16.558035,follower_flash
16.650463,leader_flash
17.005785,follower_flash
17.104121,leader_flash
17.552018,follower_flash
17.645696,leader_flash
18.099589,leader_flash
18.099589,follower_flash
18.557566,follower_flash
18.649956,leader_flash
19.103497,leader_flash
19.103497,follower_flash
19.551882,follower_flash
19.645384,leader_flash
20.007482,follower_flash
20.1056,leader_flash
20.555822,follower_flash
20.647463,leader_flash
21.100537,leader_flash
21.100537,follower_flash
21.558006,follower_flash
21.649627,leader_flash
22.103027,leader_flash
22.103027,follower_flash
22.551848,follower_flash
22.645587,leader_flash
23.105549,leader_flash
23.105549,follower_flash
23.555121,follower_flash
23.647707,leader_flash
24.100677,leader_flash
24.100677,follower_flash
24.557571,follower_flash
24.649875,leader_flash
25.103473,leader_flash
25.103473,follower_flash
25.552514,follower_flash
25.646045,leader_flash
26.105791,leader_flash
26.105791,follower_flash
26.555384,follower_flash
26.647364,leader_flash
27.100174,leader_flash
27.100174,follower_flash
27.558276,follower_flash
27.649586,leader_flash
28.103253,leader_flash
28.103253,follower_flash
28.551425,follower_flash
28.645579,leader_flash
29.105434,leader_flash
29.105434,follower_flash
29.554899,follower_flash
29.646846,leader_flash
