t_s,detected_state,leader_flash_event,brightness_used,signal_norm,camera_ms
7e-06,0,0,100.67,0.0,1059.56
1.05966,0,0,126.67,0.0,88.79
1.148538,0,0,130.0,0.0,100.15
1.248756,0,0,103.0,0.0,101.13
1.349956,0,0,102.0,0.0,100.0
1.450039,0,0,105.67,0.0,79.05
1.529156,0,0,133.33,0.0,93.16
1.622385,0,0,133.33,0.0,86.7
1.709161,0,0,133.33,0.0,94.15
1.803381,0,0,102.33,0.0147,101.37
1.904822,0,0,105.33,0.1063,100.53
2.005421,0,0,121.67,0.6274,93.26
2.098751,1,1,133.0,0.9894,84.58
2.183493,1,0,134.0,1.0,90.58
2.274192,0,0,102.33,0.0063,100.68
2.374994,0,0,104.0,0.0589,108.19
2.483312,0,0,109.0,0.2185,103.22
2.586669,1,1,133.0,0.9894,79.28
2.666138,1,0,133.0,0.9894,77.45
2.743706,0,0,106.67,0.1409,98.14
2.841946,0,0,101.0,0.0,99.78
2.941828,0,0,105.33,0.1053,98.9
3.040831,1,1,132.33,0.968,87.6
3.128577,1,0,132.0,0.9574,85.23
3.21391,1,0,126.0,0.765,94.46
3.308471,0,0,101.0,0.0,100.98
3.40956,0,0,104.33,0.086,99.81
3.50956,1,1,131.33,0.9368,91.2
3.600967,1,0,132.33,0.9683,83.09
3.684221,1,0,132.33,0.9682,90.09
3.774464,0,0,101.33,0.0,100.76
3.875386,0,0,102.33,0.0292,101.32
3.976871,0,0,106.67,0.1637,93.37
4.070413,1,1,131.67,0.9508,83.84
4.154456,1,0,131.67,0.9516,82.35
4.236968,0,0,107.67,0.1906,96.14
4.333278,0,0,100.33,0.0,99.82
4.43327,0,0,104.0,0.0869,98.55
4.531987,1,1,131.0,0.935,86.01
4.61821,1,0,131.67,0.9571,81.17
4.699579,1,0,131.67,0.958,90.25
4.790018,0,0,101.0,0.0,100.88
4.891074,0,0,104.0,0.0919,100.34
4.991614,0,0,110.0,0.279,91.4
5.083189,1,1,131.0,0.9364,81.44
5.164848,1,0,132.0,0.9682,86.78
5.251818,0,0,103.67,0.064,97.18
5.349183,0,0,100.0,0.0,100.01
5.449374,0,0,104.0,0.0872,97.03
5.546587,1,1,130.67,0.9266,85.51
5.632324,1,0,132.0,0.9685,84.07
5.716575,1,0,118.33,0.5368,96.7
5.813469,0,0,100.0,0.0,100.44
5.914105,0,0,104.0,0.0919,99.04
6.013334,1,1,130.67,0.927,88.43
6.101998,1,0,131.33,0.9477,81.76
6.183946,1,0,132.0,0.9687,88.19
6.272328,0,0,101.67,0.0179,100.58
6.373109,0,0,104.0,0.0909,100.17
6.473479,0,0,105.67,0.1433,90.96
6.56464,1,1,131.0,0.9432,81.83
6.646709,1,0,131.67,0.9789,79.76
6.726667,1,0,113.67,0.4025,92.11
6.818982,0,0,100.67,0.0,100.41
