t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,loop_dt_ms,model_update_time_ms,cpu_percent,process_cpu_time_s,memory_rss_mb,cpu_temperature_c
3e-06,0.0,1.5,0.0,0.0,0.0,0,0,0.002,0.011,0.0,0.0643,186.55,45.2
0.086278,2.1e-05,1.5,0.0,-2.1e-05,-2.1e-05,0,0,86.275,0.01,0.0,0.1303,186.73,44.1
0.147013,0.813142,1.5,0.0,-0.813142,-0.72645,0,0,60.735,0.011,0.0,0.1945,186.73,44.6
0.206738,1.231133,1.5,0.0,-1.231133,-0.942867,0,0,59.725,0.011,0.0,0.2586,186.73,46.3
0.266953,1.596933,1.5,0.0,-1.596933,-0.999658,0,0,60.215,0.01,0.0,0.3222,186.73,45.2
0.332934,1.953765,1.5,0.0,-1.953765,-0.927559,0,0,65.981,0.011,0.0,0.3868,186.73,46.3
0.407501,2.361418,1.5,0.0,-2.361418,-0.703404,0,0,74.567,0.011,0.0,0.4515,186.73,45.2
0.483947,2.880615,1.5,0.0,-2.880615,-0.258025,0,0,76.447,0.011,0.0,0.5168,186.73,45.8
0.55314,3.532071,1.5,0.0,2.751115,0.380631,0,0,69.192,0.011,0.0,0.5812,186.73,45.2
0.614786,4.276369,1.5,0.0,2.006817,0.90644,0,0,61.646,0.01,0.0,0.6457,186.73,46.3
0.675242,5.052948,1.5,0.759709,1.989946,0.913435,0,0,60.456,0.01,0.0,0.7103,186.73,45.8
0.735385,5.816009,1.5,1.515491,1.982668,0.916373,1,0,60.143,0.011,0.0,0.7756,186.73,45.8
0.797275,0.292558,1.5,2.293227,2.000669,0.909019,0,0,61.89,0.01,0.0,0.8397,186.73,46.9
0.868444,1.072767,1.5,3.187567,2.1148,0.855643,0,0,71.169,0.01,0.0,0.9053,186.73,45.2
0.945511,1.956657,1.5,4.156011,2.199354,0.808876,0,0,77.066,0.01,0.0,0.9701,186.73,46.9
1.020409,2.901169,1.5,5.097204,2.196035,0.810824,0,0,74.898,0.01,0.0,1.035,186.73,46.3
1.086256,3.819615,1.5,5.924661,2.105046,0.860651,0,0,65.847,0.01,0.0,1.1003,186.73,46.9
1.146212,4.638557,1.5,0.0,1.644628,0.997276,0,0,59.956,0.01,0.0,1.1644,186.73,46.3
1.206147,5.412907,1.5,0.708635,1.578914,0.999967,0,0,59.936,0.01,0.0,1.2285,186.73,45.2
1.266524,6.187556,1.5,1.422481,1.51811,0.998612,1,0,60.376,0.01,0.0,1.2925,186.73,47.4
1.334105,0.684428,1.5,2.221513,1.537085,0.999432,0,0,67.581,0.01,0.0,1.3577,186.73,45.8
1.409522,1.557769,1.5,3.113182,1.555414,0.999882,0,0,75.417,0.01,0.0,1.4231,186.73,45.8
1.487092,2.532479,1.5,4.030316,1.497837,0.99734,0,0,77.57,0.01,0.0,1.4878,186.73,46.3
1.554884,3.534335,1.5,4.831837,1.297502,0.962887,0,0,67.792,0.01,0.0,1.5523,186.73,46.9
1.616499,4.401725,1.5,0.0,1.88146,0.952131,0,0,61.616,0.01,0.0,1.6175,186.73,46.3
1.677189,5.187769,1.5,0.761337,1.856754,0.959392,0,0,60.689,0.01,0.0,1.6824,186.73,47.4
1.73645,5.963536,1.5,1.504762,1.824411,0.968012,1,0,59.261,0.011,0.0,1.7474,186.73,47.4
1.799005,0.439655,1.5,2.289507,1.849852,0.961316,0,0,62.555,0.01,0.0,1.811,186.73,48.0
1.869893,1.239695,1.5,3.178788,1.939093,0.932942,0,0,70.888,0.011,0.0,1.8759,186.73,46.9
1.947438,2.139268,1.5,4.151579,2.012311,0.904105,0,0,77.545,0.01,0.0,1.9406,186.73,46.3
2.021744,3.115493,1.5,5.083748,1.968255,0.922047,0,0,74.307,0.01,0.0,2.005,186.73,46.9
2.087118,4.055618,1.5,5.903853,1.848235,0.96176,0,0,65.374,0.01,0.0,2.0704,186.73,48.0
2.147162,4.891808,1.5,0.0,1.391377,0.983948,0,0,60.044,0.01,0.0,2.1347,186.73,45.8
2.207531,5.664489,1.5,0.714787,1.333483,0.971973,1,0,60.369,0.011,0.0,2.1991,186.73,47.4
2.268327,0.155641,1.5,1.43463,1.278989,0.957726,0,0,60.796,0.01,0.0,2.263,186.73,46.3
2.334959,0.932423,1.5,2.223561,1.291139,0.96115,0,0,66.631,0.01,0.0,2.3275,186.73,46.3
2.408792,1.784556,1.5,3.097763,1.313207,0.967007,0,0,73.833,0.01,0.0,2.3917,186.73,46.3
2.484691,2.730304,1.5,3.996434,1.26613,0.953947,0,0,75.9,0.011,0.0,2.469,186.73,45.8
2.562712,3.699056,1.5,4.920215,1.221159,0.939497,0,0,78.02,0.009,0.0,2.5434,186.73,46.3
2.652621,4.690929,1.5,0.0,1.592256,0.99977,0,0,89.909,0.01,0.0,2.6073,186.73,45.2
2.733559,5.852911,1.5,0.98165,1.411925,0.987406,1,0,80.939,0.011,0.0,2.6725,186.73,47.4
2.795043,0.612275,1.5,1.727346,1.115071,0.897942,0,0,61.484,0.01,0.0,2.736,186.73,46.9
2.865309,1.384981,1.5,2.579547,1.194567,0.930057,0,0,70.266,0.01,0.0,2.8013,186.73,45.8
2.941158,2.275947,1.5,3.499466,1.223519,0.940303,0,0,75.849,0.009,0.0,2.8663,187.0,46.9
3.015484,3.24043,1.5,4.400913,1.160482,0.916996,0,0,74.326,0.01,0.0,2.9306,187.0,45.8
3.079729,4.179485,1.5,5.180091,1.000606,0.841798,0,0,64.245,0.01,0.0,2.9957,187.0,46.3
3.140028,4.974261,1.5,0.0,1.308924,0.965907,0,0,60.299,0.01,0.0,3.0602,187.0,48.0
3.200414,5.746421,1.5,0.750643,1.287408,0.960113,1,0,60.386,0.011,0.0,3.1244,187.0,48.0
3.260959,0.235286,1.5,1.503254,1.267969,0.954497,0,0,60.545,0.009,0.0,3.1879,187.0,46.9
3.327929,1.00817,1.5,2.335728,1.327558,0.970563,0,0,66.969,0.01,0.0,3.2521,187.0,47.4
3.4026,1.866835,1.5,3.263944,1.397109,0.984954,0,0,74.671,0.01,0.0,3.316,187.0,48.0
3.479349,2.828014,1.5,4.217984,1.389969,0.983695,0,0,76.749,0.01,0.0,3.3807,187.0,46.9
3.549536,3.815597,1.5,5.090458,1.274861,0.95653,0,0,70.187,0.01,0.0,3.4454,187.0,48.0
3.611464,4.712073,1.5,0.0,1.571112,1.0,0,0,61.928,0.01,0.0,3.5107,187.0,46.3
3.67206,5.512475,1.5,0.766949,1.537659,0.999451,1,0,60.596,0.01,0.0,3.5754,187.0,47.4
3.731622,0.012368,1.5,1.520801,1.508433,0.998056,0,0,59.562,0.01,0.0,3.6396,187.0,45.8
3.795448,0.781784,1.5,2.32862,1.546835,0.999713,0,0,63.826,0.01,0.0,3.7037,187.0,45.8
3.867693,1.606652,1.5,3.243003,1.636351,0.997852,0,0,72.245,0.01,0.0,3.7683,187.0,47.4
3.945051,2.539862,1.5,4.222103,1.68224,0.993797,0,0,77.358,0.01,0.0,3.8337,187.0,46.9
4.020977,3.538023,1.5,5.183073,1.64505,0.997244,0,0,75.926,0.01,0.0,3.8983,187.0,46.3
4.086528,4.518618,1.5,6.012732,1.494114,0.997061,0,0,65.551,0.01,0.0,3.9643,187.0,47.4
4.147228,5.365179,1.5,0.0,0.918007,0.794392,0,0,60.699,0.01,0.0,4.0289,187.0,46.9
4.207247,6.106021,1.5,0.746079,0.923243,0.797562,1,0,60.019,0.01,0.0,4.093,187.0,46.9
4.267674,0.556045,1.5,1.497228,0.941183,0.808255,0,1,60.427,0.01,0.0,4.1572,187.0,46.9
4.33561,1.296499,1.5,2.341713,1.045214,0.865032,0,1,67.936,0.01,0.0,4.2219,187.0,46.3
4.411091,2.14246,1.5,3.279998,1.137538,0.907603,0,1,75.481,0.01,0.0,4.2864,187.0,47.4
4.48897,3.093631,1.5,4.248088,1.154457,0.914576,0,1,77.879,0.01,0.0,4.3514,187.0,46.3
4.557674,4.076918,1.5,5.102121,1.025204,0.85482,0,1,68.704,0.01,0.0,4.416,187.0,47.4
4.619718,4.929987,1.5,0.0,1.353198,0.976419,0,1,62.045,0.01,0.0,4.4809,187.0,47.4
4.680092,5.726778,1.5,0.764122,1.32053,0.968846,1,1,60.373,0.011,0.0,4.5447,187.0,46.3
4.73949,0.217319,1.5,1.515908,1.298589,0.96318,0,1,59.398,0.01,0.0,4.6091,187.0,46.9
4.803635,0.977376,1.5,2.327771,1.350395,0.97581,0,1,64.145,0.01,0.0,4.6742,187.0,46.3
4.876692,1.801006,1.5,3.252422,1.451416,0.992883,0,1,73.056,0.01,0.0,4.7397,187.0,46.3
4.953451,2.743425,1.5,4.223939,1.480515,0.995927,0,1,76.759,0.01,0.0,4.8044,187.0,46.9
5.027125,3.734428,1.5,5.156409,1.421981,0.988947,0,1,73.674,0.01,0.0,4.8691,187.0,46.9
5.091901,4.683801,1.5,0.0,1.599384,0.999591,0,1,64.776,0.01,0.0,4.9346,187.0,46.3
5.152008,5.520927,1.5,0.774842,1.5371,0.999432,1,1,60.107,0.01,0.0,4.9991,187.0,46.3
5.212403,0.014492,1.5,1.553388,1.538896,0.999491,0,1,60.394,0.009,0.0,5.063,187.0,48.0
5.272242,0.794969,1.5,2.324772,1.529803,0.99916,0,1,59.839,0.009,0.0,5.1278,187.0,47.4
5.340679,1.568197,1.5,3.207006,1.638809,0.997688,0,1,68.438,0.01,0.0,5.1926,187.0,47.4
5.416685,2.452187,1.5,4.186795,1.734608,0.986613,0,1,76.005,0.009,0.0,5.2581,187.0,48.0
5.492697,3.430979,1.5,5.166662,1.735683,0.986437,0,1,76.012,0.01,0.0,5.3227,187.0,46.3
5.560618,4.409804,1.5,6.042246,1.632442,0.9981,0,1,67.922,0.01,0.0,5.3867,187.0,46.9
5.621417,5.287229,1.5,0.0,0.995957,0.839279,0,1,60.798,0.01,0.0,5.4503,187.0,47.4
5.681243,6.038834,1.5,0.757203,1.001555,0.84231,1,1,59.826,0.01,0.0,5.5142,187.0,48.0
5.741317,0.495873,1.5,1.517539,1.021666,0.852979,0,1,60.074,0.01,0.0,5.5777,187.0,46.9
5.80435,1.241402,1.5,2.31532,1.073917,0.879074,0,1,63.032,0.01,0.0,5.641,187.0,46.3
5.876664,2.029405,1.5,3.230574,1.201169,0.932462,0,1,72.314,0.01,0.0,5.7045,187.0,46.9
5.95386,2.946955,1.5,4.207622,1.260667,0.952294,0,1,77.196,0.01,0.0,5.7683,187.0,46.9
6.026974,3.931811,1.5,5.133002,1.201191,0.93247,0,1,73.114,0.009,0.0,5.8319,187.0,47.4
