t,frame_id,roi_intensity,normalized_signal,detected_flash_state,leader_flash_event,detected_flash_time,detection_confidence,roi_x,roi_y,roi_w,roi_h,camera_processing_time_ms
3e-06,1,138.0,0.0,0,0,,0.0,,,,,86.02
0.086278,2,158.0,0.0,0,0,,0.0,,,,,60.47
0.147013,3,172.67,0.0,0,0,,0.0,,,,,59.47
0.206738,4,170.33,0.0,0,0,,0.0,,,,,59.95
0.266953,5,170.67,0.0,0,0,,0.0,,,,,65.71
0.332934,6,136.33,0.0,0,0,,0.0,,,,,74.3
0.407501,7,135.33,0.0,0,0,,0.0,,,,,76.18
0.483947,8,136.33,0.0,0,0,,0.0,,,,,68.9
0.55314,9,138.67,0.0,0,0,,0.0,,,,,61.39
0.614786,10,172.33,0.9991,1,1,0.614786,0.0,,,,,60.18
0.675242,11,172.67,1.0,1,0,,0.0,,,,,59.89
0.735385,12,171.0,0.9549,1,0,,0.0,,,,,61.55
0.797275,13,172.0,0.9834,1,0,,0.0,,,,,70.91
0.868444,14,137.0,0.0185,0,0,,0.0,,,,,76.81
0.945511,15,137.67,0.037,0,0,,0.0,,,,,74.64
1.020409,16,138.0,0.0462,0,0,,0.0,,,,,65.59
1.086256,17,157.67,0.5905,0,0,,0.0,,,,,59.7
1.146212,18,172.67,1.0,1,1,1.146212,0.0,,,,,59.62
1.206147,19,170.0,0.9265,1,0,,0.0,,,,,60.12
1.266524,20,171.0,0.954,1,0,,0.5436,,,,,67.27
1.334105,21,136.0,0.0,0,0,,0.5183,,,,,75.17
1.409522,22,135.33,0.0,0,0,,0.5424,,,,,77.32
1.487092,23,136.33,0.0072,0,0,,0.5601,,,,,67.54
1.554884,24,138.67,0.0705,0,0,,0.5362,,,,,61.37
1.616499,25,172.67,1.0,1,1,1.616499,0.5557,,,,,60.38
1.677189,26,172.67,1.0,1,0,,0.5679,,,,,59.01
1.73645,27,171.0,0.9542,1,0,,0.5807,,,,,62.24
1.799005,28,172.0,0.9816,1,0,,0.5607,,,,,70.64
1.869893,29,136.67,0.0112,0,0,,0.5841,,,,,77.3
1.947438,30,137.33,0.0284,0,0,,0.6049,,,,,74.06
2.021744,31,137.33,0.0275,0,0,,0.6206,,,,,65.13
2.087118,32,158.0,0.5963,0,0,,0.6127,,,,,59.8
2.147162,33,172.33,0.9906,1,1,2.147162,0.6273,,,,,60.08
2.207531,34,169.33,0.9081,1,0,,0.6405,,,,,60.47
2.268327,35,170.0,0.9265,1,0,,0.6495,,,,,66.39
2.334959,36,135.0,0.0,0,0,,0.6295,,,,,73.59
2.408792,37,134.33,0.0,0,0,,0.6388,,,,,75.66
2.484691,38,135.67,0.0027,0,0,,0.6475,,,,,77.75
2.562712,39,154.33,0.5052,0,0,,0.6477,,,,,89.66
2.652621,40,171.33,0.9638,1,1,2.652621,0.6585,,,,,80.66
2.733559,41,170.0,0.9278,1,0,,0.6644,,,,,61.15
2.795043,42,171.0,0.9557,1,0,,0.6699,,,,,70.02
2.865309,43,136.0,0.0072,0,0,,0.6821,,,,,75.58
2.941158,44,137.0,0.0335,0,0,,0.6942,,,,,74.08
3.015484,45,137.33,0.0416,0,0,,0.7033,,,,,64.01
3.079729,46,151.0,0.4136,0,0,,0.7027,,,,,60.06
3.140028,47,173.67,1.0,1,1,3.140028,0.708,,,,,60.1
3.200414,48,170.33,0.9364,1,0,,0.7132,,,,,60.19
3.260959,49,171.67,0.9728,1,0,,0.7182,,,,,66.72
3.327929,50,138.33,0.0644,0,0,,0.7268,,,,,74.42
3.4026,51,134.67,0.0,0,0,,0.7312,,,,,76.5
3.479349,52,136.33,0.017,0,0,,0.7358,,,,,69.95
3.549536,53,138.33,0.0704,0,0,,0.7267,,,,,61.68
3.611464,54,173.67,1.0,1,1,3.611464,0.7338,,,,,60.31
3.67206,55,173.67,1.0,1,0,,0.7358,,,,,59.21
3.731622,56,172.67,1.0,1,0,,0.74,,,,,63.62
3.795448,57,173.67,1.0,1,0,,0.7042,,,,,72.0
3.867693,58,136.67,0.0209,0,0,,0.712,,,,,77.09
3.945051,59,138.0,0.0562,0,0,,0.718,,,,,75.67
4.020977,60,138.0,0.0554,0,0,,0.7216,,,,,65.31
4.086528,61,158.33,0.6089,0,0,,0.7258,,,,,60.46
4.147228,62,174.33,1.0,1,1,4.147228,0.7316,,,,,59.73
4.207247,63,171.67,0.9727,1,0,,0.7371,,,,,60.03
4.267674,64,173.0,1.0,1,0,,0.7426,,,,,67.69
4.33561,65,136.0,0.0,0,0,,0.7469,,,,,75.23
4.411091,66,136.0,0.0,0,0,,0.7495,,,,,77.63
4.48897,67,137.0,0.0273,0,0,,0.7525,,,,,68.46
4.557674,68,139.0,0.0818,0,0,,0.7402,,,,,61.8
4.619718,69,175.0,1.0,1,1,4.619718,0.7451,,,,,60.08
4.680092,70,174.33,1.0,1,0,,0.7473,,,,,59.03
4.73949,71,172.67,0.9911,1,0,,0.7514,,,,,63.94
4.803635,72,160.0,0.6492,1,0,,0.7457,,,,,72.81
4.876692,73,136.67,0.0181,0,0,,0.7502,,,,,76.51
4.953451,74,138.0,0.0542,0,0,,0.7541,,,,,73.42
5.027125,75,138.33,0.0631,0,0,,0.7522,,,,,64.53
5.091901,76,172.67,0.9937,1,1,5.091901,0.761,,,,,59.82
5.152008,77,175.67,1.0,1,0,,0.7613,,,,,60.02
5.212403,78,172.0,0.9608,1,0,,0.7607,,,,,59.59
5.272242,79,173.33,0.9937,1,0,,0.7499,,,,,68.19
5.340679,80,135.67,0.0,0,0,,0.7798,,,,,75.75
5.416685,81,136.5,0.0133,0,0,,0.7796,,,,,75.76
5.492697,82,137.0,0.0266,0,0,,0.7794,,,,,67.69
5.560618,83,139.67,0.0977,0,0,,0.7554,,,,,60.56
5.621417,84,175.0,1.0,1,1,5.621417,0.7691,,,,,59.52
5.681243,85,174.67,1.0,1,0,,0.7674,,,,,59.66
5.741317,86,173.0,0.9822,1,0,,0.7692,,,,,62.78
5.80435,87,157.33,0.5662,1,0,,0.7642,,,,,72.07
5.876664,88,136.67,0.0178,0,0,,0.7637,,,,,76.95
5.95386,89,138.0,0.0531,0,0,,0.7625,,,,,72.86
6.026974,90,138.67,0.0709,0,0,,0.7602,,,,,64.09
6.091303,91,173.67,1.0,1,1,6.091303,0.7677,,,,,60.11
6.151698,92,175.67,1.0,1,0,,0.7679,,,,,59.94
6.212014,93,172.0,0.9557,1,0,,0.7675,,,,,60.02
6.272293,94,173.33,0.991,1,0,,0.755,,,,,67.36
6.339898,95,136.0,0.0,0,0,,0.7855,,,,,75.84
6.415985,96,137.0,0.0265,0,0,,0.7853,,,,,77.54
6.493773,97,137.67,0.0443,0,0,,0.7849,,,,,66.22
6.560225,98,140.33,0.1149,0,0,,0.761,,,,,60.49
6.620961,99,175.0,1.0,1,1,6.620961,0.7743,,,,,59.71
