t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.614786,leader_flash,camera,0.614786,,,
0.735385,follower_flash,follower_oscillator,0.614786,0.735385,-0.120599,
1.146212,leader_flash,camera,1.146212,,,
1.266524,follower_flash,follower_oscillator,1.146212,1.266524,-0.120312,
1.616499,leader_flash,camera,1.616499,,,
1.73645,follower_flash,follower_oscillator,1.616499,1.73645,-0.11995,
2.147162,leader_flash,camera,2.147162,,,
2.207531,follower_flash,follower_oscillator,2.147162,2.207531,-0.060369,
2.652621,leader_flash,camera,2.652621,,,
2.733559,follower_flash,follower_oscillator,2.652621,2.733559,-0.080939,
3.140028,leader_flash,camera,3.140028,,,
3.200414,follower_flash,follower_oscillator,3.140028,3.200414,-0.060386,
3.611464,leader_flash,camera,3.611464,,,
3.67206,follower_flash,follower_oscillator,3.611464,3.67206,-0.060596,
4.147228,leader_flash,camera,4.147228,,,
4.207247,follower_flash,follower_oscillator,4.147228,4.207247,-0.060019,
4.207247,sync_achieved,metrics,,,,
4.619718,leader_flash,camera,4.619718,,,
4.680092,follower_flash,follower_oscillator,4.619718,4.680092,-0.060373,
5.091901,leader_flash,camera,5.091901,,,
5.152008,follower_flash,follower_oscillator,5.091901,5.152008,-0.060107,
5.621417,leader_flash,camera,5.621417,,,
5.681243,follower_flash,follower_oscillator,5.621417,5.681243,-0.059826,
6.091303,leader_flash,camera,6.091303,,,
6.151698,follower_flash,follower_oscillator,6.091303,6.151698,-0.060395,
6.620961,leader_flash,camera,6.620961,,,
6.680962,follower_flash,follower_oscillator,6.620961,6.680962,-0.06,
7.091723,leader_flash,camera,7.091723,,,
7.151574,follower_flash,follower_oscillator,7.091723,7.151574,-0.05985,
7.6205,leader_flash,camera,7.6205,,,
7.680558,follower_flash,follower_oscillator,7.6205,7.680558,-0.060058,
8.146727,leader_flash,camera,8.146727,,,
8.146727,follower_flash,follower_oscillator,8.146727,8.146727,0.0,
8.611695,leader_flash,camera,8.611695,,,
8.672219,follower_flash,follower_oscillator,8.611695,8.672219,-0.060524,
9.136952,leader_flash,camera,9.136952,,,
9.196994,follower_flash,follower_oscillator,9.136952,9.196994,-0.060042,
9.602192,leader_flash,camera,9.602192,,,
9.663496,follower_flash,follower_oscillator,9.602192,9.663496,-0.061303,
10.127655,leader_flash,camera,10.127655,,,
10.187496,follower_flash,follower_oscillator,10.127655,10.187496,-0.059841,
10.588664,leader_flash,camera,10.588664,,,
10.70803,follower_flash,follower_oscillator,10.588664,10.70803,-0.119367,
11.114198,leader_flash,camera,11.114198,,,
11.174006,follower_flash,follower_oscillator,11.114198,11.174006,-0.059807,
11.640799,leader_flash,camera,11.640799,,,
11.701351,follower_flash,follower_oscillator,11.640799,11.701351,-0.060551,
12.110906,leader_flash,camera,12.110906,,,
12.171722,follower_flash,follower_oscillator,12.110906,12.171722,-0.060816,
12.639954,leader_flash,camera,12.639954,,,
12.700015,follower_flash,follower_oscillator,12.639954,12.700015,-0.06006,
13.110739,leader_flash,camera,13.110739,,,
13.170838,follower_flash,follower_oscillator,13.110739,13.170838,-0.060099,
13.642514,leader_flash,camera,13.642514,,,
13.702158,follower_flash,follower_oscillator,13.642514,13.702158,-0.059643,
14.111176,leader_flash,camera,14.111176,,,
14.171246,follower_flash,follower_oscillator,14.111176,14.171246,-0.06007,
14.642661,leader_flash,camera,14.642661,,,
14.702352,follower_flash,follower_oscillator,14.642661,14.702352,-0.059691,
15.111683,leader_flash,camera,15.111683,,,
15.172467,follower_flash,follower_oscillator,15.111683,15.172467,-0.060784,
15.639854,leader_flash,camera,15.639854,,,
15.70031,follower_flash,follower_oscillator,15.639854,15.70031,-0.060456,
16.112533,leader_flash,camera,16.112533,,,
16.171744,follower_flash,follower_oscillator,16.112533,16.171744,-0.05921,
16.639605,leader_flash,camera,16.639605,,,
16.70042,follower_flash,follower_oscillator,16.639605,16.70042,-0.060815,
17.110639,leader_flash,camera,17.110639,,,
17.17059,follower_flash,follower_oscillator,17.110639,17.17059,-0.059952,
17.639411,leader_flash,camera,17.639411,,,
17.700041,follower_flash,follower_oscillator,17.639411,17.700041,-0.060629,
18.110066,leader_flash,camera,18.110066,,,
18.170857,follower_flash,follower_oscillator,18.110066,18.170857,-0.060792,
18.638686,leader_flash,camera,18.638686,,,
18.699502,follower_flash,follower_oscillator,18.638686,18.699502,-0.060816,
19.108222,leader_flash,camera,19.108222,,,
19.168585,follower_flash,follower_oscillator,19.108222,19.168585,-0.060363,
19.636873,leader_flash,camera,19.636873,,,
19.696995,follower_flash,follower_oscillator,19.636873,19.696995,-0.060122,
20.105176,leader_flash,camera,20.105176,,,
20.165262,follower_flash,follower_oscillator,20.105176,20.165262,-0.060086,
20.632574,leader_flash,camera,20.632574,,,
20.693292,follower_flash,follower_oscillator,20.632574,20.693292,-0.060718,
21.102515,leader_flash,camera,21.102515,,,
21.162111,follower_flash,follower_oscillator,21.102515,21.162111,-0.059596,
21.630451,leader_flash,camera,21.630451,,,
21.690631,follower_flash,follower_oscillator,21.630451,21.690631,-0.06018,
22.091451,leader_flash,camera,22.091451,,,
22.151477,follower_flash,follower_oscillator,22.091451,22.151477,-0.060026,
22.617255,leader_flash,camera,22.617255,,,
22.676166,follower_flash,follower_oscillator,22.617255,22.676166,-0.058911,
23.142709,leader_flash,camera,23.142709,,,
23.142709,follower_flash,follower_oscillator,23.142709,23.142709,0.0,
23.609455,leader_flash,camera,23.609455,,,
23.668749,follower_flash,follower_oscillator,23.609455,23.668749,-0.059294,
24.137718,leader_flash,camera,24.137718,,,
24.197196,follower_flash,follower_oscillator,24.137718,24.197196,-0.059478,
24.602542,leader_flash,camera,24.602542,,,
24.662547,follower_flash,follower_oscillator,24.602542,24.662547,-0.060004,
25.128651,leader_flash,camera,25.128651,,,
25.188376,follower_flash,follower_oscillator,25.128651,25.188376,-0.059726,
25.647419,leader_flash,camera,25.647419,,,
25.707485,follower_flash,follower_oscillator,25.647419,25.707485,-0.060066,
26.111343,leader_flash,camera,26.111343,,,
26.17139,follower_flash,follower_oscillator,26.111343,26.17139,-0.060047,
26.636018,leader_flash,camera,26.636018,,,
26.69631,follower_flash,follower_oscillator,26.636018,26.69631,-0.060292,
27.101414,leader_flash,camera,27.101414,,,
27.161261,follower_flash,follower_oscillator,27.101414,27.161261,-0.059847,
27.624986,leader_flash,camera,27.624986,,,
27.685017,follower_flash,follower_oscillator,27.624986,27.685017,-0.060031,
28.143443,leader_flash,camera,28.143443,,,
28.203364,follower_flash,follower_oscillator,28.143443,28.203364,-0.059921,
28.60454,leader_flash,camera,28.60454,,,
28.664693,follower_flash,follower_oscillator,28.60454,28.664693,-0.060153,
29.126215,leader_flash,camera,29.126215,,,
29.18611,follower_flash,follower_oscillator,29.126215,29.18611,-0.059895,
29.642615,leader_flash,camera,29.642615,,,
29.702444,follower_flash,follower_oscillator,29.642615,29.702444,-0.059829,
