t_s,agent_id,model,phase,frequency_hz,is_firing
1.51,0,eapf,5.78059,1.5,0
1.52,0,eapf,5.874838,1.5,0
1.53,0,eapf,5.969086,1.5,0
1.54,0,eapf,6.063333,1.5,0
1.55,0,eapf,6.157581,1.5,0
1.56,0,eapf,6.251829,1.5,0
1.57,0,eapf,0.062892,1.5,1
1.58,0,eapf,0.157139,1.5,0
1.59,0,eapf,0.251387,1.5,0
1.6,0,eapf,0.345635,1.5,0
1.61,0,eapf,0.439883,1.5,0
1.62,0,eapf,0.53413,1.5,0
1.63,0,eapf,0.628378,1.5,0
1.64,0,eapf,0.722626,1.5,0
1.65,0,eapf,0.816874,1.5,0
1.66,0,eapf,0.911122,1.5,0
1.67,0,eapf,1.005369,1.5,0
1.68,0,eapf,1.099617,1.5,0
1.69,0,eapf,1.193865,1.5,0
1.7,0,eapf,1.288113,1.5,0
1.71,0,eapf,1.38236,1.5,0
1.72,0,eapf,1.476608,1.5,0
1.73,0,eapf,1.570856,1.5,0
1.74,0,eapf,1.665104,1.5,0
1.75,0,eapf,1.759352,1.5,0
1.76,0,eapf,1.853599,1.5,0
1.77,0,eapf,1.947847,1.5,0
1.78,0,eapf,2.042095,1.5,0
1.79,0,eapf,2.136343,1.5,0
1.8,0,eapf,2.23059,1.5,0
1.81,0,eapf,2.324838,1.5,0
1.82,0,eapf,2.419086,1.5,0
1.83,0,eapf,2.513334,1.5,0
1.84,0,eapf,2.607582,1.5,0
1.85,0,eapf,2.701829,1.5,0
1.86,0,eapf,2.796077,1.5,0
1.87,0,eapf,2.890325,1.5,0
1.88,0,eapf,2.984573,1.5,0
1.89,0,eapf,3.07882,1.5,0
1.9,0,eapf,3.173068,1.5,0
1.91,0,eapf,3.267316,1.5,0
1.92,0,eapf,3.361564,1.5,0
1.93,0,eapf,3.455812,1.5,0
1.94,0,eapf,3.550059,1.5,0
1.95,0,eapf,3.644307,1.5,0
1.96,0,eapf,3.738555,1.5,0
1.97,0,eapf,3.832803,1.5,0
1.98,0,eapf,3.92705,1.5,0
1.99,0,eapf,4.021298,1.5,0
2.0,0,eapf,4.115546,1.5,0
2.01,0,eapf,4.209794,1.5,0
2.02,0,eapf,4.304042,1.5,0
2.03,0,eapf,4.398289,1.5,0
2.04,0,eapf,4.492537,1.5,0
2.05,0,eapf,4.586785,1.5,0
2.06,0,eapf,4.681033,1.5,0
2.07,0,eapf,4.77528,1.5,0
2.08,0,eapf,4.869528,1.5,0
2.09,0,eapf,4.963776,1.5,0
2.1,0,eapf,5.058024,1.5,0
2.11,0,eapf,5.152272,1.5,0
2.12,0,eapf,5.246519,1.5,0
2.13,0,eapf,5.340767,1.5,0
2.14,0,eapf,5.435015,1.5,0
2.15,0,eapf,5.529263,1.5,0
2.16,0,eapf,5.623511,1.5,0
2.17,0,eapf,5.717758,1.5,0
2.18,0,eapf,5.812006,1.5,0
2.19,0,eapf,5.906254,1.5,0
2.2,0,eapf,6.000502,1.5,0
2.21,0,eapf,6.094749,1.5,0
2.22,0,eapf,6.188997,1.5,0
2.23,0,eapf,6e-05,1.5,1
2.24,0,eapf,0.094307,1.5,0
2.25,0,eapf,0.188555,1.5,0
2.26,0,eapf,0.282803,1.5,0
2.27,0,eapf,0.377051,1.5,0
2.28,0,eapf,0.471299,1.5,0
2.29,0,eapf,0.565546,1.5,0
2.3,0,eapf,0.659794,1.5,0
2.31,0,eapf,0.754042,1.5,0
2.32,0,eapf,0.84829,1.5,0
2.33,0,eapf,0.942537,1.5,0
2.34,0,eapf,1.036785,1.5,0
2.35,0,eapf,1.131033,1.5,0
2.36,0,eapf,1.225281,1.5,0
2.37,0,eapf,1.319529,1.5,0
2.38,0,eapf,1.413776,1.5,0
2.39,0,eapf,1.508024,1.5,0
2.4,0,eapf,1.602272,1.5,0
2.41,0,eapf,1.69652,1.5,0
2.42,0,eapf,1.790767,1.5,0
2.43,0,eapf,1.885015,1.5,0
2.44,0,eapf,1.979263,1.5,0
2.45,0,eapf,2.073511,1.5,0
2.46,0,eapf,2.167759,1.5,0
2.47,0,eapf,2.262006,1.5,0
2.48,0,eapf,2.356254,1.5,0
2.49,0,eapf,2.450502,1.5,0
2.5,0,eapf,2.54475,1.5,0
2.51,0,eapf,2.638997,1.5,0
2.52,0,eapf,2.733245,1.5,0
2.53,0,eapf,2.827493,1.5,0
2.54,0,eapf,2.921741,1.5,0
2.55,0,eapf,3.015989,1.5,0
2.56,0,eapf,3.110236,1.5,0
2.57,0,eapf,3.204484,1.5,0
2.58,0,eapf,3.298732,1.5,0
2.59,0,eapf,3.39298,1.5,0
2.6,0,eapf,3.487227,1.5,0
2.61,0,eapf,3.581475,1.5,0
2.62,0,eapf,3.675723,1.5,0
2.63,0,eapf,3.769971,1.5,0
2.64,0,eapf,3.864219,1.5,0
2.65,0,eapf,3.958466,1.5,0
2.66,0,eapf,4.052714,1.5,0
2.67,0,eapf,4.146962,1.5,0
2.68,0,eapf,4.24121,1.5,0
2.69,0,eapf,4.335458,1.5,0
2.7,0,eapf,4.429705,1.5,0
2.71,0,eapf,4.523953,1.5,0
2.72,0,eapf,4.618201,1.5,0
2.73,0,eapf,4.712449,1.5,0
2.74,0,eapf,4.806696,1.5,0
2.75,0,eapf,4.900944,1.5,0
2.76,0,eapf,4.995192,1.5,0
2.77,0,eapf,5.08944,1.5,0
2.78,0,eapf,5.183688,1.5,0
2.79,0,eapf,5.277935,1.5,0
2.8,0,eapf,5.372183,1.5,0
2.81,0,eapf,5.466431,1.5,0
2.82,0,eapf,5.560679,1.5,0
2.83,0,eapf,5.654926,1.5,0
2.84,0,eapf,5.749174,1.5,0
2.85,0,eapf,5.843422,1.5,0
2.86,0,eapf,5.93767,1.5,0
2.87,0,eapf,6.031918,1.5,0
2.88,0,eapf,6.126165,1.5,0
2.89,0,eapf,6.220413,1.5,0
2.9,0,eapf,0.031476,1.5,1
2.91,0,eapf,0.125723,1.5,0
2.92,0,eapf,0.219971,1.5,0
2.93,0,eapf,0.314219,1.5,0
2.94,0,eapf,0.408467,1.5,0
2.95,0,eapf,0.502714,1.5,0
2.96,0,eapf,0.596962,1.5,0
2.97,0,eapf,0.69121,1.5,0
2.98,0,eapf,0.785458,1.5,0
2.99,0,eapf,0.879706,1.5,0
3.0,0,eapf,0.973953,1.5,0
3.01,0,eapf,1.068201,1.5,0
3.02,0,eapf,1.162449,1.5,0
3.03,0,eapf,1.256697,1.5,0
3.04,0,eapf,1.350944,1.5,0
3.05,0,eapf,1.445192,1.5,0
3.06,0,eapf,1.53944,1.5,0
3.07,0,eapf,1.633688,1.5,0
3.08,0,eapf,1.727936,1.5,0
3.09,0,eapf,1.822183,1.5,0
3.1,0,eapf,1.916431,1.5,0
3.11,0,eapf,2.010679,1.5,0
3.12,0,eapf,2.104927,1.5,0
3.13,0,eapf,2.199175,1.5,0
3.14,0,eapf,2.293422,1.5,0
3.15,0,eapf,2.38767,1.5,0
3.16,0,eapf,2.481918,1.5,0
3.17,0,eapf,2.576166,1.5,0
3.18,0,eapf,2.670413,1.5,0
3.19,0,eapf,2.764661,1.5,0
3.2,0,eapf,2.858909,1.5,0
3.21,0,eapf,2.953157,1.5,0
3.22,0,eapf,3.047405,1.5,0
3.23,0,eapf,3.141652,1.5,0
3.24,0,eapf,3.2359,1.5,0
3.25,0,eapf,3.330148,1.5,0
3.26,0,eapf,3.424396,1.5,0
3.27,0,eapf,3.518643,1.5,0
3.28,0,eapf,3.612891,1.5,0
3.29,0,eapf,3.707139,1.5,0
3.3,0,eapf,3.801387,1.5,0
3.31,0,eapf,3.895635,1.5,0
3.32,0,eapf,3.989882,1.5,0
3.33,0,eapf,4.08413,1.5,0
3.34,0,eapf,4.178378,1.5,0
3.35,0,eapf,4.272626,1.5,0
3.36,0,eapf,4.366873,1.5,0
3.37,0,eapf,4.461121,1.5,0
3.38,0,eapf,4.555369,1.5,0
3.39,0,eapf,4.649617,1.5,0
3.4,0,eapf,4.743865,1.5,0
3.41,0,eapf,4.838112,1.5,0
3.42,0,eapf,4.93236,1.5,0
3.43,0,eapf,5.026608,1.5,0
3.44,0,eapf,5.120856,1.5,0
3.45,0,eapf,5.215103,1.5,0
3.46,0,eapf,5.309351,1.5,0
3.47,0,eapf,5.403599,1.5,0
3.48,0,eapf,5.497847,1.5,0
3.49,0,eapf,5.592095,1.5,0
3.5,0,eapf,5.686342,1.5,0
3.51,0,eapf,5.78059,1.5,0
3.52,0,eapf,5.874838,1.5,0
3.53,0,eapf,5.969086,1.5,0
3.54,0,eapf,6.063333,1.5,0
3.55,0,eapf,6.157581,1.5,0
3.56,0,eapf,6.251829,1.5,0
3.57,0,eapf,0.062892,1.5,1
3.58,0,eapf,0.157139,1.5,0
3.59,0,eapf,0.251387,1.5,0
3.6,0,eapf,0.345635,1.5,0
3.61,0,eapf,0.439883,1.5,0
3.62,0,eapf,0.53413,1.5,0
3.63,0,eapf,0.628378,1.5,0
3.64,0,eapf,0.722626,1.5,0
3.65,0,eapf,0.816874,1.5,0
3.66,0,eapf,0.911122,1.5,0
3.67,0,eapf,1.005369,1.5,0
3.68,0,eapf,1.099617,1.5,0
3.69,0,eapf,1.193865,1.5,0
3.7,0,eapf,1.288113,1.5,0
3.71,0,eapf,1.38236,1.5,0
3.72,0,eapf,1.476608,1.5,0
3.73,0,eapf,1.570856,1.5,0
3.74,0,eapf,1.665104,1.5,0
3.75,0,eapf,1.759352,1.5,0
3.76,0,eapf,1.853599,1.5,0
3.77,0,eapf,1.947847,1.5,0
3.78,0,eapf,2.042095,1.5,0
3.79,0,eapf,2.136343,1.5,0
3.8,0,eapf,2.23059,1.5,0
3.81,0,eapf,2.324838,1.5,0
3.82,0,eapf,2.419086,1.5,0
3.83,0,eapf,2.513334,1.5,0
3.84,0,eapf,2.607582,1.5,0
3.85,0,eapf,2.701829,1.5,0
3.86,0,eapf,2.796077,1.5,0
3.87,0,eapf,2.890325,1.5,0
3.88,0,eapf,2.984573,1.5,0
