t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.499126,follower_flash,follower_oscillator,,0.499126,,
0.620995,leader_flash,camera,0.620995,,,
0.9979,follower_flash,follower_oscillator,0.620995,0.9979,-0.376906,
1.120006,leader_flash,camera,1.120006,,,
1.557768,follower_flash,follower_oscillator,1.120006,1.557768,-0.437763,
1.618007,leader_flash,camera,1.618007,,,
2.056105,follower_flash,follower_oscillator,1.618007,2.056105,-0.438098,
2.11693,leader_flash,camera,2.11693,,,
2.555893,follower_flash,follower_oscillator,2.11693,2.555893,-0.438963,
2.615989,leader_flash,camera,2.615989,,,
3.055445,follower_flash,follower_oscillator,2.615989,3.055445,-0.439456,
3.116158,leader_flash,camera,3.116158,,,
3.55503,follower_flash,follower_oscillator,3.116158,3.55503,-0.438872,
3.615114,leader_flash,camera,3.615114,,,
4.052748,follower_flash,follower_oscillator,3.615114,4.052748,-0.437634,
4.052748,sync_achieved,metrics,,,,
4.11415,leader_flash,camera,4.11415,,,
4.551488,follower_flash,follower_oscillator,4.11415,4.551488,-0.437338,
4.671855,leader_flash,camera,4.671855,,,
5.050166,follower_flash,follower_oscillator,4.671855,5.050166,-0.378311,
5.170015,leader_flash,camera,5.170015,,,
5.609234,follower_flash,follower_oscillator,5.170015,5.609234,-0.439219,
5.669257,leader_flash,camera,5.669257,,,
6.106393,follower_flash,follower_oscillator,5.669257,6.106393,-0.437136,
6.166814,leader_flash,camera,6.166814,,,
6.603547,follower_flash,follower_oscillator,6.166814,6.603547,-0.436733,
6.663557,leader_flash,camera,6.663557,,,
7.102222,follower_flash,follower_oscillator,6.663557,7.102222,-0.438665,
7.163496,leader_flash,camera,7.163496,,,
7.597426,follower_flash,follower_oscillator,7.163496,7.597426,-0.43393,
7.658817,leader_flash,camera,7.658817,,,
8.096492,follower_flash,follower_oscillator,7.658817,8.096492,-0.437675,
8.155831,leader_flash,camera,8.155831,,,
8.59554,follower_flash,follower_oscillator,8.155831,8.59554,-0.439709,
8.655776,leader_flash,camera,8.655776,,,
9.093813,follower_flash,follower_oscillator,8.655776,9.093813,-0.438037,
9.153395,leader_flash,camera,9.153395,,,
9.591804,follower_flash,follower_oscillator,9.153395,9.591804,-0.438408,
9.65249,leader_flash,camera,9.65249,,,
10.088261,follower_flash,follower_oscillator,9.65249,10.088261,-0.435771,
10.148766,leader_flash,camera,10.148766,,,
10.58633,follower_flash,follower_oscillator,10.148766,10.58633,-0.437565,
10.647094,leader_flash,camera,10.647094,,,
11.086664,follower_flash,follower_oscillator,10.647094,11.086664,-0.43957,
11.147541,leader_flash,camera,11.147541,,,
11.584419,follower_flash,follower_oscillator,11.147541,11.584419,-0.436878,
11.645023,leader_flash,camera,11.645023,,,
12.083827,follower_flash,follower_oscillator,11.645023,12.083827,-0.438803,
12.143862,leader_flash,camera,12.143862,,,
12.582723,follower_flash,follower_oscillator,12.143862,12.582723,-0.438861,
12.642265,leader_flash,camera,12.642265,,,
13.08169,follower_flash,follower_oscillator,12.642265,13.08169,-0.439425,
13.142148,leader_flash,camera,13.142148,,,
13.581091,follower_flash,follower_oscillator,13.142148,13.581091,-0.438944,
13.64118,leader_flash,camera,13.64118,,,
14.079789,follower_flash,follower_oscillator,13.64118,14.079789,-0.438609,
14.141038,leader_flash,camera,14.141038,,,
14.579148,follower_flash,follower_oscillator,14.141038,14.579148,-0.43811,
14.639611,leader_flash,camera,14.639611,,,
15.077739,follower_flash,follower_oscillator,14.639611,15.077739,-0.438128,
15.139249,leader_flash,camera,15.139249,,,
15.578448,follower_flash,follower_oscillator,15.139249,15.578448,-0.4392,
15.637895,leader_flash,camera,15.637895,,,
16.077227,follower_flash,follower_oscillator,15.637895,16.077227,-0.439332,
16.137394,leader_flash,camera,16.137394,,,
16.576398,follower_flash,follower_oscillator,16.137394,16.576398,-0.439004,
16.636571,leader_flash,camera,16.636571,,,
17.075838,follower_flash,follower_oscillator,16.636571,17.075838,-0.439267,
