event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.622909
virtual_flash,kuramoto,camera,0.98846
virtual_flash,kuramoto,camera,1.391236
pi_flash,kuramoto,pi_oscillator,1.574231
virtual_flash,kuramoto,camera,2.031799
pi_flash,kuramoto,pi_oscillator,2.56679
virtual_flash,kuramoto,camera,2.703158
virtual_flash,kuramoto,camera,3.140957
pi_flash,kuramoto,pi_oscillator,3.40021
virtual_flash,kuramoto,camera,3.762439
pi_flash,kuramoto,pi_oscillator,4.370495
virtual_flash,kuramoto,camera,4.999769
pi_flash,kuramoto,pi_oscillator,5.049717
virtual_flash,kuramoto,camera,5.399072
pi_flash,kuramoto,pi_oscillator,5.987538
virtual_flash,kuramoto,camera,6.110746
virtual_flash,kuramoto,camera,6.499134
pi_flash,kuramoto,pi_oscillator,6.807539
virtual_flash,kuramoto,camera,7.143086
virtual_flash,kuramoto,camera,7.664801
pi_flash,kuramoto,pi_oscillator,7.755597
virtual_flash,kuramoto,camera,8.097209
pi_flash,kuramoto,pi_oscillator,8.61895
virtual_flash,kuramoto,camera,8.756739
virtual_flash,kuramoto,camera,9.279137
pi_flash,kuramoto,pi_oscillator,9.378664
virtual_flash,kuramoto,camera,9.831112
pi_flash,kuramoto,pi_oscillator,10.030365
virtual_flash,kuramoto,camera,10.478155
pi_flash,kuramoto,pi_oscillator,11.044302
virtual_flash,kuramoto,camera,11.168392
virtual_flash,kuramoto,camera,11.696544
pi_flash,kuramoto,pi_oscillator,11.79676
virtual_flash,kuramoto,camera,12.329094
pi_flash,kuramoto,pi_oscillator,12.502035
virtual_flash,kuramoto,camera,12.856767
pi_flash,kuramoto,pi_oscillator,13.194385
virtual_flash,kuramoto,camera,13.5245
virtual_flash,kuramoto,camera,14.142033
pi_flash,kuramoto,pi_oscillator,14.142033
virtual_flash,kuramoto,camera,14.733053
pi_flash,kuramoto,pi_oscillator,14.832857
virtual_flash,kuramoto,camera,15.134726
pi_flash,kuramoto,pi_oscillator,15.711156
virtual_flash,kuramoto,camera,15.830693
virtual_flash,kuramoto,camera,16.198103
pi_flash,kuramoto,pi_oscillator,16.635643
virtual_flash,kuramoto,camera,16.769822
virtual_flash,kuramoto,camera,17.377537
pi_flash,kuramoto,pi_oscillator,17.420192
pi_flash,kuramoto,pi_oscillator,18.063499
virtual_flash,kuramoto,camera,18.4985
pi_flash,kuramoto,pi_oscillator,18.706279
virtual_flash,kuramoto,camera,19.117073
pi_flash,kuramoto,pi_oscillator,19.733161
virtual_flash,kuramoto,camera,19.850977
virtual_flash,kuramoto,camera,20.346663
pi_flash,kuramoto,pi_oscillator,20.492966
virtual_flash,kuramoto,camera,20.873453
pi_flash,kuramoto,pi_oscillator,21.421775
virtual_flash,kuramoto,camera,21.56183
virtual_flash,kuramoto,camera,22.033579
pi_flash,kuramoto,pi_oscillator,22.172959
virtual_flash,kuramoto,camera,22.564563
pi_flash,kuramoto,pi_oscillator,23.172875
virtual_flash,kuramoto,camera,23.296436
virtual_flash,kuramoto,camera,23.820256
pi_flash,kuramoto,pi_oscillator,23.921978
virtual_flash,kuramoto,camera,24.322532
pi_flash,kuramoto,pi_oscillator,24.905313
virtual_flash,kuramoto,camera,25.023391
virtual_flash,kuramoto,camera,25.493912
pi_flash,kuramoto,pi_oscillator,25.636012
virtual_flash,kuramoto,camera,26.039586
pi_flash,kuramoto,pi_oscillator,26.624362
virtual_flash,kuramoto,camera,26.759657
virtual_flash,kuramoto,camera,27.234944
pi_flash,kuramoto,pi_oscillator,27.332653
virtual_flash,kuramoto,camera,27.767287
pi_flash,kuramoto,pi_oscillator,28.238355
virtual_flash,kuramoto,camera,28.465011
virtual_flash,kuramoto,camera,28.978864
pi_flash,kuramoto,pi_oscillator,29.071334
virtual_flash,kuramoto,camera,29.500088
