t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
1.6e-05,0.000181,1.8,0.0,0,0.016
0.96415,4.6211,1.8,0.0,1,964.134
1.048426,5.574238,1.8,0.0,0,84.276
1.117269,0.069639,1.8,0.0,1,68.842
1.178904,0.766721,1.8,0.0,0,61.636
1.237891,1.433846,1.8,0.0,0,58.987
1.297274,2.105447,1.8,0.0,0,59.383
1.359911,2.813857,1.8,0.0,0,62.637
1.432087,3.630153,1.8,0.0,0,72.176
1.512392,4.538382,1.8,0.0,0,80.305
1.594335,5.465139,1.8,0.0,0,81.943
1.667805,0.012877,1.8,0.0,1,73.47
1.735103,0.773948,1.8,-0.012877,0,67.298
1.795199,1.453522,1.8,-0.012825,0,60.096
1.860486,2.19178,1.8,-0.012733,0,65.287
1.937447,3.062035,1.8,-0.012608,0,76.961
2.019815,3.993419,1.8,-0.012457,0,82.367
2.099705,4.896777,1.8,-0.012287,0,79.891
2.171866,5.712702,1.8,-0.012102,0,72.161
2.238062,0.180612,1.800753,0.648774,1,66.196
2.298682,0.871318,1.802105,0.717745,0,60.62
2.365646,1.636566,1.803932,0.791237,0,66.964
2.442967,2.522067,1.80613,0.873753,0,77.321
2.535235,3.58032,1.808617,0.970213,0,92.268
2.613854,4.486866,1.811325,1.047769,0,78.619
2.680226,5.257178,1.814199,1.108418,0,66.372
2.746514,6.02911,1.817151,1.093995,0,66.287
2.807789,0.46315,1.820154,1.13938,1,61.275
2.873638,1.235068,1.823186,1.186837,0,65.849
2.951061,2.142023,1.826228,1.243033,0,77.423
3.033314,3.107074,1.829266,1.301134,0,82.253
3.114182,4.058958,1.83229,1.35518,0,80.868
3.186945,4.923765,1.835333,2.295522,0,72.763
3.252773,5.713887,1.838378,2.331651,0,65.827
3.314298,0.175624,1.841414,2.358565,1,61.526
3.38076,0.98152,1.84443,2.385628,0,66.461
3.458647,1.923378,1.847418,2.419062,0,77.887
3.541283,2.923779,1.850372,2.452946,0,82.636
3.621605,3.900509,1.853287,2.481328,0,80.323
3.694763,4.796457,1.85612,2.440313,0,73.157
3.760696,5.610435,1.858876,2.447019,0,65.933
3.82304,0.101235,1.861561,2.448907,1,62.344
3.890585,0.93775,1.864177,2.452782,0,67.545
3.969255,1.906242,1.866728,2.462906,0,78.67
4.051722,2.92102,1.869216,2.473882,0,82.467
4.113919,3.699396,1.871645,2.469139,0,62.197
4.171151,4.420591,1.874016,2.459735,0,57.232
4.238048,5.254415,1.876294,1.902607,0,66.896
4.29847,6.011217,1.878488,1.89175,0,60.423
4.364641,0.552157,1.880606,1.884997,1,66.171
4.442016,1.508467,1.882654,1.884955,0,77.375
4.524687,2.527572,1.88464,1.887882,0,82.671
4.605989,3.530806,1.886566,1.889905,0,81.301
4.679761,4.44523,1.888438,1.887711,0,73.772
4.746894,5.281238,1.890253,1.871508,0,67.133
4.808184,6.048179,1.892017,1.861993,0,61.29
4.873624,0.581562,1.893731,1.854221,1,65.44
4.951437,1.545735,1.8954,1.851901,0,77.813
5.034479,2.572742,1.897025,1.851467,0,83.042
5.115515,3.576483,1.898609,1.849546,0,81.036
5.188885,4.492962,1.900154,2.738683,0,73.37
5.25507,5.327028,1.901661,2.725664,0,66.185
5.317403,6.117753,1.903132,2.707756,0,62.333
5.385044,0.6909,1.904568,2.68938,1,67.64
5.463884,1.683064,1.905971,2.673286,0,78.841
5.546603,2.72325,1.907341,2.656817,0,82.718
5.626947,3.736328,1.90868,2.637843,0,80.344
5.700406,4.667769,1.909985,2.573877,0,73.459
5.766367,5.509918,1.911258,2.547125,0,65.961
5.829736,0.038245,1.9125,2.518841,0,63.369
5.90085,0.943186,1.913713,2.492762,0,71.114
5.982724,1.977851,1.914897,2.469894,0,81.874
6.06566,3.025655,1.916054,2.446965,0,82.936
6.123299,3.769185,1.917184,2.415552,0,57.639
6.209699,4.859811,1.918276,2.539615,0,86.4
6.270414,5.641515,1.919335,2.507346,0,60.715
6.331466,0.144411,1.920362,2.47471,1,61.052
6.399775,1.018264,1.921359,2.44377,0,68.309
6.478907,2.022943,1.922329,2.415517,0,79.132
6.561531,3.069946,1.923274,2.387969,0,82.623
6.621045,3.837786,1.924193,2.354287,0,59.514
6.709702,4.958453,1.92509,2.467779,0,88.657
6.772625,5.768332,1.925964,2.434511,0,62.924
6.83375,0.27345,1.926817,2.400486,1,61.125
6.903107,1.161492,1.92765,2.368227,0,69.357
6.982762,2.174306,1.928463,2.338234,0,79.655
7.066348,3.234788,1.929257,2.309041,0,83.586
7.127871,4.027797,1.930033,2.274938,0,61.522
7.185107,4.768779,1.930863,2.274242,0,57.237
7.251754,5.623851,1.931734,2.248959,0,66.647
7.312347,0.122202,1.932633,2.221763,1,60.593
7.38083,0.999458,1.933552,2.197109,0,68.483
7.45931,1.998132,1.934482,2.175563,0,78.48
7.544006,3.072399,1.935419,2.155861,0,84.696
7.625792,4.111354,1.936356,2.135224,0,81.786
7.699873,5.056939,1.937287,2.192881,0,74.081
7.767635,5.925856,1.938209,2.167457,0,67.762
7.831054,0.458828,1.939119,2.140644,1,63.419
7.903916,1.390108,1.940018,2.116243,0,72.862
7.986231,2.436696,1.940903,2.094203,0,82.315
8.071074,3.514213,1.941774,2.072682,0,84.843
8.131892,4.298691,1.94263,2.045037,0,60.818
8.221225,5.431025,1.943381,1.993807,0,89.333
8.285297,6.254778,1.944045,1.958237,0,64.072
8.349922,0.801777,1.944637,1.923009,1,64.625
8.423022,1.735143,1.945169,1.888903,0,73.099
8.506149,2.790699,1.945651,1.856043,0,83.128
8.59063,3.862428,1.946091,1.823663,0,84.481
8.650252,4.629796,1.946495,1.78962,0,59.622
8.738702,5.748839,1.946844,1.657011,0,88.449
8.802717,0.285038,1.947149,1.622202,1,64.016
8.8719,1.166856,1.947415,1.58843,0,69.183
8.951852,2.179694,1.947651,1.555831,0,79.952
9.036682,3.251538,1.947862,1.524137,0,84.83
9.119142,4.293703,1.94805,1.493067,0,82.459
9.194066,5.245142,1.948293,2.000235,0,74.924
9.261461,6.105553,1.948577,1.975434,0,67.395
9.324646,0.63208,1.948894,1.948895,1,63.186
