t_s,detected_state,leader_flash_event,brightness_used,signal_norm,camera_ms
1.6e-05,0,0,91.67,0.0,965.85
0.965959,0,0,94.67,0.0,64.5
1.030557,0,0,89.67,0.0,81.91
1.112542,0,0,91.67,0.0,86.13
1.198746,0,0,88.67,0.0,60.27
1.259109,0,0,104.0,0.0,59.0
1.318183,0,0,107.67,0.0,61.87
1.380131,0,0,109.33,0.0,68.86
1.449058,0,0,95.33,0.0,80.06
1.529196,0,0,95.0,0.2973,82.79
1.612052,0,0,96.0,0.3517,59.26
1.671387,0,0,92.33,0.1411,88.34
1.759806,1,1,106.0,0.9226,62.72
1.822659,1,0,107.0,0.9727,62.91
1.885701,1,0,111.33,1.0,73.5
1.959323,0,0,94.0,0.1868,81.87
2.04131,0,0,96.33,0.3126,82.12
2.12354,0,0,96.33,0.3076,59.41
2.183068,0,0,94.0,0.1632,87.02
2.270213,1,1,106.67,0.9288,63.42
2.33379,1,0,108.67,1.0,64.92
2.398816,1,0,111.0,1.0,92.24
2.491238,0,0,96.33,0.2659,74.56
2.565901,0,0,98.0,0.3625,73.99
2.640001,0,0,95.0,0.1914,72.6
2.712712,0,0,96.33,0.2689,65.08
2.77789,1,1,105.0,0.7721,59.45
2.837582,1,0,108.33,0.9687,63.88
2.901582,1,0,111.33,1.0,73.08
2.974832,0,0,95.67,0.2244,81.49
3.056486,0,0,97.0,0.3018,81.05
3.137698,0,0,94.67,0.1674,72.91
3.21078,0,0,96.33,0.2603,67.16
3.278101,1,1,105.67,0.7995,59.86
3.338171,1,0,109.33,1.0,67.46
3.405802,1,0,110.67,1.0,78.29
3.48426,0,0,95.0,0.1648,83.3
3.567723,0,0,97.0,0.2766,81.73
3.649623,0,0,94.67,0.1421,72.52
3.722316,1,1,107.33,0.8759,66.38
3.7889,1,0,106.0,0.8041,61.16
3.850247,1,0,109.0,0.9804,66.98
3.917407,1,0,109.33,1.0,77.65
3.995288,0,0,94.33,0.0909,82.53
4.078001,0,0,96.0,0.1838,80.99
4.159198,0,0,94.0,0.0517,73.14
4.232524,1,1,107.33,0.875,65.93
4.298684,1,0,106.0,0.7897,61.9
4.360758,1,0,108.67,0.9579,67.35
4.428298,1,0,104.67,0.6993,78.19
4.506672,0,0,94.67,0.0437,83.72
4.59057,0,0,95.0,0.0652,61.42
4.652216,0,0,93.0,0.0,57.32
4.709719,0,0,96.0,0.1684,67.41
4.777315,1,1,105.67,0.7702,60.67
4.838213,1,0,109.33,1.0,66.75
4.90515,1,0,110.67,1.0,77.38
4.982729,0,0,94.67,0.0621,83.02
5.065949,0,0,96.67,0.1742,81.34
5.147477,0,0,94.67,0.0437,74.22
5.221891,1,1,107.0,0.848,66.23
5.288355,1,0,105.33,0.7391,60.58
5.349134,1,0,109.0,0.9785,66.66
5.415982,1,0,109.67,1.0,77.14
5.493321,0,0,94.33,0.0215,83.49
5.577006,0,0,96.67,0.1742,80.48
5.657681,0,0,94.0,0.0,73.24
5.731146,1,1,107.67,0.8917,66.44
5.797827,1,0,106.0,0.7828,61.94
5.859967,1,0,109.33,1.0,66.72
5.926897,1,0,108.33,0.9348,78.12
6.005222,0,0,95.0,0.0652,83.72
6.089149,0,0,97.0,0.1957,79.76
6.169121,0,0,94.33,0.0022,72.01
6.241339,1,1,106.33,0.8,64.85
6.306439,1,0,107.0,0.8447,62.44
6.369081,1,0,112.0,1.0,72.43
6.441733,0,0,97.67,0.2222,80.41
6.522352,0,0,96.0,0.1111,83.27
6.605853,0,0,95.67,0.0891,58.36
6.664429,0,0,95.0,0.0446,84.84
6.749478,1,1,105.0,0.7097,60.31
6.810041,1,0,105.67,0.7543,60.67
6.870931,1,0,109.33,0.9977,67.57
6.938727,0,0,98.67,0.2893,78.73
7.017686,0,0,94.33,0.0,83.37
7.101276,0,0,95.67,0.0893,58.25
7.159746,0,0,95.0,0.0447,86.11
7.246075,1,1,105.0,0.7053,60.96
7.307318,1,0,105.33,0.7278,60.4
7.367944,1,0,109.67,1.0,67.63
7.435805,1,0,100.67,0.4106,78.74
7.514771,0,0,94.67,0.0023,82.33
7.597335,0,0,96.0,0.0928,59.49
7.657052,0,0,95.0,0.0248,88.39
7.745667,1,1,105.33,0.7278,62.57
7.808505,1,0,107.67,0.887,63.52
7.872256,1,0,111.0,1.0,71.85
7.944346,0,0,95.33,0.0472,80.95
8.025533,0,0,94.67,0.0023,83.21
8.108976,0,0,95.0,0.0248,59.56
8.168772,0,0,92.0,0.0,87.49
8.256494,1,1,106.0,0.778,62.85
8.319629,1,0,106.67,0.8227,62.64
8.382513,1,0,111.0,1.0,72.16
8.454918,0,0,94.0,0.0,81.11
8.536269,0,0,95.67,0.0893,82.47
8.618976,0,0,95.67,0.0893,58.97
8.678181,0,0,93.33,0.0,87.91
8.766339,1,1,106.67,0.8227,63.05
8.829674,1,0,108.0,0.9113,63.47
8.893397,1,0,111.67,1.0,72.84
8.966486,0,0,96.0,0.1111,81.7
9.048439,0,0,95.67,0.0891,82.63
9.131338,0,0,93.67,0.0,59.2
9.190783,0,0,96.0,0.1111,86.55
9.277577,1,1,105.67,0.7543,60.6
9.338469,1,0,109.33,0.9977,67.42
9.406142,1,0,109.33,0.9977,77.38
9.483777,0,0,94.33,0.0,82.91
9.566952,0,0,96.0,0.1111,81.5
9.648709,0,0,94.0,0.0,73.03
9.721992,1,1,107.33,0.8628,67.03
9.789313,1,0,106.0,0.7745,60.61
9.850179,1,0,109.0,0.9736,66.36
9.916809,1,0,110.0,1.0,77.42
9.994497,0,0,94.67,0.0226,83.72
10.078486,0,0,96.67,0.1553,80.63
10.159374,0,0,94.33,0.0,72.94
10.23259,1,1,108.0,0.9072,65.93
10.298832,1,0,106.67,0.819,61.72
10.360828,1,0,110.0,1.0,68.29
10.429392,1,0,105.0,0.7081,78.12
10.50779,0,0,95.33,0.0664,83.03
10.591111,0,0,95.67,0.0889,61.88
10.653276,0,0,93.0,0.0,57.65
10.711223,0,0,97.0,0.1776,67.45
10.778944,1,1,106.0,0.7762,60.3
10.839554,1,0,109.33,0.9977,68.14
10.907975,1,0,109.67,1.0,77.54
10.985795,0,0,94.33,0.0,83.54
11.069609,0,0,96.0,0.1089,80.59
11.150475,0,0,93.67,0.0,73.85
11.224612,1,1,107.67,0.8699,66.37
11.291327,1,0,106.33,0.7827,61.09
11.352706,1,0,109.33,0.9779,66.75
11.419737,1,0,110.0,1.0,78.04
11.498065,0,0,94.67,0.0243,82.96
11.581314,0,0,96.67,0.1544,81.45
11.663056,0,0,94.33,0.0021,72.76
11.736108,1,1,108.0,0.8914,65.88
11.80232,1,0,106.33,0.7827,62.97
11.865581,1,0,110.0,1.0,68.25
11.934123,1,0,101.33,0.4565,79.42
12.013835,0,0,95.0,0.0456,82.78
12.096904,0,0,96.0,0.1105,59.97
12.15717,0,0,95.0,0.0456,89.11
12.246575,1,1,105.67,0.7372,62.77
12.309679,1,0,108.0,0.8878,62.94
12.37295,1,0,110.67,1.0,72.95
12.446206,0,0,95.0,0.0468,81.48
12.527983,0,0,95.0,0.0468,82.75
12.611033,0,0,95.33,0.0677,59.1
12.670428,0,0,92.0,0.0,88.93
12.759663,1,1,106.33,0.7706,62.05
12.822057,1,0,107.33,0.8331,62.75
12.885117,1,0,111.33,1.0,72.96
12.958386,0,0,93.67,0.0,81.08
13.039769,0,0,96.0,0.1286,83.5
13.123574,0,0,95.67,0.1081,59.17
13.183054,0,0,93.67,0.0,87.25
13.270613,1,1,106.0,0.751,62.5
13.333468,1,0,108.33,0.8961,65.26
13.39906,1,0,110.33,1.0,73.42
13.472798,0,0,95.33,0.0869,81.86
13.554975,0,0,96.33,0.1491,81.82
13.637107,0,0,94.33,0.0246,73.86
13.711306,0,0,96.33,0.1313,67.62
13.779261,1,1,105.67,0.7248,59.7
13.839356,1,0,109.33,0.9574,67.67
13.907371,1,0,109.67,0.9957,77.65
13.985349,0,0,94.33,0.0043,83.25
14.068922,0,0,96.67,0.1555,81.1
14.150357,0,0,94.67,0.0221,73.35
14.224027,1,1,108.0,0.8873,66.86
14.291272,1,0,106.33,0.7789,61.29
14.352899,1,0,109.67,0.9957,66.96
14.420194,1,0,110.33,1.0,77.87
14.498398,0,0,94.67,0.0217,83.52
14.582252,0,0,96.67,0.1493,80.8
14.663412,0,0,94.33,0.0,73.05
14.736795,1,1,107.67,0.8513,66.58
14.803748,1,0,106.33,0.7658,62.72
14.866813,1,0,110.67,1.0,71.12
14.938275,0,0,96.67,0.1493,80.94
15.019557,0,0,94.67,0.0217,82.84
15.102731,0,0,95.0,0.0428,58.44
15.161504,0,0,94.67,0.0217,87.28
15.249122,1,1,104.67,0.6599,60.0
15.309503,1,0,105.67,0.7237,61.13
15.370981,1,0,109.33,0.9736,67.5
15.438832,0,0,99.0,0.3031,79.25
15.518434,0,0,95.33,0.0649,82.57
15.601341,0,0,95.67,0.087,59.01
15.660697,0,0,95.67,0.087,87.39
15.74843,1,1,105.67,0.7361,60.43
15.809247,1,0,105.67,0.7361,60.52
15.87012,1,0,110.0,1.0,68.35
15.938824,0,0,99.0,0.298,78.98
16.018154,0,0,95.33,0.0638,82.49
16.100999,0,0,95.67,0.0855,59.43
16.160783,0,0,95.33,0.0473,87.26
16.24839,1,1,105.33,0.6967,60.58
16.309358,1,0,105.33,0.6967,60.64
16.370358,1,0,109.33,0.9565,68.19
16.438909,0,0,98.33,0.2463,78.72
16.517987,0,0,95.0,0.0263,83.01
16.601351,0,0,95.33,0.0481,58.81
16.660513,0,0,94.67,0.0023,86.84
16.747714,1,1,105.33,0.7076,61.6
16.809717,1,0,105.67,0.7301,60.23
16.870322,1,0,109.67,1.0,68.23
16.938929,0,0,99.0,0.2887,78.12
17.017422,0,0,95.0,0.022,83.2
17.10099,0,0,95.67,0.0667,58.9
17.160256,0,0,94.67,0.0,87.22
17.247853,1,1,106.0,0.7553,63.07
17.311358,1,0,105.67,0.7333,61.13
17.372866,1,0,109.33,0.9773,68.42
17.441658,0,0,97.0,0.1553,79.14
17.521176,0,0,94.67,0.0,82.74
17.604286,0,0,95.0,0.022,58.43
17.663109,0,0,94.67,0.0,86.07
17.749562,1,1,105.0,0.6887,60.69
17.810694,1,0,105.67,0.7333,60.54
17.871618,1,0,109.33,0.9773,68.03
17.940035,0,0,97.67,0.2042,78.98
18.019421,0,0,94.67,0.0,82.7
18.102499,0,0,95.33,0.0449,58.33
18.161215,0,0,95.0,0.0225,86.63
18.248227,1,1,105.67,0.7486,60.71
18.309368,1,0,106.0,0.7711,61.49
18.371272,1,0,110.0,1.0,68.08
18.439748,0,0,98.67,0.2722,78.63
18.51877,0,0,95.0,0.0225,82.92
18.602084,0,0,96.0,0.0905,58.69
18.661159,0,0,95.0,0.0225,88.02
18.749573,1,1,105.0,0.703,59.39
18.809401,1,0,105.67,0.7486,61.02
18.870771,1,0,109.33,0.9977,68.69
18.939855,0,0,98.33,0.2497,79.55
19.019808,0,0,95.0,0.0225,81.98
19.102184,0,0,95.33,0.045,58.57
19.161151,0,0,95.0,0.0225,87.02
19.248577,1,1,105.0,0.7046,60.28
19.309305,1,0,105.33,0.7271,61.08
19.370792,1,0,109.67,1.0,67.84
19.439035,0,0,98.67,0.2729,78.77
19.518217,0,0,95.0,0.0225,83.04
19.601664,0,0,95.33,0.045,58.79
19.660859,0,0,94.67,0.0,87.06
19.748323,1,1,105.0,0.7046,61.51
19.810288,1,0,105.33,0.7271,59.75
19.870451,1,0,109.33,1.0,68.2
19.939066,0,0,98.33,0.2497,78.37
20.017848,0,0,94.33,0.0,82.43
20.100688,0,0,95.0,0.0225,59.26
20.160359,0,0,94.67,0.0,87.06
20.247828,1,1,105.0,0.7046,60.68
20.308977,1,0,105.33,0.7271,60.6
20.370002,1,0,109.33,1.0,67.68
20.4381,0,0,99.33,0.3179,78.64
20.517163,0,0,94.67,0.0,82.89
20.600487,0,0,95.33,0.045,58.68
20.659583,0,0,95.0,0.0225,87.62
20.747618,1,1,105.33,0.7271,60.75
20.808835,1,0,105.33,0.7271,60.43
20.869692,1,0,110.0,1.0,68.0
20.93812,0,0,99.67,0.3411,78.39
21.016941,0,0,95.0,0.0225,83.29
21.100653,0,0,95.67,0.0682,59.18
21.160259,0,0,95.0,0.0225,87.68
21.248361,1,1,106.0,0.7729,62.48
21.311338,1,0,105.33,0.7271,61.12
21.372903,1,0,109.67,1.0,68.55
21.441892,0,0,97.33,0.1814,78.79
21.521118,0,0,94.67,0.0,82.51
21.604057,0,0,95.0,0.0225,57.89
21.662389,0,0,94.67,0.0,87.18
21.750009,1,1,105.0,0.7046,59.83
21.810326,1,0,105.33,0.7271,60.69
21.871486,1,0,109.67,1.0,67.78
21.939709,0,0,99.0,0.2954,78.51
22.018668,0,0,95.0,0.0225,83.75
22.102883,0,0,95.67,0.0682,57.32
22.16065,0,0,94.33,0.0,87.43
22.24852,1,1,104.67,0.6821,59.6
22.308612,1,0,105.0,0.7046,61.26
22.370327,1,0,109.33,1.0,67.94
22.438714,0,0,98.33,0.2497,78.53
22.517696,0,0,94.33,0.0,82.28
22.600425,0,0,94.67,0.0,59.06
22.659927,0,0,94.33,0.0,86.8
22.747198,1,1,104.67,0.6821,60.85
22.808548,1,0,105.0,0.7046,60.16
22.869172,1,0,108.67,0.955,67.9
22.937528,0,0,99.67,0.3411,78.64
23.016628,0,0,94.67,0.0,82.51
23.099593,0,0,95.33,0.045,58.8
