t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
1.8e-05,0.000261,2.3,0.0,0,0.018
0.975128,1.525523,2.3,0.0,1,975.11
1.063699,2.805492,2.3,0.0,0,88.571
1.156828,4.15133,2.3,0.0,0,93.129
1.216192,5.009218,2.3,0.0,0,59.364
1.287261,6.036261,2.3,0.0,0,71.069
1.353047,0.703762,2.3,0.0,1,65.785
1.419006,1.656957,2.3,0.0,0,65.959
1.496307,2.774058,2.3,0.0,0,77.301
1.582825,4.02436,2.3,0.0,0,86.518
1.670974,5.298234,2.3,0.0,0,88.149
1.732108,6.185641,2.3,0.984951,0,61.134
1.821647,1.203494,2.3,0.981012,1,89.539
1.888583,2.180364,2.3,0.973936,0,66.936
1.960238,3.227369,2.3,0.964379,0,71.655
2.044155,4.453101,2.3,0.952876,0,83.917
2.131604,5.731027,2.3,0.939863,0,87.449
2.195457,0.385638,2.3,0.925692,1,63.853
2.254754,1.252469,2.298453,-0.529696,0,59.297
2.323452,2.249681,2.295676,-0.705839,0,68.698
2.387865,3.17941,2.291924,-0.865684,0,64.413
2.45852,4.193238,2.287408,-1.034373,0,70.655
2.555902,5.584886,2.2823,-1.259615,0,97.382
2.629963,0.351691,2.276737,-1.423356,1,74.061
2.694414,1.257799,2.270833,-1.558463,0,64.451
2.753598,2.08404,2.264858,-1.374158,0,59.184
2.82272,3.047173,2.258851,-1.489264,0,69.122
2.886692,3.932335,2.252841,-1.589705,0,63.972
2.95818,4.91924,2.246854,-1.699403,0,71.488
3.041328,6.065756,2.240908,-1.825334,0,83.148
3.12898,0.987057,2.23502,-1.953871,1,87.653
3.193525,1.861582,2.229201,-2.03658,0,64.545
3.252924,2.660259,2.223639,-1.946115,0,59.399
3.322295,3.594823,2.218306,-2.009129,0,69.372
3.386601,4.45514,2.213178,-2.061577,0,64.306
3.456991,5.396703,2.208233,-2.118685,0,70.389
3.540039,0.227229,2.203455,-2.188675,1,83.048
3.628,1.405127,2.198829,-2.261065,0,87.961
3.693004,2.26208,2.194345,-2.301277,0,65.004
3.752382,3.038527,2.189989,-2.333679,0,59.378
3.821794,3.95036,2.185754,-2.373246,0,69.412
3.888065,4.816246,2.181633,-2.406302,0,66.271
3.95906,5.744259,2.17762,-2.441991,0,70.996
4.04303,0.563895,2.173708,-2.489253,1,83.97
