t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.623799,leader_flash,camera,0.623799,,,
0.623799,follower_flash,follower_oscillator,0.623799,0.623799,0.0,
1.122237,leader_flash,camera,1.122237,,,
1.122237,follower_flash,follower_oscillator,1.122237,1.122237,0.0,
1.619922,leader_flash,camera,1.619922,,,
1.619922,follower_flash,follower_oscillator,1.619922,1.619922,0.0,
2.116776,leader_flash,camera,2.116776,,,
2.116776,follower_flash,follower_oscillator,2.116776,2.116776,0.0,
2.61564,leader_flash,camera,2.61564,,,
2.61564,follower_flash,follower_oscillator,2.61564,2.61564,0.0,
2.61564,sync_achieved,metrics,,,,
3.113615,leader_flash,camera,3.113615,,,
3.113615,follower_flash,follower_oscillator,3.113615,3.113615,0.0,
3.61481,leader_flash,camera,3.61481,,,
3.61481,follower_flash,follower_oscillator,3.61481,3.61481,0.0,
4.114796,leader_flash,camera,4.114796,,,
4.114796,follower_flash,follower_oscillator,4.114796,4.114796,0.0,
4.61403,leader_flash,camera,4.61403,,,
4.61403,follower_flash,follower_oscillator,4.61403,4.61403,0.0,
5.113268,leader_flash,camera,5.113268,,,
5.113268,follower_flash,follower_oscillator,5.113268,5.113268,0.0,
5.613023,leader_flash,camera,5.613023,,,
5.613023,follower_flash,follower_oscillator,5.613023,5.613023,0.0,
6.113464,leader_flash,camera,6.113464,,,
6.113464,follower_flash,follower_oscillator,6.113464,6.113464,0.0,
6.613647,leader_flash,camera,6.613647,,,
6.613647,follower_flash,follower_oscillator,6.613647,6.613647,0.0,
7.111378,leader_flash,camera,7.111378,,,
7.111378,follower_flash,follower_oscillator,7.111378,7.111378,0.0,
7.609323,leader_flash,camera,7.609323,,,
7.609323,follower_flash,follower_oscillator,7.609323,7.609323,0.0,
8.106775,leader_flash,camera,8.106775,,,
8.106775,follower_flash,follower_oscillator,8.106775,8.106775,0.0,
8.605613,leader_flash,camera,8.605613,,,
8.605613,follower_flash,follower_oscillator,8.605613,8.605613,0.0,
9.104385,leader_flash,camera,9.104385,,,
9.104385,follower_flash,follower_oscillator,9.104385,9.104385,0.0,
9.603554,leader_flash,camera,9.603554,,,
9.603554,follower_flash,follower_oscillator,9.603554,9.603554,0.0,
10.102793,leader_flash,camera,10.102793,,,
10.102793,follower_flash,follower_oscillator,10.102793,10.102793,0.0,
10.602304,leader_flash,camera,10.602304,,,
10.602304,follower_flash,follower_oscillator,10.602304,10.602304,0.0,
11.099904,leader_flash,camera,11.099904,,,
11.099904,follower_flash,follower_oscillator,11.099904,11.099904,0.0,
11.597801,leader_flash,camera,11.597801,,,
11.597801,follower_flash,follower_oscillator,11.597801,11.597801,0.0,
12.095132,leader_flash,camera,12.095132,,,
12.095132,follower_flash,follower_oscillator,12.095132,12.095132,0.0,
12.593295,leader_flash,camera,12.593295,,,
12.593295,follower_flash,follower_oscillator,12.593295,12.593295,0.0,
13.090777,follower_flash,follower_oscillator,12.593295,13.090777,-0.497482,
13.151101,leader_flash,camera,13.151101,,,
13.649345,leader_flash,camera,13.649345,,,
13.649345,follower_flash,follower_oscillator,13.649345,13.649345,0.0,
14.146974,leader_flash,camera,14.146974,,,
14.146974,follower_flash,follower_oscillator,14.146974,14.146974,0.0,
14.645365,leader_flash,camera,14.645365,,,
14.645365,follower_flash,follower_oscillator,14.645365,14.645365,0.0,
15.14418,leader_flash,camera,15.14418,,,
15.14418,follower_flash,follower_oscillator,15.14418,15.14418,0.0,
15.643346,leader_flash,camera,15.643346,,,
15.643346,follower_flash,follower_oscillator,15.643346,15.643346,0.0,
16.143676,leader_flash,camera,16.143676,,,
16.143676,follower_flash,follower_oscillator,16.143676,16.143676,0.0,
16.64396,leader_flash,camera,16.64396,,,
16.64396,follower_flash,follower_oscillator,16.64396,16.64396,0.0,
17.143377,leader_flash,camera,17.143377,,,
17.143377,follower_flash,follower_oscillator,17.143377,17.143377,0.0,
17.643281,leader_flash,camera,17.643281,,,
17.643281,follower_flash,follower_oscillator,17.643281,17.643281,0.0,
18.142816,leader_flash,camera,18.142816,,,
18.142816,follower_flash,follower_oscillator,18.142816,18.142816,0.0,
18.642188,leader_flash,camera,18.642188,,,
18.642188,follower_flash,follower_oscillator,18.642188,18.642188,0.0,
19.142096,leader_flash,camera,19.142096,,,
19.142096,follower_flash,follower_oscillator,19.142096,19.142096,0.0,
19.641655,leader_flash,camera,19.641655,,,
19.641655,follower_flash,follower_oscillator,19.641655,19.641655,0.0,
20.142283,leader_flash,camera,20.142283,,,
20.142283,follower_flash,follower_oscillator,20.142283,20.142283,0.0,
20.64304,leader_flash,camera,20.64304,,,
20.64304,follower_flash,follower_oscillator,20.64304,20.64304,0.0,
21.140036,leader_flash,camera,21.140036,,,
21.140036,follower_flash,follower_oscillator,21.140036,21.140036,0.0,
21.637966,leader_flash,camera,21.637966,,,
21.637966,follower_flash,follower_oscillator,21.637966,21.637966,0.0,
22.136136,leader_flash,camera,22.136136,,,
22.136136,follower_flash,follower_oscillator,22.136136,22.136136,0.0,
22.635667,leader_flash,camera,22.635667,,,
22.635667,follower_flash,follower_oscillator,22.635667,22.635667,0.0,
23.134405,leader_flash,camera,23.134405,,,
23.134405,follower_flash,follower_oscillator,23.134405,23.134405,0.0,
23.634057,leader_flash,camera,23.634057,,,
23.634057,follower_flash,follower_oscillator,23.634057,23.634057,0.0,
24.134205,leader_flash,camera,24.134205,,,
24.134205,follower_flash,follower_oscillator,24.134205,24.134205,0.0,
24.633205,leader_flash,camera,24.633205,,,
24.633205,follower_flash,follower_oscillator,24.633205,24.633205,0.0,
25.134236,leader_flash,camera,25.134236,,,
25.134236,follower_flash,follower_oscillator,25.134236,25.134236,0.0,
25.63441,leader_flash,camera,25.63441,,,
25.63441,follower_flash,follower_oscillator,25.63441,25.63441,0.0,
26.134432,leader_flash,camera,26.134432,,,
26.134432,follower_flash,follower_oscillator,26.134432,26.134432,0.0,
26.634269,leader_flash,camera,26.634269,,,
26.634269,follower_flash,follower_oscillator,26.634269,26.634269,0.0,
27.134435,leader_flash,camera,27.134435,,,
27.134435,follower_flash,follower_oscillator,27.134435,27.134435,0.0,
27.635693,leader_flash,camera,27.635693,,,
27.635693,follower_flash,follower_oscillator,27.635693,27.635693,0.0,
28.134976,leader_flash,camera,28.134976,,,
28.134976,follower_flash,follower_oscillator,28.134976,28.134976,0.0,
28.635166,leader_flash,camera,28.635166,,,
28.635166,follower_flash,follower_oscillator,28.635166,28.635166,0.0,
29.134894,leader_flash,camera,29.134894,,,
29.134894,follower_flash,follower_oscillator,29.134894,29.134894,0.0,
29.635398,leader_flash,camera,29.635398,,,
29.635398,follower_flash,follower_oscillator,29.635398,29.635398,0.0,
