t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
7e-06,0.000107,2.3,0.0,0,0.007
0.974106,1.510746,2.3,0.0,1,974.098
1.054653,2.674762,2.3,0.0,0,80.547
1.11375,3.528799,2.3,0.0,0,59.097
1.209867,4.917816,2.3,0.0,0,96.117
1.277295,5.892231,2.3,0.0,0,67.427
1.334502,0.435769,2.3,0.0,1,57.207
1.40874,1.508612,2.3,0.0,0,74.238
1.486437,2.631436,2.3,0.0,0,77.697
1.576034,3.926228,2.3,0.0,0,89.597
1.67063,5.293266,2.3,0.0,0,94.596
1.738172,6.269331,2.3,0.0,0,67.542
1.800541,0.887516,2.3,0.013854,1,62.369
1.872905,1.933372,2.3,0.013799,0,72.364
1.945712,2.985669,2.3,0.013699,0,72.807
2.029439,4.195798,2.3,0.013565,0,83.727
2.122092,5.534934,2.3,0.013403,0,92.653
2.212975,0.565331,2.3,0.01322,1,90.883
2.275408,1.465168,2.299223,-0.641492,0,62.433
2.378787,2.953636,2.297829,-0.76469,0,103.378
2.435286,3.76206,2.295945,-0.827858,0,56.5
2.513121,4.875394,2.293678,-0.913525,0,77.834
2.60288,6.157342,2.291112,-1.009962,0,89.76
2.696978,1.215,2.288319,-1.107861,1,94.098
2.762966,2.148095,2.285355,-1.169775,0,65.988
2.821278,2.963811,2.281679,-2.267532,0,58.312
2.893611,3.973942,2.27745,-2.392411,0,72.333
2.966422,4.984304,2.272794,-2.511072,0,72.81
3.049723,6.138079,2.267815,-2.64359,0,83.301
3.14213,1.131836,2.262598,-2.786882,1,92.408
3.234663,2.403789,2.257212,-2.923395,0,92.533
3.298078,3.258482,2.252264,-2.4675,0,63.415
3.389837,4.511194,2.247685,-2.512146,0,91.758
3.464258,5.515431,2.243421,-2.536661,0,74.421
3.548706,0.37492,2.239425,-2.5674,1,84.449
3.642315,1.643484,2.235659,-2.603285,0,93.608
3.734819,2.893504,2.232094,-2.635123,0,92.505
3.797968,3.727757,2.228504,-2.966654,0,63.149
3.890493,4.970118,2.224909,-3.020361,0,92.525
3.965276,5.960797,2.221324,-3.050422,0,74.783
4.049904,0.802613,2.217762,-3.087974,1,84.628
4.143515,2.049582,2.214232,-3.131825,0,93.61
4.235677,3.298273,2.210743,3.112395,0,92.162
4.298869,4.160834,2.20711,2.901413,0,63.192
4.391401,5.443073,2.203376,2.796459,0,92.533
4.465923,0.201605,2.199578,2.702416,1,74.521
4.550416,1.387704,2.195743,2.586668,0,84.493
4.643942,2.702519,2.191894,2.453532,0,93.526
4.737263,4.016616,2.188048,2.316764,0,93.321
4.800617,4.919469,2.184214,2.191084,0,63.354
4.892751,6.217599,2.180403,2.051665,0,92.134
4.968382,1.005238,2.176626,1.931488,1,75.631
5.057924,2.264762,2.172892,1.796543,0,89.542
5.152838,3.595165,2.169207,1.657562,0,94.914
5.223822,4.596488,2.165575,1.546813,0,70.984
5.288627,5.511829,2.162002,1.618634,0,64.805
5.363279,0.275603,2.158488,1.508353,1,74.651
5.435452,1.286348,2.155037,1.402889,0,72.174
5.514892,2.3927,2.15165,1.292803,0,79.44
5.606178,3.656075,2.148328,1.174214,0,91.286
5.702229,4.980236,2.14507,1.054486,0,96.052
5.769419,5.911774,2.141877,0.964951,0,67.19
5.827833,0.436751,2.138749,0.318759,1,58.414
5.9012,1.44123,2.135685,0.232028,0,73.367
5.976393,2.465684,2.132685,0.148615,0,75.193
6.06168,3.621137,2.129748,0.061222,0,85.287
6.156211,4.896076,2.126873,-0.029381,0,94.531
6.22675,5.846312,2.124059,-0.096275,0,70.539
6.291079,0.429254,2.121306,0.386092,1,64.328
6.365317,1.42612,2.118611,0.321159,0,74.238
6.438248,2.403884,2.115975,0.258709,0,72.931
6.517274,3.460854,2.113396,0.193405,0,79.025
6.6096,4.692387,2.110872,0.120386,0,92.327
6.704699,5.958308,2.108404,0.047654,0,95.099
6.770862,0.555301,2.105989,-0.002689,1,66.163
6.829626,1.333445,2.103612,-0.596386,0,58.764
6.902179,2.290267,2.101275,-0.646591,0,72.553
6.977456,3.279648,2.098979,-0.694857,0,75.278
7.063305,4.40526,2.096726,-0.746609,0,85.848
7.158196,5.646901,2.094514,-0.800853,0,94.891
7.228752,0.282139,2.092346,-0.836631,1,70.557
7.293228,1.120434,2.090325,-0.311166,0,64.476
7.367993,2.093583,2.08843,-0.334537,0,74.765
7.45455,3.220889,2.086643,-0.362565,0,86.557
7.52646,4.155351,2.084949,-0.383864,0,71.91
7.617403,5.338399,2.083337,-0.412246,0,90.943
7.713174,0.300438,2.081797,-0.441625,1,95.771
7.777893,1.138993,2.080463,-0.310852,0,64.718
7.872128,2.363181,2.079298,-0.317248,0,94.235
7.945416,3.313255,2.078274,-0.320239,0,73.288
8.029678,4.40634,2.077366,-0.324531,0,84.262
8.124687,5.639346,2.076555,-0.329955,0,95.009
8.217899,0.565319,2.075825,-0.334788,1,93.212
8.282601,1.401254,2.075023,-0.587412,0,64.702
8.374853,2.595205,2.074168,-0.610484,0,92.252
8.444769,3.496825,2.073273,-0.624817,0,69.916
8.524079,4.51978,2.07235,-0.641076,0,79.31
8.615052,5.693524,2.071408,-0.659949,0,90.972
8.710306,0.638713,2.070454,-0.679027,1,95.254
8.775617,1.476518,2.069496,-0.687765,0,65.312
8.834603,2.228063,2.068537,-1.494313,0,58.986
8.905984,3.137449,2.067582,-1.49997,0,71.381
8.983054,4.117956,2.066633,-1.503935,0,77.069
9.074447,5.282097,2.065693,-1.509161,0,91.393
9.170704,0.224116,2.064765,-1.513302,1,96.257
9.238716,1.08112,2.063849,-1.507666,0,68.012
9.301583,1.871697,2.062947,-1.097856,0,62.867
9.37409,2.787427,2.062059,-1.092086,0,72.507
9.448118,3.722924,2.061187,-1.086863,0,74.027
9.533496,4.80541,2.06033,-1.084538,0,85.379
9.629398,6.023968,2.059489,-1.084708,0,95.902
9.724503,0.948776,2.058665,-1.084491,1,95.105
9.789824,1.771749,2.057993,-0.949993,0,65.32
9.847522,2.496565,2.057447,-0.92888,0,57.699
9.91982,3.41053,2.057002,-0.908402,0,72.298
9.999124,4.415417,2.056642,-0.888401,0,79.304
10.091136,5.584892,2.05635,-0.868871,0,92.013
10.188206,0.536859,2.056113,-0.849733,1,97.069
10.256022,1.394434,2.055923,-0.830883,0,67.817
