K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
4.5,0,0.142045362,0.956534425,0.033,0.372430141,0,0,0,2.685067319,2.0,0.5,1.284041483,6.257246633,5.700511041,0.556735592,0.556735592,0,0.033342,frequency_step_gt_0.5hz;phase_jump_gt_0.5rad,1.866715749
4.5,0,0.146745432,0.988184727,0.033,0.369312335,1,1,1,2.707735178,2.685067319,0.5,1.698731713,0.535496989,6.257246633,0.561435662,0.561435662,0,0.067271,phase_jump_gt_0.5rad,1.724670387
4.5,0,0.148496227,0.999974591,0.033,0.368164242,1,0,0,2.716179046,2.707735178,0.5,2.113421943,1.098683446,0.535496989,0.563186457,0.563186457,0,0.100784,phase_jump_gt_0.5rad,1.577924955
4.5,0,0.147018598,0.990024231,0.033,0.369132733,1,0,0,2.709052626,2.716179046,0.5,2.528112174,1.660392274,1.098683446,0.561708829,0.561708829,0,0.134389,phase_jump_gt_0.5rad,1.429428728
4.5,0,0.142367559,0.958704098,0.033,0.372214731,1,0,0,2.686621233,2.709052626,0.5,2.942802404,2.217450063,1.660392274,0.557057789,0.557057789,0,0.167956,phase_jump_gt_0.5rad,1.28241013
4.5,0,0.134934714,0.908651273,0.033,0.377248371,1,0,0,2.650773537,2.686621233,0.5,3.357492634,2.767075007,2.217450063,0.549624944,0.549624944,0,0.201544,phase_jump_gt_0.5rad,1.140042571
4.5,0,0.125366638,0.844219783,0.033,0.383932003,1,0,0,2.604627882,2.650773537,0.5,3.772182864,3.307131875,2.767075007,0.540056868,0.540056868,0,0.235104,phase_jump_gt_0.5rad,1.005107857
4.5,0,0.114430235,0.770573971,0.033,0.391867503,1,0,0,2.551882954,2.604627882,0.5,4.186873095,3.83625234,3.307131875,0.529120465,0.529120465,0,0.268232,phase_jump_gt_0.5rad,0.879741219
4.5,0,0.102875054,0.692761304,0.033,0.40061635,1,0,0,2.496153737,2.551882954,0.5,4.601563325,4.353817624,3.83625234,0.517565284,0.517565284,0,0.301744,phase_jump_gt_0.5rad,0.765310985
4.5,0,0.091333351,0.615039398,0.033,0.409753859,1,0,0,2.440489521,2.496153737,0.5,5.016253555,4.859841205,4.353817624,0.506023581,0.506023581,0,0.335276,phase_jump_gt_0.5rad,0.662435931
4.5,0,0.080273158,0.540559984,0.033,0.418910005,1,0,0,2.387147571,2.440489521,0.5,5.430943786,5.354804593,4.859841205,0.494963388,0.494963388,0,0.368806,,0.57110258
4.5,0,0.069996597,0.471357553,0.033,0.427791934,1,0,0,2.337584981,2.387147571,0.5,5.845634016,5.83949142,5.354804593,0.484686827,0.484686827,0,0.402399,,0.490829423
4.5,0,0.060665332,0.408520756,0.033,0.436189521,2,1,1,2.292581439,2.337584981,0.5,6.260324246,0.031661675,5.83949142,0.475355563,0.475355563,0,0.435914,,0.420832826
4.5,0,0.052336001,0.352430985,0.033,0.443968885,2,0,0,2.2524101,2.292581439,0.5,0.391829169,0.498687907,0.031661675,0.467026232,0.467026232,0,0.469461,,0.360167494
4.5,0,0.044994428,0.302992778,0.033,0.451059463,2,0,0,2.217002593,2.2524101,0.5,0.806519399,0.958372565,0.498687907,0.459684658,0.459684658,0,0.50301,,0.307831493
4.5,0,0.038583452,0.259821225,0.033,0.457439122,2,0,0,2.186083245,2.217002593,0.5,1.22120963,1.411646247,0.958372565,0.453273682,0.453273682,0,0.536565,,0.262837065
4.5,0,0.033023241,0.222378727,0.033,0.463120117,2,0,0,2.159267031,2.186083245,0.5,1.63589986,1.859359718,1.411646247,0.447713471,0.447713471,0,0.570062,,0.224253613
4.5,0,0.028224947,0.190066982,0.033,0.4681373,2,0,0,2.136125449,2.159267031,0.5,2.05059009,2.302274895,1.859359718,0.442915177,0.442915177,0,0.603178,,0.191230372
4.5,0,0.024099251,0.162284521,0.033,0.472538937,2,0,0,2.116227726,2.136125449,0.5,2.465280321,2.741064377,2.302274895,0.438789482,0.438789482,0,0.636402,,0.163005425
4.5,0,0.020561296,0.138459907,0.033,0.476379984,2,0,0,2.099164604,2.116227726,0.5,2.879970551,3.176315903,2.741064377,0.435251527,0.435251527,0,0.669938,,0.138906174
4.5,0,0.01753322,0.118068824,0.033,0.479717412,2,0,0,2.084560567,2.099164604,0.5,3.294660781,3.608539354,3.176315903,0.432223451,0.432223451,0,0.703227,,0.118344878
4.5,0,0.014945186,0.100640986,0.033,0.482607129,2,0,0,2.072078797,2.084560567,0.5,3.709351011,4.038174771,3.608539354,0.429635417,0.429635417,0,0.736779,,0.100811657
4.5,0,0.012735508,0.085760994,0.033,0.485102082,2,0,0,2.061421787,2.072078797,0.5,4.124041242,4.465600508,4.038174771,0.427425738,0.427425738,0,0.770332,,0.085866471
4.5,0,0.117179086,0.789084751,0.033,0.389842221,2,0,0,2.565140324,2.061421787,0.5,0.41469023,4.997469824,4.465600508,0.531869316,0.531869316,1,0.803474,frequency_step_gt_0.5hz;phase_jump_gt_0.5rad,2.232275029
