t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,bootstrap_estimate
0.0,0.0,1.8,0.0,0.0,0.0,0,0,1
0.01,0.113097,1.8,0.113097,-0.0,-0.0,0,0,1
0.02,0.226195,1.8,0.226195,-0.0,-0.0,0,0,1
0.03,0.339292,1.8,0.339292,-0.0,-0.0,0,0,1
0.04,0.452389,1.8,0.452389,-0.0,-0.0,0,0,1
0.05,0.565487,1.8,0.565487,0.0,0.0,0,0,1
0.06,0.678584,1.8,0.678584,0.0,0.0,0,0,1
0.07,0.791681,1.8,0.791681,0.0,0.0,0,0,1
0.08,0.904779,1.8,0.904779,0.0,0.0,0,0,1
0.09,1.017876,1.8,1.017876,-0.0,-0.0,0,0,1
0.1,1.130973,1.8,1.130973,-0.0,-0.0,0,0,1
0.11,1.244071,1.8,1.244071,-0.0,-0.0,0,0,1
0.12,1.357168,1.8,1.357168,-0.0,-0.0,0,0,1
0.13,1.470265,1.8,1.470265,-0.0,-0.0,0,0,1
0.14,1.583363,1.8,1.583363,-0.0,-0.0,0,0,1
0.15,1.69646,1.8,1.69646,-0.0,-0.0,0,0,1
0.16,1.809557,1.8,1.809557,-0.0,-0.0,0,0,1
0.17,1.922655,1.8,1.922655,-0.0,-0.0,0,0,1
0.18,2.035752,1.8,2.035752,-0.0,-0.0,0,0,1
0.19,2.148849,1.8,2.148849,-0.0,-0.0,0,0,1
0.2,2.261947,1.8,2.261947,-0.0,-0.0,0,0,1
0.21,2.375044,1.8,2.375044,-0.0,-0.0,0,0,1
0.22,2.488141,1.8,2.488141,0.0,0.0,0,0,1
0.23,2.601239,1.8,2.601239,0.0,0.0,0,0,1
0.24,2.714336,1.8,2.714336,0.0,0.0,0,0,1
0.25,2.827433,1.8,2.827433,-0.0,-0.0,0,0,1
0.26,2.940531,1.8,2.940531,-0.0,-0.0,0,0,1
0.27,3.053628,1.8,3.053628,-0.0,-0.0,0,0,1
0.28,3.166725,1.8,3.166725,-0.0,-0.0,0,0,1
0.29,3.279823,1.8,3.279823,-0.0,-0.0,0,0,1
0.3,3.39292,1.8,3.39292,-0.0,-0.0,0,0,1
0.31,3.506017,1.8,3.506017,-0.0,-0.0,0,0,1
0.32,3.619115,1.8,3.619115,-0.0,-0.0,0,0,1
0.33,3.732212,1.8,3.732212,-0.0,-0.0,0,0,1
0.34,3.845309,1.8,3.845309,0.0,0.0,0,0,1
0.35,3.958407,1.8,3.958407,0.0,0.0,0,0,1
0.36,4.071504,1.8,4.071504,0.0,0.0,0,0,1
0.37,4.184601,1.8,4.184601,0.0,0.0,0,0,1
0.38,4.297699,1.8,4.297699,0.0,0.0,0,0,1
0.39,4.410796,1.8,4.410796,0.0,0.0,0,0,1
0.4,4.523893,1.8,4.523893,0.0,0.0,0,0,1
0.41,4.636991,1.8,4.636991,0.0,0.0,0,0,1
0.42,4.750088,1.8,4.750088,0.0,0.0,0,0,1
0.43,4.863185,1.8,4.863185,0.0,0.0,0,0,1
0.44,4.976283,1.8,4.976283,0.0,0.0,0,0,1
0.45,5.08938,1.8,5.08938,0.0,0.0,0,0,1
0.46,5.202477,1.8,5.202477,0.0,0.0,0,0,1
0.47,5.315575,1.8,5.315575,0.0,0.0,0,0,1
0.48,5.428672,1.8,5.428672,0.0,0.0,0,0,1
0.49,5.541769,1.8,5.541769,0.0,0.0,0,0,1
0.5,5.654867,1.8,0.0,0.628319,0.587785,0,0,0
0.51,5.788537,1.8,0.125664,0.620312,0.581289,0,0,0
0.52,5.921979,1.8,0.251327,0.612534,0.574942,0,0,0
0.53,6.055199,1.8,0.376991,0.604977,0.568743,0,0,0
0.54,6.188203,1.8,0.502655,0.597637,0.562691,1,0,0
0.55,0.037809,1.8,0.628319,0.59051,0.556784,0,0,0
0.56,0.170394,1.8,0.753982,0.583589,0.551022,0,0,0
0.57,0.302777,1.8,0.879646,0.576869,0.545402,0,0,0
0.58,0.434963,1.8,1.00531,0.570346,0.539924,0,0,0
0.59,0.566958,1.8,1.130973,0.564015,0.534584,0,0,0
0.6,0.698766,1.8,1.256637,0.557871,0.529382,0,0,0
0.61,0.830391,1.8,1.382301,0.551909,0.524314,0,0,0
0.62,0.96184,1.8,1.507964,0.546125,0.51938,0,0,0
0.63,1.093115,1.8,1.633628,0.540513,0.514576,0,0,0
