K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
3.0,0,0.004583356,0.046296527,0.033,0.49453417,2,0,0,2.022104963,2.024530592,0.5,3.732212072,4.105172577,3.685898991,0.419273586,0.419273586,0,0.970122,,0.046313082
3.0,0,0.004130044,0.041717615,0.033,0.495069432,2,0,0,2.019918694,2.022104963,0.5,4.146902303,4.523992852,4.105172577,0.418820274,0.418820274,0,1.003288,,0.041729725
3.0,0,0.003721491,0.037590823,0.033,0.495552836,2,0,0,2.017948296,2.019918694,0.5,4.561592533,4.942404573,4.523992852,0.418411722,0.418411722,0,1.036818,,0.037599681
3.0,0,0.003353299,0.03387171,0.033,0.495989294,2,0,0,2.01617255,2.017948296,0.5,4.976282763,5.360448103,4.942404573,0.41804353,0.41804353,0,1.069969,,0.03387819
3.0,0,0.097894613,0.988834472,0.033,0.404508869,2,0,0,2.472133682,2.01617255,0.415951451,0.498483933,5.873032946,5.360448103,0.512584843,0.512584843,1,1.103528,phase_jump_gt_0.5rad,1.421221137
3.0,0,0.09767686,0.986634945,0.033,0.404680783,3,1,1,2.471083485,2.472133682,0.415951451,0.996967866,0.102214728,5.873032946,0.51236709,0.51236709,0,1.137106,phase_jump_gt_0.5rad,1.407120227
3.0,0,0.097443495,0.984277727,0.033,0.404865184,3,0,0,2.469957997,2.471083485,0.415951451,1.495451798,0.614348454,0.102214728,0.512133725,0.512133725,0,1.170605,phase_jump_gt_0.5rad,1.39323707
3.0,0,0.097195743,0.981775178,0.033,0.405061139,3,0,0,2.468763118,2.469957997,0.415951451,1.993935731,1.126234427,0.614348454,0.511885973,0.511885973,0,1.203815,phase_jump_gt_0.5rad,1.379587277
3.0,0,0.096934868,0.97914008,0.033,0.405267677,3,0,0,2.467504951,2.468763118,0.415951451,2.492419664,1.637859525,1.126234427,0.511625098,0.511625098,0,1.237088,phase_jump_gt_0.5rad,1.366185237
3.0,0,0.096662165,0.976385508,0.033,0.405483805,3,0,0,2.46618974,2.467504951,0.415951451,2.990903597,2.14921192,1.637859525,0.511352396,0.511352396,0,1.270591,phase_jump_gt_0.5rad,1.353044072
3.0,0,0.096378945,0.973524698,0.033,0.405708513,3,0,0,2.464823804,2.46618974,0.415951451,3.489387529,2.660281096,2.14921192,0.511069175,0.511069175,0,1.304097,phase_jump_gt_0.5rad,1.340175609
3.0,0,0.096086521,0.970570919,0.033,0.405940785,3,0,0,2.463413478,2.464823804,0.415951451,3.987871462,3.171057847,2.660281096,0.510776751,0.510776751,0,1.337532,phase_jump_gt_0.5rad,1.327590367
3.0,0,0.095786199,0.967537361,0.033,0.406179607,3,0,0,2.461965061,2.463413478,0.415951451,4.486355395,3.681534276,3.171057847,0.510476429,0.510476429,0,1.370862,phase_jump_gt_0.5rad,1.315297548
3.0,0,0.095479265,0.964437019,0.033,0.406423977,3,0,0,2.460484756,2.461965061,0.415951451,4.984839328,4.191703771,3.681534276,0.510169495,0.510169495,0,1.404148,phase_jump_gt_0.5rad,1.303305052
3.0,0,0.095166977,0.961282598,0.033,0.406672912,3,0,0,2.458978632,2.460484756,0.415951451,5.483323261,4.701560979,4.191703771,0.509857208,0.509857208,0,1.43733,phase_jump_gt_0.5rad,1.291619489
3.0,0,0.094850556,0.958086425,0.033,0.406925453,3,0,0,2.457452571,2.458978632,0.415951451,5.981807193,5.211101765,4.701560979,0.509540786,0.509540786,0,1.470526,phase_jump_gt_0.5rad,1.280246215
3.0,0,0.094531176,0.954860365,0.033,0.407180673,3,0,0,2.455912241,2.457452571,0.415951451,0.197105819,5.720323171,5.211101765,0.509221406,0.509221406,0,1.503885,phase_jump_gt_0.5rad,1.269189361
3.0,0,0.086428262,0.873012747,0.033,0.413764645,3,0,0,2.416832882,2.455912241,0.415951451,0.498483933,6.221441664,5.720323171,0.501118492,0.501118492,1,1.537134,phase_jump_gt_0.5rad,1.061346069
