agent_id,f_lock_hz,fire_count,flash_on,frequency_hz,lock_hold_state,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,,1,1,2.17104,acquisition,3.718918,0,1,virtual,3e-06,all_to_all
V1,,2,1,2.395122,acquisition,6.238587,0,1,virtual,3e-06,all_to_all
P0,,0,0,2.277602,acquisition,4.281547,,0,pi,3e-06,all_to_all
V0,,1,0,2.19551,acquisition,5.211435,0,3,virtual,0.532367,all_to_all
V1,,3,1,2.395122,acquisition,1.299037,0,1,virtual,0.532367,all_to_all
P0,,1,1,2.277602,acquisition,5.616807,,0,pi,0.532367,all_to_all
V0,,2,1,2.326369,acquisition,1.345361,2,5,virtual,0.755616,all_to_all
V1,,3,1,2.436517,acquisition,3.566384,2,4,virtual,0.755616,all_to_all
P0,,2,0,2.277602,acquisition,2.528453,,0,pi,0.755616,all_to_all
V0,,2,0,2.626369,acquisition,4.416552,2,5,virtual,0.956419,all_to_all
V1,,4,1,2.714557,acquisition,0.249714,2,4,virtual,0.956419,all_to_all
P0,,2,0,2.277602,acquisition,5.422564,,0,pi,0.956419,all_to_all
V0,,3,1,2.926369,acquisition,1.618743,3,7,virtual,1.160742,all_to_all
V1,,4,1,3.014557,acquisition,3.575597,3,6,virtual,1.160742,all_to_all
P0,,3,0,2.277602,acquisition,2.122007,,1,pi,1.160742,all_to_all
V0,,3,0,3.109042,acquisition,6.06413,3,8,virtual,1.390117,all_to_all
V1,,5,1,3.173246,acquisition,1.506176,3,6,virtual,1.390117,all_to_all
P0,,3,0,2.309513,acquisition,5.402263,,0,pi,1.390117,all_to_all
V0,,4,1,3.132655,acquisition,3.708158,4,9,virtual,1.590627,all_to_all
V1,,5,0,3.185269,acquisition,5.355301,4,8,virtual,1.590627,all_to_all
P0,,4,0,2.354105,acquisition,2.011543,,0,pi,1.590627,all_to_all
V0,,5,1,3.097542,acquisition,1.254365,4,10,virtual,1.790848,all_to_all
V1,,6,1,3.139452,acquisition,3.042832,4,9,virtual,1.790848,all_to_all
P0,,4,0,2.447039,acquisition,5.105723,,0,pi,1.790848,all_to_all
V0,,5,1,3.060765,acquisition,4.388287,5,11,virtual,1.994541,all_to_all
V1,,7,1,3.095655,acquisition,0.013015,5,10,virtual,1.994541,all_to_all
P0,,5,0,2.511003,acquisition,2.117203,,0,pi,1.994541,all_to_all
V0,,6,1,3.006733,acquisition,2.636006,5,12,virtual,2.22458,all_to_all
V1,,7,1,3.0351,acquisition,4.358014,5,11,virtual,2.22458,all_to_all
P0,,5,0,2.615387,acquisition,5.90967,,0,pi,2.22458,all_to_all
V0,,7,1,2.961212,acquisition,0.868903,6,14,virtual,2.457607,all_to_all
V1,,8,1,2.992335,acquisition,2.30982,6,13,virtual,2.457607,all_to_all
P0,,6,0,2.672029,acquisition,3.456662,,0,pi,2.457607,all_to_all
V0,,7,0,2.926923,acquisition,5.927096,6,15,virtual,2.658413,all_to_all
V1,,9,1,2.963568,acquisition,0.815211,6,13,virtual,2.658413,all_to_all
P0,,7,1,2.667517,acquisition,0.552627,,0,pi,2.658413,all_to_all
V0,,8,1,2.907281,acquisition,2.744694,7,16,virtual,2.891583,all_to_all
V1,,9,1,2.947346,acquisition,3.773988,7,15,virtual,2.891583,all_to_all
P0,,7,0,2.642486,acquisition,4.606157,,0,pi,2.891583,all_to_all
V0,,9,1,2.884088,acquisition,0.118084,8,18,virtual,3.100573,all_to_all
V1,,10,1,2.92793,acquisition,1.006641,8,16,virtual,3.100573,all_to_all
P0,,8,0,2.633098,acquisition,1.961361,,0,pi,3.100573,all_to_all
V0,,9,0,2.856506,acquisition,4.933411,8,18,virtual,3.325136,all_to_all
V1,,10,0,2.904714,acquisition,5.696699,8,17,virtual,3.325136,all_to_all
P0,,8,0,2.640744,acquisition,5.859346,,0,pi,3.325136,all_to_all
V0,,10,1,2.843718,acquisition,1.621588,9,21,virtual,3.525174,all_to_all
V1,,12,1,2.892003,acquisition,2.330244,9,19,virtual,3.525174,all_to_all
P0,,9,0,2.651743,acquisition,2.858228,,0,pi,3.525174,all_to_all
V0,,10,0,2.834122,acquisition,5.145649,9,21,virtual,3.725383,all_to_all
V1,,12,0,2.878467,acquisition,5.790157,9,19,virtual,3.725383,all_to_all
P0,,9,0,2.650835,acquisition,6.177445,,0,pi,3.725383,all_to_all
V0,,11,1,2.824983,acquisition,2.944274,10,23,virtual,3.959005,all_to_all
V1,,13,1,2.863655,acquisition,3.513442,10,21,virtual,3.959005,all_to_all
P0,,10,0,2.635208,acquisition,3.776187,,0,pi,3.959005,all_to_all
V0,,12,1,2.811508,acquisition,1.283072,11,25,virtual,4.229228,all_to_all
V1,,14,1,2.844129,acquisition,1.771726,11,23,virtual,4.229228,all_to_all
P0,,11,0,2.637704,acquisition,1.77186,,0,pi,4.229228,all_to_all
V0,,12,0,2.804732,acquisition,5.327655,11,25,virtual,4.45934,all_to_all
V1,,14,0,2.832718,acquisition,5.748732,11,23,virtual,4.45934,all_to_all
P0,,11,0,2.652677,acquisition,5.346692,,0,pi,4.45934,all_to_all
V0,,13,1,2.795604,acquisition,3.073462,12,27,virtual,4.692618,all_to_all
V1,,15,1,2.820576,acquisition,3.433807,12,25,virtual,4.692618,all_to_all
P0,,12,0,2.665962,acquisition,2.830036,,1,pi,4.692618,all_to_all
V0,,14,1,2.781706,acquisition,0.20161,12,27,virtual,4.893155,all_to_all
V1,,16,1,2.803844,acquisition,0.511564,12,25,virtual,4.893155,all_to_all
P0,,12,0,2.676857,acquisition,6.071132,,0,pi,4.893155,all_to_all
V0,,14,1,2.767349,acquisition,3.5575,13,29,virtual,5.09323,all_to_all
V1,,16,1,2.782966,acquisition,3.833049,13,27,virtual,5.09323,all_to_all
P0,,13,0,2.681353,acquisition,3.085741,,0,pi,5.09323,all_to_all
V0,,15,1,2.748689,acquisition,1.69005,13,30,virtual,5.293353,all_to_all
V1,,17,1,2.754103,acquisition,1.921826,13,28,virtual,5.293353,all_to_all
P0,,14,1,2.686373,acquisition,0.102585,,0,pi,5.293353,all_to_all
V0,,15,1,2.737505,acquisition,3.885797,14,31,virtual,5.493544,all_to_all
V1,,17,1,2.740838,acquisition,4.098538,14,29,virtual,5.493544,all_to_all
P0,,14,0,2.689098,acquisition,3.445188,,0,pi,5.493544,all_to_all
V0,,16,1,2.712844,acquisition,2.511222,15,34,virtual,5.798256,all_to_all
V1,,19,1,2.714569,acquisition,2.687274,15,31,virtual,5.798256,all_to_all
P0,,15,0,2.692736,acquisition,2.26372,,2,pi,5.798256,all_to_all
V0,,17,1,2.696007,acquisition,6.280439,15,34,virtual,6.027027,all_to_all
V1,,20,1,2.697327,acquisition,0.149632,15,31,virtual,6.027027,all_to_all
P0,,15,0,2.686945,acquisition,6.064582,,0,pi,6.027027,all_to_all
V0,,18,1,2.683931,acquisition,3.772674,16,36,virtual,6.260714,all_to_all
V1,,20,1,2.685002,acquisition,3.887854,16,34,virtual,6.260714,all_to_all
P0,,16,0,2.680484,acquisition,3.635219,,0,pi,6.260714,all_to_all
V0,,19,1,2.67565,acquisition,2.929795,18,39,virtual,6.531394,all_to_all
V1,,21,1,2.676526,acquisition,2.987192,18,37,virtual,6.531394,all_to_all
P0,,18,1,2.673541,acquisition,1.711737,,2,pi,6.531394,all_to_all
V0,,19,0,2.675939,acquisition,5.611879,18,39,virtual,6.761025,all_to_all
V1,,21,0,2.676794,acquisition,5.658819,18,37,virtual,6.761025,all_to_all
P0,,18,0,2.671332,acquisition,5.502941,,0,pi,6.761025,all_to_all
V0,,20,1,2.6812,acquisition,3.080522,19,41,virtual,6.994429,all_to_all
V1,,22,1,2.682027,acquisition,3.119791,19,39,virtual,6.994429,all_to_all
P0,,19,0,2.668216,acquisition,3.087093,,0,pi,6.994429,all_to_all
V0,,21,1,2.693343,acquisition,1.164163,20,43,virtual,7.194833,all_to_all
V1,,23,1,2.694103,acquisition,1.197878,20,41,virtual,7.194833,all_to_all
P0,,20,1,2.652501,acquisition,6.250593,,0,pi,7.194833,all_to_all
V0,,21,1,2.700117,acquisition,3.366799,21,44,virtual,7.414809,all_to_all
V1,,23,1,2.700827,acquisition,3.398228,21,42,virtual,7.414809,all_to_all
P0,,21,0,2.645911,acquisition,3.552891,,2,pi,7.414809,all_to_all
V0,,22,1,2.726991,acquisition,1.435995,22,46,virtual,7.70034,all_to_all
V1,,24,1,2.728236,acquisition,1.4636,22,44,virtual,7.70034,all_to_all
P0,,22,0,2.6227,acquisition,1.762019,,1,pi,7.70034,all_to_all
V0,,22,0,2.769324,acquisition,5.903188,22,46,virtual,7.928372,all_to_all
V1,,24,0,2.776965,acquisition,5.939047,22,44,virtual,7.928372,all_to_all
P0,,22,0,2.595517,acquisition,5.297915,,0,pi,7.928372,all_to_all
V0,,23,1,2.796955,acquisition,2.497837,23,48,virtual,8.131622,all_to_all
V1,,25,1,2.8094,acquisition,2.546713,23,46,virtual,8.131622,all_to_all
P0,,23,0,2.584685,acquisition,2.245139,,1,pi,8.131622,all_to_all
V0,,24,1,2.832387,acquisition,0.221891,23,48,virtual,8.362155,all_to_all
V1,,26,1,2.851227,acquisition,0.29611,23,46,virtual,8.362155,all_to_all
P0,,23,0,2.561748,acquisition,5.77398,,0,pi,8.362155,all_to_all
V0,,24,1,2.854734,acquisition,4.256102,24,50,virtual,8.595557,all_to_all
V1,,26,1,2.879182,acquisition,4.359849,24,48,virtual,8.595557,all_to_all
P0,,24,0,2.546062,acquisition,3.1312,,0,pi,8.595557,all_to_all
