common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
2.636825,,0.124476,0,1,acquisition,,0.328264,0.33456,0,17.701518,0
2.638671,,0.134529,0,1,acquisition,,0.29952,0.367937,0,17.989571,0
2.642832,,0.130706,0,1,acquisition,,0.318525,0.340916,0,18.201789,0
2.649025,,0.119677,0,1,acquisition,,0.317038,0.342285,0,18.402095,0
2.657779,,0.100121,0,1,acquisition,,0.326651,0.335121,0,18.602261,0
2.661684,,0.095145,0,1,acquisition,,0.320376,0.339087,0,18.834523,0
2.671964,,0.070703,0,1,acquisition,,0.325306,0.335702,0,19.11096,0
2.687358,,0.030483,0,1,acquisition,,0.232648,0.547377,0,19.335513,0
2.690651,,0.02303,0,1,acquisition,,0.307859,0.353108,0,19.536179,0
2.695674,,0.012522,0,1,acquisition,,0.287675,0.391052,0,19.811471,0
2.707713,,0.020372,0,1,acquisition,,0.285024,0.397008,0,20.036486,0
2.715223,,0.03998,0,1,acquisition,,0.271047,0.432354,0,20.236618,0
2.724474,,0.064091,0,1,acquisition,,0.242519,0.51566,0,20.504747,0
2.724131,,0.06021,0,1,acquisition,,0.235009,0.53878,0,20.736331,0
2.722026,,0.05175,0,1,acquisition,,0.230313,0.553325,0,20.937063,0
2.718383,,0.037596,0,1,acquisition,,0.229807,0.554745,0,21.202712,0
2.717574,,0.019947,0,1,acquisition,,0.234104,0.541188,0,21.403509,0
2.719068,,0.006139,0,1,acquisition,,0.244618,0.508531,0,21.604045,0
2.717417,,0.003628,0,1,acquisition,,0.286588,0.392471,0,21.837538,0
2.720975,,0.008192,0,1,acquisition,,0.259761,0.463055,0,22.037663,0
2.728702,,0.032156,0,1,acquisition,,0.243103,0.51289,0,22.310429,0
2.734775,,0.034607,0,1,acquisition,,0.255032,0.476748,0,22.537157,0
2.741211,,0.040759,0,1,acquisition,,0.253954,0.479891,0,22.738047,0
2.748796,,0.063958,0,1,acquisition,,0.165305,0.749605,0,23.013701,0
2.760575,,0.087931,0,1,acquisition,,0.227652,0.56072,0,23.237607,0
2.765169,,0.089876,0,1,acquisition,,0.155846,0.775445,0,23.438812,0
2.768851,,0.081674,0,1,acquisition,,0.139398,0.817897,0,23.712545,0
2.780945,,0.085948,0,1,acquisition,,0.119026,0.865349,0,23.939198,0
2.790861,,0.079605,0,1,acquisition,,0.081047,0.936356,0,24.172367,0
2.796159,,0.062507,0,1,acquisition,,0.045225,0.979979,0,24.408882,0
2.797768,,0.038581,0,1,acquisition,,0.028304,0.992144,0,24.639556,0
2.799661,,0.022906,0,1,acquisition,,0.012779,0.998403,0,24.839644,0
2.800808,,0.001108,0,1,acquisition,,0.011517,0.998702,0,25.16375,0
2.791425,,0.027462,0,1,acquisition,,0.011695,0.99866,0,25.373263,0
2.778224,,0.051486,0,1,acquisition,,0.01168,0.998662,0,25.606639,0
2.757192,,0.079037,0,1,acquisition,,0.001822,0.999968,0,25.875385,0
2.747689,,0.076488,0,1,acquisition,,0.012757,0.998401,0,26.107051,0
2.742087,,0.065683,0,1,acquisition,,0.009927,0.999032,0,26.341037,0
2.729416,,0.072975,0,1,acquisition,,0.018691,0.996563,0,26.645301,0
2.724882,,0.065041,0,1,acquisition,,0.029167,0.991632,0,26.87415,0
2.722343,,0.053783,0,1,acquisition,,0.025069,0.993815,0,27.107994,0
2.712969,,0.061931,0,1,acquisition,,0.040341,0.984013,0,27.410303,0
2.711644,,0.054138,0,1,acquisition,,0.051474,0.974033,0,27.641347,0
2.712069,,0.044524,0,1,acquisition,,0.048824,0.976621,0,27.841473,0
2.712631,,0.035824,0,1,acquisition,,0.049682,0.975796,0,28.045278,0
2.710095,,0.031638,0,1,acquisition,,0.003632,0.99987,0,28.275437,0
2.695028,,0.044142,0,1,acquisition,,0.023498,0.994561,0,28.57523,0
2.68824,,0.042882,0,1,acquisition,,0.028545,0.991978,0,28.775569,0
2.683335,,0.03502,0,1,acquisition,,0.023651,0.994489,0,29.008885,0
2.675898,,0.040397,0,1,acquisition,,0.031028,0.990524,0,29.209228,0
2.665322,,0.039235,0,1,acquisition,,0.03294,0.989322,0,29.442372,0
2.649543,,0.026764,0,1,acquisition,,0.140065,0.815988,0,29.642901,0
2.640877,,0.023375,0,1,acquisition,,0.018517,0.99662,0,29.842936,0
2.625051,,0.017821,0,1,acquisition,,0.004834,0.99977,0,30.11136,0
2.611137,,0.01973,0,1,acquisition,,0.013542,0.998191,0,30.343065,0
2.598701,,0.009224,0,1,acquisition,,0.003136,0.999903,0,30.612085,0
2.587714,,0.001165,0,1,acquisition,,0.027166,0.992731,0,30.916988,0
