agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,2.277602,,,,5.616807,,,,0.532367
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.532367,0.532367
P0,,,pi_flash,2.277602,,,,0.780203,,,,0.633451
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.633451,0.633451
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,85.0,0,,0.922932
P0,,,pi_flash,2.277602,,,,0.606956,,,,1.056232
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.056232,1.056232
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,123.0,1,,1.160742
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8385,,74.0,0,,1.223113
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,123.0,1,,1.457117
P0,,,pi_flash,2.328386,,,,0.065018,,,,1.457117
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.457117,1.457117
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8494,,74.0,0,,1.56074
P0,,,pi_flash,2.495197,,,,0.466841,,,,1.890998
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.890998,1.890998
P0,,,pi_flash,2.629263,,,,0.350422,,,,2.267896
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.267896,2.267896
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9119,,113.0,1,,2.424383
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9412,,83.0,0,,2.524312
P0,,,pi_flash,2.667517,,,,0.552627,,,,2.658413
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.658413,2.658413
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9381,,116.0,1,,2.85805
P0,,,pi_flash,2.63474,,,,0.115608,,,,2.991853
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.991853,2.991853
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8407,,105.0,1,,3.158399
P0,,,pi_flash,2.643742,,,,0.621246,,,,3.388688
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.388688,3.388688
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9735,,120.0,1,,3.493292
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8124,,75.0,0,,3.591774
P0,,,pi_flash,2.646261,,,,0.772168,,,,3.777584
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.777584,3.777584
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9265,,83.0,0,,3.924982
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9912,,122.0,1,,3.924982
P0,,,pi_flash,2.636077,,,,0.098384,,,,4.125804
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.125804,4.125804
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9853,,87.0,0,,4.265309
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9737,,121.0,1,,4.265309
P0,,,pi_flash,2.657315,,,,0.109568,,,,4.525718
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.525718,4.525718
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,126.0,1,,4.632211
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8678,,79.0,0,,4.692618
P0,,,pi_flash,2.678112,,,,0.606082,,,,4.942952
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.942952,4.942952
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,89.0,0,,5.029453
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9449,,118.0,1,,5.029453
P0,,,pi_flash,2.686373,,,,0.102585,,,,5.293353
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,5.293353,5.293353
P0,,,pi_flash,2.692622,,,,0.491516,,,,5.693071
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,5.693071,5.693071
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9565,,86.0,0,,5.798256
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9826,,123.0,1,,5.798256
P0,,,pi_flash,2.685665,,,,0.537677,,,,6.072477
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,6.072477,6.072477
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8353,,78.0,0,,6.193208
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8964,,114.0,1,,6.193208
P0,,,pi_flash,2.674474,,,,6.274155,,,,6.427299
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,6.427299,6.427299
V0,,0,pi_detected_virtual_flash,,0.0,1,0.985,,88.0,0,,6.531394
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9042,,115.0,1,,6.531394
P0,,,pi_flash,2.673541,,,,1.711737,,,,6.531394
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,6.531394,6.531394
P0,,,pi_flash,2.670801,,,,0.322903,,,,6.827612
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,6.827612,6.827612
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9827,,88.0,0,,6.960339
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9045,,115.0,1,,6.960339
P0,,,pi_flash,2.652501,,,,6.250593,,,,7.194833
