t_s,detected_state,leader_flash_event,brightness_used,signal_norm,camera_ms
1.7e-05,0,0,106.67,0.0,981.05
0.981162,0,0,102.67,0.0,83.53
1.064823,0,0,51.0,0.0,56.17
1.121061,0,0,97.33,0.0,58.07
1.179199,0,0,101.33,0.0,60.93
1.240196,0,0,114.0,0.0,58.87
1.299137,0,0,116.67,0.0,62.4
1.361609,0,0,120.33,0.0,74.23
1.435921,0,0,107.0,0.0,85.45
1.521443,0,0,103.67,0.4508,94.18
1.615692,0,0,105.33,0.4137,67.97
1.683733,0,0,104.0,0.3358,62.19
1.745996,1,1,119.67,1.0,72.22
1.818356,1,0,119.67,1.0,71.63
1.890115,1,0,121.67,1.0,83.85
1.974083,0,0,103.33,0.1935,93.43
2.067631,0,0,105.67,0.294,94.45
2.162202,0,0,104.0,0.1961,64.25
2.226596,1,1,115.33,0.768,58.01
2.284791,1,0,119.67,0.9965,71.03
2.355889,1,0,121.67,1.0,99.35
2.455367,0,0,106.33,0.2588,70.1
2.525572,0,0,104.0,0.1291,95.17
2.620853,0,0,106.33,0.2499,67.48
2.688517,0,0,103.0,0.0623,63.12
2.751806,1,1,120.33,1.0,72.7
2.824716,1,0,121.0,1.0,71.55
2.896436,1,0,122.33,1.0,83.87
2.980468,0,0,104.0,0.0853,94.98
3.075614,0,0,106.67,0.2231,92.91
3.168693,0,0,104.67,0.1091,64.7
3.233558,1,1,120.67,0.9837,93.42
3.327182,1,0,121.0,1.0,72.36
3.399706,1,0,122.0,1.0,84.92
3.484794,0,0,103.67,0.0467,93.42
3.57838,0,0,105.67,0.1532,92.71
3.671267,0,0,103.33,0.0251,63.88
3.735315,1,1,119.67,0.9163,93.6
3.829136,1,0,119.67,0.9196,72.81
3.902126,1,0,119.33,0.904,84.65
3.98695,0,0,100.33,0.0,94.38
4.081524,0,0,102.0,0.0,91.63
4.173332,0,0,100.33,0.0,62.74
4.236247,1,1,117.67,0.829,92.44
4.328908,1,0,117.67,0.8284,71.73
4.400822,1,0,119.0,0.8966,83.2
4.484196,0,0,100.0,0.0,91.8
4.576188,0,0,102.0,0.0486,89.88
4.666259,0,0,99.67,0.0,62.76
4.729199,1,1,116.33,0.7741,90.54
4.819973,1,0,117.0,0.8065,68.93
4.889091,1,0,119.0,0.9042,80.94
4.970223,0,0,100.0,0.0,90.82
5.061239,0,0,102.33,0.0971,89.33
5.150772,0,0,99.67,0.0,61.29
5.212252,1,1,116.67,0.7976,89.85
5.302344,1,0,115.0,0.7177,67.94
5.370478,1,0,118.0,0.864,75.83
5.446504,0,0,99.67,0.0,89.2
5.535907,0,0,100.33,0.0159,92.0
5.628111,0,0,101.67,0.0807,65.22
5.693532,0,0,99.0,0.0,60.69
5.754428,1,1,117.33,0.8398,71.6
5.826276,1,0,117.0,0.8252,70.34
5.89682,1,0,118.67,0.9077,82.37
5.979406,0,0,100.0,0.0,91.74
6.071356,0,0,102.33,0.1133,90.25
6.161809,0,0,99.67,0.0,62.19
6.224199,1,1,116.67,0.8105,91.35
6.315802,1,0,115.67,0.7606,68.66
6.384676,1,0,118.67,0.9062,79.54
6.46444,0,0,100.67,0.0325,90.59
6.555253,0,0,102.67,0.1296,90.33
6.6458,0,0,101.0,0.0485,62.86
6.70887,1,1,116.67,0.8091,90.76
6.799884,1,0,114.67,0.7121,68.62
6.868729,1,0,118.67,0.9062,75.83
6.944796,0,0,101.33,0.0658,88.64
7.033667,0,0,102.0,0.099,93.19
7.127077,0,0,103.67,0.1817,65.47
7.192769,0,0,101.0,0.0495,61.37
7.254373,1,1,118.0,0.8912,71.05
7.325691,1,0,118.0,0.8912,71.75
7.397669,1,0,119.0,0.9659,82.43
7.480326,0,0,102.0,0.1017,92.23
7.57278,0,0,104.67,0.2374,91.88
7.664885,0,0,102.0,0.1017,62.81
7.727914,1,1,117.33,0.881,91.88
7.820071,1,0,117.67,0.9014,69.62
7.88993,1,0,119.67,1.0,81.11
7.971276,0,0,102.0,0.1038,92.46
8.063973,0,0,104.33,0.2248,92.01
8.156224,0,0,102.33,0.121,63.31
8.219803,0,0,108.0,0.4153,57.16
8.277204,1,1,117.67,0.93,70.65
8.348087,1,0,119.0,1.0,81.03
8.429359,0,0,104.33,0.2279,91.75
8.521352,0,0,102.0,0.1053,92.9
8.614494,0,0,103.67,0.1932,67.28
8.682009,0,0,101.67,0.0879,62.11
8.744374,1,1,117.67,0.9332,71.62
8.816281,1,0,116.67,0.882,71.31
8.887838,1,0,118.67,1.0,82.21
8.970295,0,0,101.67,0.0894,91.94
9.06248,0,0,104.33,0.2319,89.93
9.152654,0,0,102.0,0.1071,62.0
9.214891,1,1,117.0,0.9106,90.36
9.305586,1,0,116.67,0.8929,68.66
9.374514,1,0,118.33,0.9818,78.18
9.452962,0,0,101.33,0.0712,89.58
9.542827,0,0,101.67,0.0846,93.63
9.636717,0,0,102.67,0.1384,65.23
9.70222,0,0,103.67,0.1775,57.94
9.760428,1,1,118.33,0.9814,72.52
9.833205,1,0,117.67,0.9452,72.04
9.905513,1,0,119.33,1.0,82.77
9.988543,0,0,102.33,0.0872,92.05
10.080854,0,0,105.0,0.2364,91.06
10.172168,0,0,102.33,0.0753,62.42
10.23486,1,1,117.67,0.9434,92.43
10.327599,1,0,118.0,0.9621,71.33
10.399203,1,0,119.33,1.0,82.89
10.482359,0,0,102.0,0.0513,92.55
10.575182,0,0,104.67,0.1926,89.78
10.665236,0,0,102.0,0.0386,63.41
10.728921,1,1,116.67,0.884,91.05
10.820296,1,0,117.0,0.9031,69.82
10.890389,1,0,119.33,1.0,81.3
10.971972,0,0,101.67,0.0138,91.46
11.063724,0,0,104.33,0.1565,92.27
11.156275,0,0,102.67,0.0588,63.12
11.219737,0,0,107.67,0.3529,57.69
11.277719,1,1,117.33,0.9212,68.68
11.346748,1,0,118.33,0.98,77.76
11.424787,0,0,106.67,0.2941,88.81
11.513883,0,0,102.0,0.0194,93.11
11.607278,0,0,104.0,0.1371,64.93
11.672494,0,0,101.67,0.0,61.18
11.733971,1,1,117.33,0.9212,70.52
11.804836,1,0,115.67,0.8235,67.49
11.872627,1,0,118.0,0.9664,77.31
11.950236,0,0,101.0,0.0,88.61
12.039135,0,0,102.0,0.0195,92.68
12.132109,0,0,104.0,0.1379,65.78
12.198188,0,0,102.0,0.0138,59.81
12.258296,1,1,117.33,0.9263,71.0
12.329648,1,0,118.0,0.9662,72.88
12.402852,1,0,118.0,0.9801,87.11
12.490268,0,0,101.67,0.0,92.68
12.583258,0,0,104.33,0.1597,89.76
12.673319,0,0,101.67,0.0,62.53
12.736146,1,1,117.0,0.9202,91.51
12.827999,1,0,117.0,0.9202,71.15
12.899456,1,0,118.67,1.0,82.94
12.982733,0,0,101.67,0.0,91.15
13.074188,0,0,104.33,0.1597,90.41
13.164902,0,0,101.33,0.0,62.44
13.227654,1,1,116.67,0.9004,91.62
13.319625,1,0,116.33,0.88,68.12
