t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
27.290392,follower_flash,follower_oscillator,27.290392,27.290392,0.0,
27.739696,follower_flash,follower_oscillator,27.290392,27.739696,-0.449304,
27.79996,leader_flash,camera,27.79996,,,
28.251331,follower_flash,follower_oscillator,27.79996,28.251331,-0.451372,
28.312959,leader_flash,camera,28.312959,,,
28.762245,follower_flash,follower_oscillator,28.312959,28.762245,-0.449285,
28.822164,leader_flash,camera,28.822164,,,
29.271382,follower_flash,follower_oscillator,28.822164,29.271382,-0.449217,
29.330728,leader_flash,camera,29.330728,,,
29.782769,follower_flash,follower_oscillator,29.330728,29.782769,-0.452041,
29.842796,leader_flash,camera,29.842796,,,
