actual_virtual_flash_count,agent_id,api_latency_max_ms,api_latency_mean_ms,api_request_count,api_success_count,calibration_assignment_method,calibration_valid,capture_frame_count,category,condition,count_absolute_error,count_recall,detected_frequency_estimate_hz,detected_rising_edge_count,failure_interpretation,frequency_absolute_error_hz,group,intended_difficulty,normalized_signal_max,normalized_signal_mean,normalized_signal_min,normalized_signal_std,pass_repeat_agent,processing_fps,raw_signal_max,raw_signal_mean,raw_signal_min,raw_signal_range,raw_signal_std,repeat,repeat_dir,requested_frequency_hz,required_for_ready,roi_overlap_ratio,row_type,warnings
30,V0,25.16,12.363,11,11,frequency_based,True,887,baseline,baseline,0,1.0,1.00051,30,Baseline failure means the camera/display alignment is not ready.,0.00051,baseline,realistic,1.0,0.504722,0.0,0.479752,True,29.813,58.0,38.335693,9.0,49.0,18.472227,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/baseline/repeat_01,1.0,True,0.0,repeat,
60,V1,25.16,12.363,11,11,frequency_based,True,887,baseline,baseline,0,1.0,2.001009,60,Baseline failure means the camera/display alignment is not ready.,0.001009,baseline,realistic,1.0,0.511026,0.0,0.481545,True,29.813,53.0,30.563247,5.0,48.0,21.068903,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/baseline/repeat_01,2.0,True,0.0,repeat,
30,V0,32.986,17.99,11,11,frequency_based,True,886,baseline,baseline,0,1.0,1.000503,30,Baseline failure means the camera/display alignment is not ready.,0.000503,baseline,realistic,1.0,0.493117,0.0,0.477781,True,29.78,58.0,37.926637,8.0,50.0,18.550408,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/baseline/repeat_02,1.0,True,0.0,repeat,
60,V1,32.986,17.99,11,11,frequency_based,True,886,baseline,baseline,1,0.983333,2.001007,59,Baseline failure means the camera/display alignment is not ready.,0.001007,baseline,realistic,1.0,0.517679,0.0,0.479285,True,29.78,52.0,30.624831,4.0,48.0,20.867658,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/baseline/repeat_02,2.0,True,0.0,repeat,
30,V0,16.98,11.928,11,11,frequency_based,True,887,baseline,baseline,1,0.966667,1.00051,29,Baseline failure means the camera/display alignment is not ready.,0.00051,baseline,realistic,1.0,0.492441,0.0,0.472911,True,29.813,58.0,37.924758,9.0,49.0,18.236031,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/baseline/repeat_03,1.0,True,0.0,repeat,
60,V1,16.98,11.928,11,11,frequency_based,True,887,baseline,baseline,1,0.983333,2.001029,59,Baseline failure means the camera/display alignment is not ready.,0.001029,baseline,realistic,1.0,0.496575,0.0,0.476014,True,29.813,51.0,29.476437,4.0,47.0,20.415194,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/baseline/repeat_03,2.0,True,0.0,repeat,
30,V0,141.347,22.861,11,11,frequency_based,True,886,position,position_shifted,0,1.0,1.000506,30,Realistic shifted-position failure suggests ROI calibration is position-sensitive.,0.000506,position,realistic,1.0,0.484336,0.0,0.475961,True,29.78,49.0,35.310214,9.0,40.0,11.803168,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/position_shifted/repeat_01,1.0,True,0.0,repeat,
60,V1,141.347,22.861,11,11,frequency_based,True,886,position,position_shifted,1,0.983333,2.001025,59,Realistic shifted-position failure suggests ROI calibration is position-sensitive.,0.001025,position,realistic,1.0,0.516903,0.0,0.48045,True,29.78,75.0,42.70658,4.0,71.0,31.17962,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/position_shifted/repeat_01,2.0,True,0.0,repeat,
30,V0,168.255,32.597,11,11,frequency_based,True,887,position,position_shifted,0,1.0,1.000507,30,Realistic shifted-position failure suggests ROI calibration is position-sensitive.,0.000507,position,realistic,1.0,0.489518,0.0,0.488357,True,29.814,49.0,35.597351,9.0,40.0,11.792917,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/position_shifted/repeat_02,1.0,True,0.0,repeat,
60,V1,168.255,32.597,11,11,frequency_based,True,887,position,position_shifted,1,0.983333,2.001017,59,Realistic shifted-position failure suggests ROI calibration is position-sensitive.,0.001017,position,realistic,1.0,0.526001,0.0,0.484631,True,29.814,75.0,43.459414,9.0,66.0,31.521222,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/position_shifted/repeat_02,2.0,True,0.0,repeat,
