event,model,source,t_s
pi_flash,eapf_consensus,pi_oscillator,0.439177
pi_flash,eapf_consensus,pi_oscillator,0.76915
virtual_flash,eapf_consensus,camera,0.865087
pi_flash,eapf_consensus,pi_oscillator,1.182903
virtual_flash,eapf_consensus,camera,1.299741
pi_flash,eapf_consensus,pi_oscillator,1.560254
virtual_flash,eapf_consensus,camera,1.809625
pi_flash,eapf_consensus,pi_oscillator,1.973215
virtual_flash,eapf_consensus,camera,2.337932
pi_flash,eapf_consensus,pi_oscillator,2.373712
virtual_flash,eapf_consensus,camera,2.777202
pi_flash,eapf_consensus,pi_oscillator,2.777202
pi_flash,eapf_consensus,pi_oscillator,3.234737
virtual_flash,eapf_consensus,camera,3.343309
pi_flash,eapf_consensus,pi_oscillator,3.683704
virtual_flash,eapf_consensus,camera,3.851401
pi_flash,eapf_consensus,pi_oscillator,4.172855
virtual_flash,eapf_consensus,camera,4.292442
pi_flash,eapf_consensus,pi_oscillator,4.616972
virtual_flash,eapf_consensus,camera,4.838594
pi_flash,eapf_consensus,pi_oscillator,5.123425
virtual_flash,eapf_consensus,camera,5.270358
pi_flash,eapf_consensus,pi_oscillator,5.621509
pi_flash,eapf_consensus,pi_oscillator,5.718709
virtual_flash,eapf_consensus,camera,5.824212
pi_flash,eapf_consensus,pi_oscillator,6.166098
virtual_flash,eapf_consensus,camera,6.260436
pi_flash,eapf_consensus,pi_oscillator,6.644294
virtual_flash,eapf_consensus,camera,6.784412
pi_flash,eapf_consensus,pi_oscillator,7.16197
virtual_flash,eapf_consensus,camera,7.254221
pi_flash,eapf_consensus,pi_oscillator,7.630499
virtual_flash,eapf_consensus,camera,7.768982
pi_flash,eapf_consensus,pi_oscillator,8.129058
virtual_flash,eapf_consensus,camera,8.22205
virtual_flash,eapf_consensus,camera,8.609308
pi_flash,eapf_consensus,pi_oscillator,8.630601
pi_flash,eapf_consensus,pi_oscillator,9.113305
virtual_flash,eapf_consensus,camera,9.209999
virtual_flash,eapf_consensus,camera,9.58843
pi_flash,eapf_consensus,pi_oscillator,9.58843
pi_flash,eapf_consensus,pi_oscillator,10.100125
virtual_flash,eapf_consensus,camera,10.218958
pi_flash,eapf_consensus,pi_oscillator,10.553191
pi_flash,eapf_consensus,pi_oscillator,11.040703
virtual_flash,eapf_consensus,camera,11.147665
virtual_flash,eapf_consensus,camera,11.538462
pi_flash,eapf_consensus,pi_oscillator,11.538462
pi_flash,eapf_consensus,pi_oscillator,12.031406
virtual_flash,eapf_consensus,camera,12.144938
virtual_flash,eapf_consensus,camera,12.526105
pi_flash,eapf_consensus,pi_oscillator,12.526105
virtual_flash,eapf_consensus,camera,12.935827
virtual_flash,eapf_consensus,camera,13.494115
pi_flash,eapf_consensus,pi_oscillator,13.537939
virtual_flash,eapf_consensus,camera,13.923116
pi_flash,eapf_consensus,pi_oscillator,14.000016
virtual_flash,eapf_consensus,camera,14.451132
pi_flash,eapf_consensus,pi_oscillator,14.486894
virtual_flash,eapf_consensus,camera,14.888875
pi_flash,eapf_consensus,pi_oscillator,14.945856
virtual_flash,eapf_consensus,camera,15.312838
pi_flash,eapf_consensus,pi_oscillator,15.393237
pi_flash,eapf_consensus,pi_oscillator,15.841223
virtual_flash,eapf_consensus,camera,15.932531
pi_flash,eapf_consensus,pi_oscillator,16.301727
pi_flash,eapf_consensus,pi_oscillator,16.771258
virtual_flash,eapf_consensus,camera,16.887396
pi_flash,eapf_consensus,pi_oscillator,17.235628
virtual_flash,eapf_consensus,camera,17.329942
pi_flash,eapf_consensus,pi_oscillator,17.709013
virtual_flash,eapf_consensus,camera,17.806946
pi_flash,eapf_consensus,pi_oscillator,18.183774
virtual_flash,eapf_consensus,camera,18.284539
pi_flash,eapf_consensus,pi_oscillator,18.656628
virtual_flash,eapf_consensus,camera,18.7923
pi_flash,eapf_consensus,pi_oscillator,19.157053
virtual_flash,eapf_consensus,camera,19.247793
pi_flash,eapf_consensus,pi_oscillator,19.644126
virtual_flash,eapf_consensus,camera,19.735478
pi_flash,eapf_consensus,pi_oscillator,20.109014
virtual_flash,eapf_consensus,camera,20.202024
pi_flash,eapf_consensus,pi_oscillator,20.596303
virtual_flash,eapf_consensus,camera,20.715902
pi_flash,eapf_consensus,pi_oscillator,21.087936
virtual_flash,eapf_consensus,camera,21.182821
pi_flash,eapf_consensus,pi_oscillator,21.562661
virtual_flash,eapf_consensus,camera,21.651916
pi_flash,eapf_consensus,pi_oscillator,22.071149
virtual_flash,eapf_consensus,camera,22.181074
pi_flash,eapf_consensus,pi_oscillator,22.534519
virtual_flash,eapf_consensus,camera,22.6272
pi_flash,eapf_consensus,pi_oscillator,23.006613
virtual_flash,eapf_consensus,camera,23.096823
pi_flash,eapf_consensus,pi_oscillator,23.47701
virtual_flash,eapf_consensus,camera,23.569825
virtual_flash,eapf_consensus,camera,23.966045
pi_flash,eapf_consensus,pi_oscillator,23.966045
pi_flash,eapf_consensus,pi_oscillator,24.418703
virtual_flash,eapf_consensus,camera,24.539236
pi_flash,eapf_consensus,pi_oscillator,24.921718
virtual_flash,eapf_consensus,camera,25.030096
pi_flash,eapf_consensus,pi_oscillator,25.383161
virtual_flash,eapf_consensus,camera,25.499214
pi_flash,eapf_consensus,pi_oscillator,25.862211
virtual_flash,eapf_consensus,camera,25.955439
pi_flash,eapf_consensus,pi_oscillator,26.344098
virtual_flash,eapf_consensus,camera,26.462977
pi_flash,eapf_consensus,pi_oscillator,26.842216
virtual_flash,eapf_consensus,camera,26.946019
pi_flash,eapf_consensus,pi_oscillator,27.313953
virtual_flash,eapf_consensus,camera,27.429434
pi_flash,eapf_consensus,pi_oscillator,27.804439
virtual_flash,eapf_consensus,camera,27.907558
virtual_flash,eapf_consensus,camera,28.290182
pi_flash,eapf_consensus,pi_oscillator,28.290182
pi_flash,eapf_consensus,pi_oscillator,28.797172
virtual_flash,eapf_consensus,camera,28.911242
pi_flash,eapf_consensus,pi_oscillator,29.261205
pi_flash,eapf_consensus,pi_oscillator,29.744372
virtual_flash,eapf_consensus,camera,29.852098
