t_s,detected_state,leader_flash_event,brightness_used,signal_norm,camera_ms
1.4e-05,0,0,113.0,0.0,1055.8
1.055909,0,0,103.67,0.0,61.95
1.117949,0,0,114.0,0.0,90.45
1.208474,0,0,114.0,0.0,97.39
1.305941,0,0,114.33,0.0,90.88
1.396897,0,0,114.33,0.0,89.41
1.4864,0,0,114.33,0.0,90.06
1.576525,0,0,114.33,0.0,90.15
1.66674,0,0,114.33,0.0,89.69
1.756505,0,0,114.33,0.0,89.61
1.846188,0,0,114.33,0.0,90.09
1.936347,0,0,114.0,0.0,90.42
2.026834,0,0,114.0,0.0,89.91
2.116818,0,0,114.0,0.0,89.91
2.206796,0,0,114.0,0.0,89.65
2.29652,0,0,114.0,0.0,90.33
2.386921,0,0,114.0,0.0,89.96
2.476956,0,0,114.0,0.0,103.08
2.580114,0,0,114.0,0.0,76.83
2.657016,0,0,114.0,0.0,89.56
2.746641,0,0,114.0,0.0,90.26
2.836974,0,0,114.0,0.0,90.51
2.927581,0,0,113.67,0.0,89.7
3.017365,0,0,113.67,0.0,89.81
3.107257,0,0,113.33,0.0,90.25
3.197594,0,0,113.67,0.0,89.59
3.28727,0,0,113.67,0.0,90.7
3.378056,0,0,113.33,0.0,89.27
3.46741,0,0,113.67,0.0,90.12
3.557615,0,0,113.67,0.0,90.0
3.647694,0,0,113.67,0.0,90.33
3.738102,0,0,113.67,0.0,89.55
3.827736,0,0,113.67,0.0,89.4
3.917226,0,0,113.67,0.0,90.36
4.007672,0,0,114.0,0.0,90.32
4.09808,0,0,114.0,0.0,90.19
4.188347,0,0,114.0,0.0,89.52
4.277955,0,0,114.0,0.0,89.74
4.367775,0,0,114.0,0.0,89.85
4.457708,0,0,114.0,0.0,90.21
4.548003,0,0,113.67,0.0,90.3
4.638419,0,0,113.67,0.0,89.55
4.728054,0,0,113.67,0.0,90.18
4.818321,0,0,114.0,0.0,89.76
4.908164,0,0,113.67,0.0,89.65
4.997895,0,0,113.67,0.0,89.97
5.087947,0,0,113.67,0.0,90.69
5.178727,0,0,113.67,0.0,89.68
5.268492,0,0,113.67,0.0,89.77
5.358351,0,0,113.67,0.0,90.44
5.448874,0,0,113.67,0.0,89.46
5.538438,0,0,113.67,0.0,89.92
5.628446,0,0,113.67,0.0,90.35
5.718882,0,0,113.67,0.0,89.86
5.808823,0,0,113.67,0.0,89.6
5.898504,0,0,113.67,0.0,90.5
5.989094,0,0,113.67,0.0,89.89
6.079065,0,0,113.67,0.0,89.84
6.168987,0,0,113.67,0.0,90.02
6.259096,0,0,113.67,0.0,90.28
6.349465,0,0,113.67,0.0,89.7
6.439246,0,0,113.67,0.0,89.96
6.529295,0,0,114.0,0.0,90.02
6.619399,0,0,114.0,0.0,89.81
6.709294,0,0,114.0,0.0,90.22
6.799602,0,0,114.0,0.0,89.93
6.889615,0,0,114.0,0.0,89.71
6.979414,0,0,114.0,0.0,90.53
7.070029,0,0,114.0,0.0,89.49
7.159604,0,0,114.0,0.0,90.14
7.249832,0,0,114.0,0.0,89.94
7.339861,0,0,114.0,0.0,90.27
7.430219,0,0,114.0,0.0,89.92
7.520221,0,0,114.0,0.0,89.64
7.609952,0,0,114.0,0.0,89.8
7.699843,0,0,113.67,0.0,90.3
7.790235,0,0,113.67,0.0,89.93
7.880255,0,0,113.67,0.0,89.87
7.970213,0,0,113.67,0.0,90.17
8.060469,0,0,113.67,0.0,89.65
8.150204,0,0,113.33,0.0,89.84
8.240131,0,0,113.33,0.0,90.02
8.330237,0,0,113.33,0.0,90.25
8.420571,0,0,113.33,0.0,89.36
8.510022,0,0,113.33,0.0,90.29
8.600395,0,0,113.33,0.0,90.19
8.690675,0,0,113.33,0.0,89.92
8.780678,0,0,92.33,0.0,90.7
8.871461,0,0,93.0,0.0,87.18
8.958725,0,0,92.0,0.0,60.54
9.019358,0,0,112.67,0.0,88.08
9.107524,0,0,112.0,0.0,68.67
9.176281,0,0,114.33,0.0,77.9
9.254278,0,0,93.0,0.0,85.78
9.340146,0,0,93.0,0.0,87.72
9.42795,0,0,91.67,0.0,61.29
9.489327,0,0,112.0,0.0,89.03
9.578467,0,0,109.67,0.6063,65.12
9.643678,1,1,114.0,1.0,71.09
9.715046,0,0,104.0,0.2481,81.93
9.797232,0,0,91.33,0.0,87.75
9.885223,0,0,92.0,0.0,64.6
9.950061,0,0,91.67,0.0,59.14
10.009444,1,1,112.67,0.9373,69.32
10.079067,1,0,110.33,0.8263,65.68
10.145005,1,0,114.67,1.0,70.15
10.215404,1,0,106.33,0.6371,81.91
10.297563,0,0,93.33,0.022,87.95
10.385769,0,0,94.67,0.0854,65.02
10.451041,0,0,92.67,0.0032,59.71
10.511001,1,1,114.0,1.0,68.99
10.580284,1,0,111.33,0.875,64.84
10.645383,1,0,115.67,1.0,71.38
10.717023,1,0,105.67,0.6095,82.42
10.799696,0,0,93.33,0.0309,88.14
10.888091,0,0,94.67,0.0938,64.06
10.952403,0,0,92.33,0.0,59.6
11.012262,1,1,113.0,0.9539,69.18
11.081733,1,0,111.0,0.8616,65.17
11.147169,1,0,114.67,1.0,71.27
11.218702,1,0,102.33,0.4606,82.36
11.301327,0,0,92.33,0.0,87.44
11.389027,0,0,93.33,0.0461,63.71
11.452999,0,0,91.67,0.0,58.98
11.512254,1,1,112.67,0.9386,68.57
11.581126,1,0,110.33,0.8306,64.73
