t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.760482,follower_flash,follower_oscillator,,0.760482,,
0.821788,leader_flash,camera,0.821788,,,
1.342127,leader_flash,camera,1.342127,,,
1.342127,follower_flash,follower_oscillator,1.342127,1.342127,0.0,
1.864258,leader_flash,camera,1.864258,,,
1.864258,follower_flash,follower_oscillator,1.864258,1.864258,0.0,
2.327927,leader_flash,camera,2.327927,,,
2.387662,follower_flash,follower_oscillator,2.327927,2.387662,-0.059735,
2.845844,leader_flash,camera,2.845844,,,
2.906245,follower_flash,follower_oscillator,2.845844,2.906245,-0.0604,
2.906245,sync_achieved,metrics,,,,
3.368808,leader_flash,camera,3.368808,,,
3.429138,follower_flash,follower_oscillator,3.368808,3.429138,-0.06033,
3.835424,leader_flash,camera,3.835424,,,
3.895549,follower_flash,follower_oscillator,3.835424,3.895549,-0.060125,
4.360626,leader_flash,camera,4.360626,,,
4.420978,follower_flash,follower_oscillator,4.360626,4.420978,-0.060352,
4.826815,leader_flash,camera,4.826815,,,
4.886931,follower_flash,follower_oscillator,4.826815,4.886931,-0.060116,
5.345561,leader_flash,camera,5.345561,,,
5.405777,follower_flash,follower_oscillator,5.345561,5.405777,-0.060216,
5.86929,leader_flash,camera,5.86929,,,
5.929205,follower_flash,follower_oscillator,5.86929,5.929205,-0.059915,
6.334416,leader_flash,camera,6.334416,,,
6.394017,follower_flash,follower_oscillator,6.334416,6.394017,-0.059601,
6.859643,leader_flash,camera,6.859643,,,
6.919555,follower_flash,follower_oscillator,6.859643,6.919555,-0.059911,
7.324421,leader_flash,camera,7.324421,,,
7.384609,follower_flash,follower_oscillator,7.324421,7.384609,-0.060188,
7.844957,leader_flash,camera,7.844957,,,
7.904541,follower_flash,follower_oscillator,7.844957,7.904541,-0.059584,
8.367356,leader_flash,camera,8.367356,,,
8.427474,follower_flash,follower_oscillator,8.367356,8.427474,-0.060118,
8.83053,leader_flash,camera,8.83053,,,
8.890855,follower_flash,follower_oscillator,8.83053,8.890855,-0.060325,
9.354331,leader_flash,camera,9.354331,,,
9.414605,follower_flash,follower_oscillator,9.354331,9.414605,-0.060274,
9.873064,leader_flash,camera,9.873064,,,
9.933068,follower_flash,follower_oscillator,9.873064,9.933068,-0.060004,
10.334969,leader_flash,camera,10.334969,,,
10.395211,follower_flash,follower_oscillator,10.334969,10.395211,-0.060242,
10.858672,leader_flash,camera,10.858672,,,
10.918421,follower_flash,follower_oscillator,10.858672,10.918421,-0.059749,
11.375695,leader_flash,camera,11.375695,,,
11.435362,follower_flash,follower_oscillator,11.375695,11.435362,-0.059667,
11.837539,leader_flash,camera,11.837539,,,
11.897538,follower_flash,follower_oscillator,11.837539,11.897538,-0.059999,
12.364732,leader_flash,camera,12.364732,,,
12.424019,follower_flash,follower_oscillator,12.364732,12.424019,-0.059287,
12.830525,leader_flash,camera,12.830525,,,
12.890164,follower_flash,follower_oscillator,12.830525,12.890164,-0.059639,
13.357373,leader_flash,camera,13.357373,,,
13.417678,follower_flash,follower_oscillator,13.357373,13.417678,-0.060306,
13.876223,leader_flash,camera,13.876223,,,
13.936155,follower_flash,follower_oscillator,13.876223,13.936155,-0.059931,
14.341485,leader_flash,camera,14.341485,,,
14.402558,follower_flash,follower_oscillator,14.341485,14.402558,-0.061073,
14.866846,leader_flash,camera,14.866846,,,
14.926715,follower_flash,follower_oscillator,14.866846,14.926715,-0.059869,
15.3353,leader_flash,camera,15.3353,,,
15.394526,follower_flash,follower_oscillator,15.3353,15.394526,-0.059226,
15.861456,leader_flash,camera,15.861456,,,
15.921396,follower_flash,follower_oscillator,15.861456,15.921396,-0.059939,
16.329581,leader_flash,camera,16.329581,,,
16.388898,follower_flash,follower_oscillator,16.329581,16.388898,-0.059317,
16.856049,leader_flash,camera,16.856049,,,
16.916481,follower_flash,follower_oscillator,16.856049,16.916481,-0.060431,
17.317011,leader_flash,camera,17.317011,,,
17.37721,follower_flash,follower_oscillator,17.317011,17.37721,-0.060199,
17.841453,leader_flash,camera,17.841453,,,
17.901804,follower_flash,follower_oscillator,17.841453,17.901804,-0.060351,
18.368292,leader_flash,camera,18.368292,,,
18.428129,follower_flash,follower_oscillator,18.368292,18.428129,-0.059836,
18.834673,leader_flash,camera,18.834673,,,
18.895878,follower_flash,follower_oscillator,18.834673,18.895878,-0.061205,
19.363145,leader_flash,camera,19.363145,,,
19.423133,follower_flash,follower_oscillator,19.363145,19.423133,-0.059988,
19.828903,leader_flash,camera,19.828903,,,
19.889242,follower_flash,follower_oscillator,19.828903,19.889242,-0.06034,
20.348659,leader_flash,camera,20.348659,,,
20.408606,follower_flash,follower_oscillator,20.348659,20.408606,-0.059947,
20.871355,leader_flash,camera,20.871355,,,
20.932173,follower_flash,follower_oscillator,20.871355,20.932173,-0.060817,
21.335402,leader_flash,camera,21.335402,,,
21.395641,follower_flash,follower_oscillator,21.335402,21.395641,-0.060238,
21.860529,leader_flash,camera,21.860529,,,
21.920689,follower_flash,follower_oscillator,21.860529,21.920689,-0.06016,
22.323819,leader_flash,camera,22.323819,,,
22.384522,follower_flash,follower_oscillator,22.323819,22.384522,-0.060703,
22.843057,leader_flash,camera,22.843057,,,
22.903163,follower_flash,follower_oscillator,22.843057,22.903163,-0.060106,
23.364103,leader_flash,camera,23.364103,,,
23.423929,follower_flash,follower_oscillator,23.364103,23.423929,-0.059826,
23.827325,leader_flash,camera,23.827325,,,
23.887167,follower_flash,follower_oscillator,23.827325,23.887167,-0.059843,
24.344151,leader_flash,camera,24.344151,,,
24.404599,follower_flash,follower_oscillator,24.344151,24.404599,-0.060448,
24.866963,leader_flash,camera,24.866963,,,
24.927114,follower_flash,follower_oscillator,24.866963,24.927114,-0.06015,
25.332527,leader_flash,camera,25.332527,,,
25.39174,follower_flash,follower_oscillator,25.332527,25.39174,-0.059213,
25.857895,leader_flash,camera,25.857895,,,
25.918193,follower_flash,follower_oscillator,25.857895,25.918193,-0.060298,
26.376891,leader_flash,camera,26.376891,,,
26.436732,follower_flash,follower_oscillator,26.376891,26.436732,-0.05984,
26.841034,leader_flash,camera,26.841034,,,
26.900481,follower_flash,follower_oscillator,26.841034,26.900481,-0.059447,
27.370937,leader_flash,camera,27.370937,,,
27.431707,follower_flash,follower_oscillator,27.370937,27.431707,-0.06077,
27.837302,leader_flash,camera,27.837302,,,
27.897226,follower_flash,follower_oscillator,27.837302,27.897226,-0.059924,
28.363333,leader_flash,camera,28.363333,,,
28.423869,follower_flash,follower_oscillator,28.363333,28.423869,-0.060536,
28.830855,leader_flash,camera,28.830855,,,
28.890735,follower_flash,follower_oscillator,28.830855,28.890735,-0.05988,
29.35643,leader_flash,camera,29.35643,,,
29.416863,follower_flash,follower_oscillator,29.35643,29.416863,-0.060434,
29.876729,leader_flash,camera,29.876729,,,
29.937073,follower_flash,follower_oscillator,29.876729,29.937073,-0.060344,
