K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
5.0,0,-0.133330387,-0.808062949,0.033,0.73693926,0,0,0,1.356963937,2.0,0.5,2.83117943,5.313275442,5.031915599,0.281359844,0.281359844,0,0.033401,frequency_step_gt_0.5hz,-2.200736168
5.0,0,-0.1450685,-0.879203028,0.033,0.769022269,0,0,0,1.30035246,1.356963937,0.5,3.245869661,5.582897173,5.313275442,0.269621731,0.269621731,0,0.066723,,-2.067405782
5.0,0,-0.154909129,-0.938843208,0.033,0.798153193,0,0,0,1.252892314,1.30035246,0.5,3.660559891,5.842678274,5.582897173,0.259781101,0.259781101,0,0.100211,,-1.922337282
5.0,0,-0.161820478,-0.98073017,0.033,0.81996804,0,0,0,1.219559728,1.252892314,0.5,4.075250121,6.095548026,5.842678274,0.252869752,0.252869752,0,0.133588,,-1.767428153
5.0,0,-0.164900034,-0.999394146,0.033,0.830077074,1,1,1,1.204707408,1.219559728,0.5,4.489940351,0.062152915,6.095548026,0.249790196,0.249790196,0,0.16714,,-1.605607675
5.0,0,-0.163605815,-0.991550393,0.033,0.825798426,1,0,0,1.210949268,1.204707408,0.5,4.904630582,0.31323733,0.062152915,0.251084415,0.251084415,0,0.200304,,-1.44070764
5.0,0,-0.157934846,-0.957180887,0.033,0.807558977,1,0,0,1.238299652,1.210949268,0.5,5.319320812,0.569992714,0.31323733,0.256755384,0.256755384,0,0.233764,,-1.277101826
5.0,0,-0.148456638,-0.899737197,0.033,0.778808989,1,0,0,1.284011888,1.238299652,0.5,5.734011042,0.836226307,0.569992714,0.266233593,0.266233593,0,0.267133,,-1.119166979
5.0,0,-0.136172365,-0.825287061,0.033,0.744458942,1,0,0,1.343257424,1.284011888,0.5,6.148701273,1.114744172,0.836226307,0.278517865,0.278517865,0,0.300445,,-0.970710342
5.0,0,-0.122262745,-0.740986333,0.033,0.709047971,1,0,0,1.410341812,1.343257424,0.5,0.280206196,1.407171658,1.114744172,0.292427485,0.292427485,0,0.333791,,-0.834537977
5.0,0,-0.107836993,-0.653557531,0.033,0.675714282,1,0,0,1.479915442,1.410341812,0.5,0.694896426,1.714024895,1.407171658,0.306853238,0.306853238,0,0.366929,,-0.712275232
5.0,0,-0.09376949,-0.568299937,0.033,0.646094468,1,0,0,1.547761279,1.479915442,0.5,1.109586656,2.034945636,1.714024895,0.320920741,0.320920741,0,0.400292,,-0.604438239
5.0,0,-0.08064553,-0.488760785,0.033,0.620710685,1,0,0,1.611056525,1.547761279,0.5,1.524276886,2.368990337,2.034945636,0.334044701,0.334044701,0,0.433575,,-0.510668749
5.0,0,-0.068787165,-0.416891908,0.033,0.599431274,1,0,0,1.66824796,1.611056525,0.5,1.938967117,2.714893402,2.368990337,0.345903065,0.345903065,0,0.466776,,-0.43002322
5.0,0,-0.123019022,-0.745569828,0.033,0.710886467,1,0,0,1.406694382,1.66824796,0.5,0.41469023,3.006564611,2.714893402,0.291671209,0.291671209,1,0.500425,,-2.300203172
5.0,0,-0.135582474,-0.821711965,0.033,0.742885536,1,0,0,1.346102395,1.406694382,0.5,0.829380461,3.285672367,3.006564611,0.279107756,0.279107756,0,0.533795,,-2.17718415
5.0,0,-0.147048539,-0.891203268,0.033,0.774711572,1,0,0,1.290802973,1.346102395,0.5,1.244070691,3.553314058,3.285672367,0.267641691,0.267641691,0,0.567191,,-2.041601676
5.0,0,-0.156427748,-0.948046956,0.033,0.802846441,1,0,0,1.245568204,1.290802973,0.5,1.658760921,3.81157654,3.553314058,0.258262483,0.258262483,0,0.600641,,-1.894553137
5.0,0,-0.162695466,-0.986033126,0.033,0.822815171,1,0,0,1.215339769,1.245568204,0.5,2.073451151,4.063571305,3.81157654,0.251994764,0.251994764,0,0.634095,,-1.738125389
5.0,0,-0.164998229,-0.999989265,0.033,0.830403512,1,0,0,1.204233827,1.215339769,0.5,2.488141382,4.313263306,4.063571305,0.249692002,0.249692002,0,0.667598,,-1.575429923
5.0,0,-0.162882906,-0.987169125,0.033,0.823427656,1,0,0,1.21443577,1.204233827,0.5,2.902831612,4.565070631,4.313263306,0.251807325,0.251807325,0,0.700927,,-1.410431695
5.0,0,-0.15645446,-0.948208847,0.033,0.802929489,1,0,0,1.245439374,1.21443577,0.5,3.317521842,4.823306401,4.565070631,0.25823577,0.25823577,0,0.734363,,-1.247548789
5.0,0,-0.146376862,-0.887132495,0.033,0.772772211,1,0,0,1.294042392,1.245439374,0.5,3.732212072,5.09161977,4.823306401,0.268313369,0.268313369,0,0.767856,,-1.091094329
5.0,0,-0.133704683,-0.81033141,0.033,0.737920925,1,0,0,1.355158753,1.294042392,0.5,4.146902303,5.372605318,5.09161977,0.280985548,0.280985548,0,0.801407,,-0.944717467
5.0,0,-0.119622544,-0.724985116,0.033,0.702703566,1,0,0,1.423075175,1.355158753,0.5,4.561592533,5.667673004,5.372605318,0.295067686,0.295067686,0,0.834709,,-0.811012785
5.0,0,-0.105205449,-0.637608784,0.033,0.669968696,1,0,0,1.492607051,1.423075175,0.5,4.976282763,5.977157785,5.667673004,0.309484781,0.309484781,0,0.867862,,-0.691390241
5.0,0,-0.091275817,-0.553186769,0.033,0.641112785,2,1,1,1.559787956,1.492607051,0.5,5.390972994,0.017386891,5.977157785,0.323414413,0.323414413,0,0.901393,,-0.586184791
5.0,0,-0.078367006,-0.474951549,0.033,0.616505492,2,0,0,1.622045566,1.559787956,0.5,5.805663224,0.353710116,0.017386891,0.336323225,0.336323225,0,0.934616,,-0.494908974
5.0,0,-0.066759088,-0.404600531,0.033,0.595937212,2,0,0,1.678029127,1.622045566,0.5,6.220353454,0.701641258,0.353710116,0.347931143,0.347931143,0,0.9678,,-0.416541969
5.0,0,-0.056544484,-0.342693844,0.033,0.578940606,2,0,0,1.727292904,1.678029127,0.5,0.351858377,1.059787004,0.701641258,0.358145746,0.358145746,0,1.001336,,-0.349782881
