K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
4.0,0,0.130407314,0.987934197,0.033,0.380381672,0,0,0,2.628938444,2.0,0.5,4.677691776,3.496492864,2.951395319,0.545097544,0.545097544,0,0.033478,frequency_step_gt_0.5hz;phase_jump_gt_0.5rad,1.726296457
4.0,0,0.131958445,0.999685192,0.033,0.379302328,0,0,0,2.636419359,2.628938444,0.5,5.092382007,4.043141539,3.496492864,0.546648676,0.546648676,0,0.066672,phase_jump_gt_0.5rad,1.595889143
4.0,0,0.13124698,0.994295301,0.033,0.379796635,0,0,0,2.632988048,2.636419359,0.5,5.507072237,4.589078749,4.043141539,0.54593721,0.54593721,0,0.100154,phase_jump_gt_0.5rad,1.463930698
4.0,0,0.128275604,0.971784882,0.033,0.381875068,0,0,0,2.618657471,2.632988048,0.5,5.921762467,5.132044584,4.589078749,0.542965835,0.542965835,0,0.133382,phase_jump_gt_0.5rad,1.332683718
4.0,0,0.123238809,0.933627339,0.033,0.385450682,0,0,0,2.594365624,2.618657471,0.5,0.05326739,5.669973623,5.132044584,0.537929039,0.537929039,0,0.166549,phase_jump_gt_0.5rad,1.204408114
4.0,0,0.1164911,0.88250833,0.033,0.390347144,0,0,0,2.561822252,2.594365624,0.5,0.467957621,6.201154953,5.669973623,0.53118133,0.53118133,0,0.200079,phase_jump_gt_0.5rad,1.081169305
4.0,0,0.108486264,0.821865638,0.033,0.396319631,1,1,1,2.523215916,2.561822252,0.5,0.882647851,0.44114614,6.201154953,0.523176495,0.523176495,0,0.233629,phase_jump_gt_0.5rad,0.964678205
4.0,0,0.099706537,0.755352554,0.033,0.403084017,1,0,0,2.480872371,2.523215916,0.5,1.297338081,0.955542908,0.44114614,0.514396767,0.514396767,0,0.267211,phase_jump_gt_0.5rad,0.856191941
4.0,0,0.090600799,0.68636969,0.033,0.410347905,1,0,0,2.436956516,2.480872371,0.5,1.712028311,1.460833937,0.955542908,0.505291029,0.505291029,0,0.30073,phase_jump_gt_0.5rad,0.756485404
4.0,0,0.08154366,0.617755002,0.033,0.417837474,1,0,0,2.393275048,2.436956516,0.5,2.126718542,1.957067827,1.460833937,0.49623389,0.49623389,0,0.334088,,0.665884605
