t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
7e-06,8.2e-05,1.8,0.0,0,0.007
1.004843,5.081318,1.8,0.0,1,1004.835
1.081027,5.94294,1.8,0.0,0,76.184
1.164287,0.6014,1.8,0.0,1,83.26
1.264825,1.738468,1.8,0.0,0,100.539
1.363573,2.855274,1.8,0.0,0,98.747
1.45218,3.8574,1.8,0.0,0,88.607
1.536675,4.813014,1.8,0.0,0,84.495
1.633474,5.907786,1.8,0.0,0,96.799
1.73452,0.767408,1.8,0.0,1,101.046
1.834662,1.896917,1.8,-0.767408,0,100.142
1.924511,2.907567,1.8,-0.764338,0,89.848
2.006321,3.825369,1.8,-0.758825,0,81.81
2.096027,4.830956,1.8,-0.751379,0,89.706
2.196692,5.959311,1.8,-0.742417,0,100.665
2.297143,0.801168,1.8,-0.732278,1,100.452
2.392286,1.865158,1.799973,-0.805159,0,95.143
2.477706,2.818384,1.799925,-0.796676,0,85.419
2.576129,3.918058,1.799861,-0.787929,0,98.423
2.674137,5.012575,1.799783,-0.77854,0,98.008
2.75672,5.932309,1.799694,-0.768046,0,82.583
2.854626,0.746699,1.800268,0.450016,1,97.905
2.942397,1.73409,1.80137,0.548095,0,87.771
3.024179,2.657935,1.802889,0.63547,0,81.782
3.114681,3.6846,1.804736,0.727093,0,90.502
3.215182,4.828708,1.806839,0.824206,0,100.501
3.315739,5.977551,1.809137,0.917042,0,100.557
3.408677,0.757816,1.810958,0.303151,1,92.938
3.490911,1.700295,1.812391,0.293004,0,82.233
3.579556,2.716308,1.813507,0.282043,0,88.646
3.679817,3.865055,1.814365,0.27006,0,100.26
3.780526,5.019227,1.815014,0.257739,0,100.709
3.877712,6.13782,1.816093,1.349359,0,97.187
3.96371,0.849808,1.817511,1.414076,1,85.997
4.047381,1.822296,1.819194,1.472417,0,83.671
4.143814,2.944301,1.821084,1.537636,0,96.433
4.244415,4.117597,1.823131,1.60246,0,100.601
4.341918,5.261685,1.826004,2.354834,0,97.503
4.428535,0.003991,1.829527,2.494206,0,86.617
4.507202,0.944113,1.833555,2.612009,0,78.667
4.593953,1.983143,1.837971,2.738877,0,86.75
4.691764,3.155914,1.842681,2.879985,0,97.812
4.791949,4.362493,1.847606,3.018917,0,100.185
4.883908,5.475332,1.852068,1.996143,0,91.959
4.965529,0.18626,1.856142,2.015522,1,81.621
5.046048,1.168885,1.85989,2.032965,0,80.519
5.139281,2.301504,1.863361,2.05869,0,93.233
