elapsed_ms,endpoint,error,monotonic_time_s,ok
8.11,GET /api/agents,,18009.74058,1
8.591,GET /api/agents,,18009.902317,1
16.099,GET /api/agents,,18010.102212,1
10.172,POST /api/pi_flash,,18010.262301,1
10.287,POST /api/pi_flash,,18010.362376,1
5.911,GET /api/agents,,18010.372675,1
16.438,GET /api/agents,,18010.536133,1
47.381,GET /api/agents,,18010.769442,1
28.96,POST /api/pi_flash,,18010.896149,1
11.553,GET /api/agents,,18011.00308,1
20.478,GET /api/agents,,18011.203198,1
8.95,GET /api/agents,,18011.436183,1
17.639,POST /api/pi_flash,,18011.529865,1
9.853,GET /api/agents,,18011.636787,1
14.942,GET /api/agents,,18011.836894,1
22.293,GET /api/agents,,18012.036647,1
7.828,POST /api/pi_flash,,18012.163399,1
21.299,GET /api/agents,,18012.27062,1
13.737,GET /api/agents,,18012.470642,1
10.955,GET /api/agents,,18012.670524,1
9.723,POST /api/pi_flash,,18012.764217,1
9.074,GET /api/agents,,18012.870812,1
9.566,GET /api/agents,,18013.070717,1
9.889,GET /api/agents,,18013.304134,1
15.66,POST /api/pi_flash,,18013.397753,1
13.525,GET /api/agents,,18013.5045,1
17.112,GET /api/agents,,18013.704224,1
10.447,GET /api/agents,,18013.904719,1
9.932,POST /api/pi_flash,,18014.031315,1
8.753,GET /api/agents,,18014.105173,1
18.762,GET /api/agents,,18014.338385,1
14.238,GET /api/agents,,18014.538702,1
9.836,POST /api/pi_flash,,18014.635705,1
11.107,GET /api/agents,,18014.738776,1
8.809,GET /api/agents,,18014.972078,1
10.169,GET /api/agents,,18015.172086,1
13.237,POST /api/pi_flash,,18015.265923,1
11.287,GET /api/agents,,18015.372564,1
9.853,GET /api/agents,,18015.572548,1
9.189,POST /api/pi_flash,,18015.866034,1
5.812,GET /api/agents,,18015.875235,1
7.081,GET /api/agents,,18016.006407,1
8.718,GET /api/agents,,18016.206095,1
43.055,POST /api/pi_flash,,18016.500014,1
13.143,GET /api/agents,,18016.543083,1
63.744,GET /api/agents,,18016.640132,1
22.537,GET /api/agents,,18016.873441,1
8.798,POST /api/pi_flash,,18017.100026,1
7.332,GET /api/agents,,18017.139849,1
14.985,GET /api/agents,,18017.373969,1
11.075,GET /api/agents,,18017.607248,1
10.972,POST /api/pi_flash,,18017.767174,1
18.492,GET /api/agents,,18017.80743,1
9.669,GET /api/agents,,18018.040846,1
10.883,GET /api/agents,,18018.27426,1
