agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,1.68112,,,,1.923318,,,,0.412882
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.412882,0.412882
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,117.0,1,,0.748484
P0,,,pi_flash,1.68112,,,,0.433314,,,,0.863071
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.863071,0.863071
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9682,,73.0,0,,0.961155
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7467,,90.0,1,,1.11606
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,78.0,0,,1.349605
P0,,,pi_flash,1.746817,,,,0.014067,,,,1.416561
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.416561,1.416561
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,118.0,1,,1.682826
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9545,,75.0,0,,1.783126
P0,,,pi_flash,1.921486,,,,0.257115,,,,1.98366
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.98366,1.98366
V0,,0,pi_detected_virtual_flash,,0.0,1,0.807,,67.0,0,,2.216646
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9259,,110.0,1,,2.216646
P0,,,pi_flash,1.997442,,,,0.01831,,,,2.517379
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.517379,2.517379
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9444,,112.0,1,,2.636762
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8421,,69.0,0,,2.750504
P0,,,pi_flash,2.038926,,,,0.203087,,,,3.050839
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.050839,3.050839
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8541,,69.0,0,,3.193889
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8426,,101.0,1,,3.193889
P0,,,pi_flash,2.06153,,,,0.060026,,,,3.550746
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,3.550746,3.550746
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7321,,62.0,0,,3.718331
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7963,,96.0,1,,3.718331
P0,,,pi_flash,2.069115,,,,0.273455,,,,4.084778
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.084778,4.084778
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9907,,117.0,1,,4.188389
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9643,,75.0,0,,4.287419
P0,,,pi_flash,2.060878,,,,0.244959,,,,4.584701
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,4.584701,4.584701
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8611,,103.0,1,,4.749389
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8929,,71.0,0,,4.818681
P0,,,pi_flash,2.033604,,,,0.018534,,,,5.085313
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,5.085313,5.085313
