common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
1.945026,,0.665948,0,1,acquisition,,0.277677,0.479546,0,3e-06,0
1.95029,,0.665948,0,1,acquisition,,0.24077,0.537477,0,0.412882,0
1.955587,,0.660872,0,1,acquisition,,0.283182,0.423234,0,0.615508,0
1.95786,,0.639449,0,1,acquisition,,0.282184,0.439339,0,0.815569,0
1.958432,,0.613528,0,1,acquisition,,0.311014,0.395367,0,1.016386,0
1.968491,,0.572626,0,1,acquisition,,0.333333,0.328285,0,1.216409,0
1.993089,,0.497154,0,1,acquisition,,0.30905,0.365338,0,1.416561,0
2.008927,,0.437333,0,1,acquisition,,0.333333,0.323931,0,1.616565,0
2.033597,,0.328928,0,1,acquisition,,0.26878,0.516738,0,1.816795,0
2.047355,,0.235637,0,1,acquisition,,0.198802,0.724824,0,2.091521,0
2.053793,,0.153835,0,1,acquisition,,0.119499,0.893528,0,2.316943,0
2.049368,,0.095861,0,1,acquisition,,0.074208,0.957323,0,2.517379,0
2.047907,,0.063574,0,1,acquisition,,0.045658,0.980748,0,2.750504,0
2.048934,,0.032504,0,1,acquisition,,0.075949,0.957744,0,2.950911,0
2.048426,,0.021782,0,1,acquisition,,0.078945,0.95417,0,3.156452,0
2.046847,,0.036972,0,1,acquisition,,0.06395,0.969931,0,3.384496,0
2.04209,,0.055166,0,1,acquisition,,0.067319,0.966695,0,3.653107,0
2.038393,,0.07145,0,1,acquisition,,0.059306,0.973464,0,3.884931,0
2.031906,,0.08988,0,1,acquisition,,0.066219,0.966652,0,4.188389,0
2.025525,,0.093741,0,1,acquisition,,0.045859,0.984483,0,4.418551,0
2.016315,,0.094878,0,1,acquisition,,0.046997,0.981723,0,4.686267,0
2.006936,,0.087985,0,1,acquisition,,0.079518,0.953492,0,4.918867,0
1.994828,,0.077066,0,1,acquisition,,0.080701,0.952369,0,5.191469,0
1.98572,,0.061375,0,1,acquisition,,0.058081,0.974577,0,5.419145,0
1.979476,,0.04961,0,1,acquisition,,0.073494,0.960325,0,5.619207,0
1.977401,,0.045667,0,1,acquisition,,0.051407,0.980139,0,5.820941,0
1.972722,,0.027298,0,1,acquisition,,0.043196,0.985722,0,6.052832,0
1.970766,,0.023227,0,1,acquisition,,0.058519,0.974718,0,6.263922,0
1.967371,,0.023004,0,1,acquisition,,0.03086,0.992009,0,6.486337,0
1.965428,,0.026199,0,1,acquisition,,0.025766,0.994975,0,6.686585,0
1.963375,,0.028635,0,1,acquisition,,0.026441,0.994614,0,6.886598,0
1.959622,,0.031523,0,1,acquisition,,0.031128,0.991542,0,7.086842,0
1.955338,,0.033055,0,1,acquisition,,0.030389,0.991666,0,7.355358,0
1.947578,,0.032992,0,1,acquisition,,0.0256,0.995146,0,7.587294,0
1.937076,,0.031149,0,1,acquisition,,0.112879,0.89664,0,7.820377,0
1.930867,,0.028818,0,1,acquisition,,0.07547,0.955058,0,8.02095,0
1.923143,,0.025281,0,1,acquisition,,0.041879,0.986887,0,8.254227,0
1.914226,,0.015544,0,1,acquisition,,0.150802,0.803858,0,8.46476,0
1.909552,,0.015256,0,1,acquisition,,0.038303,0.988519,0,8.687953,0
1.899372,,0.014973,0,1,acquisition,,0.157376,0.780875,0,8.921227,0
1.896521,,0.015546,0,1,acquisition,,0.029238,0.993171,0,9.121674,0
1.891586,,0.013688,0,1,acquisition,,0.020986,0.996641,0,9.354955,0
1.888579,,0.01068,0,1,acquisition,,0.007266,0.999602,0,9.560318,0
1.887044,,0.010359,0,1,acquisition,,0.007174,0.999571,0,9.7886,0
1.886635,,0.011151,0,1,acquisition,,0.027219,0.994046,0,10.097875,0
1.88628,,0.01274,0,1,acquisition,,0.02186,0.996038,0,10.322494,0
1.886057,,0.013968,0,1,acquisition,,0.051824,0.974304,0,10.526847,0
