t_s,timestamp_s,frame_index,roi_id,agent_id,raw_brightness,brightness_used,normalized_signal,signal_norm,state,rising_edge,accepted_flash_event,event_type,threshold_on,threshold_off,norm_on_threshold,norm_off_threshold,adaptive_low,adaptive_high,adaptive_amplitude,estimated_frequency_hz,signal_frequency_hz,accepted_flash_event_count,brightness_mean,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,periodicity_confidence,rising_edge_count,roi,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_quality,source_agent_id,top_percentile_brightness,use_adaptive
0.633923,15740.456346566,8,1,V1,51.0,51.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,51.0,local_contrast,False,,0,0.6339295729994774,109.6,,0.35,0.65,51.0,0.4722,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",110.04,107.0,158.0,0.0,V1,158.0,True
0.667266,15740.489689857,9,0,V0,20.0,20.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,20.0,local_contrast,False,,0,0.6672728640005516,109.6,,0.35,0.65,20.0,0.3077,0.0,0,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",64.84,64.0,84.0,0.0,V0,84.0,True
0.667266,15740.489689857,9,1,V1,51.0,51.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,0.0,1.0,0.0,0.0,0.0,0,51.0,local_contrast,False,,0,0.6672728640005516,109.6,,0.35,0.65,51.0,0.4722,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",110.05,107.0,158.0,0.0,V1,158.0,True
0.700571,15740.522995112,10,0,V0,57.0,57.0,0.9973,0.9973,ON,True,True,leader_rising_edge,180.0,120.0,0.65,0.35,20.0,57.1,37.1,0.0,0.0,1,57.0,local_contrast,False,,0,0.7005781190000562,105.77,15740.522995112,0.35,0.65,57.0,0.6064,0.0,1,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",106.57,93.0,150.0,0.9763,V0,150.0,True
0.700571,15740.522995112,10,1,V1,10.0,10.0,0.0024,0.0024,OFF,False,False,,180.0,120.0,0.65,0.35,9.9,52.0,42.1,0.0,0.0,0,10.0,local_contrast,False,,0,0.7005781190000562,105.77,,0.35,0.65,10.0,0.2174,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",45.38,45.0,55.0,0.9791,V1,55.0,True
0.733948,15740.556371588,11,0,V0,57.0,57.0,1.0,1.0,ON,False,False,,180.0,120.0,0.65,0.35,20.0,57.0,37.0,0.0,0.0,1,57.0,local_contrast,False,,0,0.7339545949998865,105.78,15740.522995112,0.35,0.65,57.0,0.6,0.0,1,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",106.72,94.0,151.0,0.9737,V0,151.0,True
0.733948,15740.556371588,11,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,9.0,52.0,43.0,0.0,0.0,0,9.0,local_contrast,False,,0,0.7339545949998865,105.78,,0.35,0.65,9.0,0.1957,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",45.32,45.0,54.0,1.0,V1,54.0,True
0.767191,15740.589615324,12,0,V0,57.0,57.0,1.0,1.0,ON,False,False,,180.0,120.0,0.65,0.35,20.0,57.0,37.0,0.0,0.0,1,57.0,local_contrast,False,,0,0.7671983309992356,105.78,15740.522995112,0.35,0.65,57.0,0.6,0.0,1,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",106.73,94.0,151.0,0.9737,V0,151.0,True
0.767191,15740.589615324,12,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,9.0,51.9,42.9,0.0,0.0,0,9.0,local_contrast,False,,0,0.7671983309992356,105.78,,0.35,0.65,9.0,0.1957,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",45.33,45.0,54.0,0.9977,V1,54.0,True
0.800497,15740.622920727,13,0,V0,57.0,57.0,1.0,1.0,ON,False,False,,180.0,120.0,0.65,0.35,20.0,57.0,37.0,0.0,0.0,1,57.0,local_contrast,False,,0,0.800503734000813,105.78,15740.522995112,0.35,0.65,57.0,0.6,0.0,1,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",106.75,94.0,151.0,0.9737,V0,151.0,True
0.800497,15740.622920727,13,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,9.0,51.8,42.8,0.0,0.0,0,9.0,local_contrast,False,,0,0.800503734000813,105.78,,0.35,0.65,9.0,0.1957,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",45.32,45.0,54.0,0.9953,V1,54.0,True
0.833821,15740.656244852,14,0,V0,57.0,57.0,1.0,1.0,ON,False,False,,180.0,120.0,0.65,0.35,20.0,57.0,37.0,0.0,0.0,1,57.0,local_contrast,False,,0,0.833827858999939,105.78,15740.522995112,0.35,0.65,57.0,0.6,0.0,1,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",106.76,94.0,151.0,0.9737,V0,151.0,True
0.833821,15740.656244852,14,1,V1,9.0,9.0,0.0,0.0,OFF,False,False,,180.0,120.0,0.65,0.35,9.0,51.7,42.7,0.0,0.0,0,9.0,local_contrast,False,,0,0.833827858999939,105.78,,0.35,0.65,9.0,0.1957,0.0,0,"{'x': 436, 'y': 252, 'width': 204, 'height': 228}",45.32,45.0,54.0,0.993,V1,54.0,True
0.867118,15740.68954218,15,0,V0,56.0,56.0,0.973,0.973,ON,False,False,,180.0,120.0,0.65,0.35,20.0,57.0,37.0,0.0,0.0,1,56.0,local_contrast,False,,0,0.867125187000056,105.78,15740.522995112,0.35,0.65,56.0,0.5895,0.0,1,"{'x': 77, 'y': 275, 'width': 222, 'height': 205}",106.76,94.0,150.0,0.9737,V0,150.0,True
