t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.648081,follower_flash,follower_oscillator,,0.648081,,
0.83847,leader_flash,camera,0.83847,,,
1.28384,follower_flash,follower_oscillator,0.83847,1.28384,-0.445371,
1.343906,leader_flash,camera,1.343906,,,
1.853207,leader_flash,camera,1.853207,,,
1.853207,follower_flash,follower_oscillator,1.853207,1.853207,0.0,
2.360325,leader_flash,camera,2.360325,,,
2.360325,follower_flash,follower_oscillator,2.360325,2.360325,0.0,
2.868031,leader_flash,camera,2.868031,,,
2.868031,follower_flash,follower_oscillator,2.868031,2.868031,0.0,
3.317587,leader_flash,camera,3.317587,,,
3.377371,follower_flash,follower_oscillator,3.317587,3.377371,-0.059784,
3.377371,sync_achieved,metrics,,,,
3.826522,leader_flash,camera,3.826522,,,
3.826522,follower_flash,follower_oscillator,3.826522,3.826522,0.0,
4.333904,leader_flash,camera,4.333904,,,
4.333904,follower_flash,follower_oscillator,4.333904,4.333904,0.0,
4.844575,leader_flash,camera,4.844575,,,
4.844575,follower_flash,follower_oscillator,4.844575,4.844575,0.0,
5.353876,leader_flash,camera,5.353876,,,
5.353876,follower_flash,follower_oscillator,5.353876,5.353876,0.0,
5.860965,leader_flash,camera,5.860965,,,
5.860965,follower_flash,follower_oscillator,5.860965,5.860965,0.0,
6.367677,leader_flash,camera,6.367677,,,
6.367677,follower_flash,follower_oscillator,6.367677,6.367677,0.0,
6.816702,leader_flash,camera,6.816702,,,
6.876797,follower_flash,follower_oscillator,6.816702,6.876797,-0.060095,
7.325645,leader_flash,camera,7.325645,,,
7.325645,follower_flash,follower_oscillator,7.325645,7.325645,0.0,
7.832924,leader_flash,camera,7.832924,,,
7.832924,follower_flash,follower_oscillator,7.832924,7.832924,0.0,
8.343128,leader_flash,camera,8.343128,,,
8.343128,follower_flash,follower_oscillator,8.343128,8.343128,0.0,
8.851928,leader_flash,camera,8.851928,,,
8.851928,follower_flash,follower_oscillator,8.851928,8.851928,0.0,
9.357372,leader_flash,camera,9.357372,,,
9.357372,follower_flash,follower_oscillator,9.357372,9.357372,0.0,
9.860588,leader_flash,camera,9.860588,,,
9.860588,follower_flash,follower_oscillator,9.860588,9.860588,0.0,
10.365383,leader_flash,camera,10.365383,,,
10.365383,follower_flash,follower_oscillator,10.365383,10.365383,0.0,
10.875597,leader_flash,camera,10.875597,,,
10.875597,follower_flash,follower_oscillator,10.875597,10.875597,0.0,
11.321762,leader_flash,camera,11.321762,,,
11.38108,follower_flash,follower_oscillator,11.321762,11.38108,-0.059319,
11.827631,leader_flash,camera,11.827631,,,
11.827631,follower_flash,follower_oscillator,11.827631,11.827631,0.0,
12.331752,leader_flash,camera,12.331752,,,
12.331752,follower_flash,follower_oscillator,12.331752,12.331752,0.0,
12.837075,leader_flash,camera,12.837075,,,
12.837075,follower_flash,follower_oscillator,12.837075,12.837075,0.0,
13.343198,leader_flash,camera,13.343198,,,
13.343198,follower_flash,follower_oscillator,13.343198,13.343198,0.0,
13.848649,leader_flash,camera,13.848649,,,
13.848649,follower_flash,follower_oscillator,13.848649,13.848649,0.0,
14.355821,leader_flash,camera,14.355821,,,
14.355821,follower_flash,follower_oscillator,14.355821,14.355821,0.0,
14.861445,leader_flash,camera,14.861445,,,
14.861445,follower_flash,follower_oscillator,14.861445,14.861445,0.0,
15.365671,leader_flash,camera,15.365671,,,
15.365671,follower_flash,follower_oscillator,15.365671,15.365671,0.0,
15.870916,leader_flash,camera,15.870916,,,
15.870916,follower_flash,follower_oscillator,15.870916,15.870916,0.0,
16.376003,leader_flash,camera,16.376003,,,
16.376003,follower_flash,follower_oscillator,16.376003,16.376003,0.0,
16.821658,leader_flash,camera,16.821658,,,
16.882364,follower_flash,follower_oscillator,16.821658,16.882364,-0.060706,
17.328617,leader_flash,camera,17.328617,,,
17.328617,follower_flash,follower_oscillator,17.328617,17.328617,0.0,
17.833004,leader_flash,camera,17.833004,,,
17.833004,follower_flash,follower_oscillator,17.833004,17.833004,0.0,
18.339012,leader_flash,camera,18.339012,,,
18.339012,follower_flash,follower_oscillator,18.339012,18.339012,0.0,
18.845085,leader_flash,camera,18.845085,,,
18.845085,follower_flash,follower_oscillator,18.845085,18.845085,0.0,
19.35233,leader_flash,camera,19.35233,,,
19.35233,follower_flash,follower_oscillator,19.35233,19.35233,0.0,
19.858465,leader_flash,camera,19.858465,,,
19.858465,follower_flash,follower_oscillator,19.858465,19.858465,0.0,
20.36361,leader_flash,camera,20.36361,,,
20.36361,follower_flash,follower_oscillator,20.36361,20.36361,0.0,
20.869326,leader_flash,camera,20.869326,,,
20.869326,follower_flash,follower_oscillator,20.869326,20.869326,0.0,
21.376306,leader_flash,camera,21.376306,,,
21.376306,follower_flash,follower_oscillator,21.376306,21.376306,0.0,
21.823223,leader_flash,camera,21.823223,,,
21.882946,follower_flash,follower_oscillator,21.823223,21.882946,-0.059723,
22.327411,leader_flash,camera,22.327411,,,
22.327411,follower_flash,follower_oscillator,22.327411,22.327411,0.0,
22.833427,leader_flash,camera,22.833427,,,
22.833427,follower_flash,follower_oscillator,22.833427,22.833427,0.0,
23.338212,leader_flash,camera,23.338212,,,
23.338212,follower_flash,follower_oscillator,23.338212,23.338212,0.0,
23.847152,leader_flash,camera,23.847152,,,
23.847152,follower_flash,follower_oscillator,23.847152,23.847152,0.0,
24.353069,leader_flash,camera,24.353069,,,
24.353069,follower_flash,follower_oscillator,24.353069,24.353069,0.0,
24.859663,leader_flash,camera,24.859663,,,
24.859663,follower_flash,follower_oscillator,24.859663,24.859663,0.0,
25.363378,leader_flash,camera,25.363378,,,
25.363378,follower_flash,follower_oscillator,25.363378,25.363378,0.0,
25.867202,leader_flash,camera,25.867202,,,
25.867202,follower_flash,follower_oscillator,25.867202,25.867202,0.0,
26.376089,leader_flash,camera,26.376089,,,
26.376089,follower_flash,follower_oscillator,26.376089,26.376089,0.0,
26.823763,leader_flash,camera,26.823763,,,
26.883159,follower_flash,follower_oscillator,26.823763,26.883159,-0.059396,
27.329621,leader_flash,camera,27.329621,,,
27.329621,follower_flash,follower_oscillator,27.329621,27.329621,0.0,
27.83735,leader_flash,camera,27.83735,,,
27.83735,follower_flash,follower_oscillator,27.83735,27.83735,0.0,
28.344343,leader_flash,camera,28.344343,,,
28.344343,follower_flash,follower_oscillator,28.344343,28.344343,0.0,
28.850996,leader_flash,camera,28.850996,,,
28.850996,follower_flash,follower_oscillator,28.850996,28.850996,0.0,
29.358103,leader_flash,camera,29.358103,,,
29.358103,follower_flash,follower_oscillator,29.358103,29.358103,0.0,
29.862944,leader_flash,camera,29.862944,,,
29.862944,follower_flash,follower_oscillator,29.862944,29.862944,0.0,
