t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,loop_dt_ms,model_update_time_ms,cpu_percent,process_cpu_time_s,memory_rss_mb,cpu_temperature_c
2e-06,0.0,1.8,0.0,0.0,0.0,0,0,0.002,0.01,0.0,0.0634,189.28,46.3
0.06858,1.8e-05,1.8,0.0,-1.8e-05,-1.8e-05,0,0,68.578,0.011,0.0,0.128,189.28,45.2
0.129298,0.775615,1.8,0.0,-0.775615,-0.700155,0,0,60.718,0.01,0.0,0.1916,189.28,46.3
0.188728,1.31353,1.8,0.0,-1.31353,-0.967089,0,0,59.429,0.011,0.0,0.2549,189.28,48.0
0.249077,1.784502,1.8,0.0,-1.784502,-0.977252,0,0,60.35,0.011,0.0,0.3182,189.28,46.9
0.309269,2.260623,1.8,0.0,-2.260623,-0.771357,0,0,60.191,0.01,0.0,0.3811,189.28,46.9
0.369971,2.778869,1.8,0.0,-2.778869,-0.354822,0,0,60.702,0.01,0.0,0.4458,189.28,46.9
0.436755,3.39001,1.8,0.0,2.893175,0.24587,0,0,66.785,0.011,0.0,0.5089,189.28,48.5
0.504624,4.202797,1.8,0.0,2.080389,0.872943,0,0,67.869,0.01,0.0,0.5728,189.28,47.4
0.568334,5.177732,1.8,0.0,1.105453,0.893668,0,0,63.71,0.011,0.0,0.6367,189.28,46.3
0.629271,6.097553,1.8,0.0,0.185632,0.184568,1,0,60.936,0.011,0.0,0.7,189.28,47.4
0.688946,0.542907,1.8,0.0,-0.542907,-0.516627,0,0,59.676,0.01,0.0,0.7635,189.28,46.3
0.748517,1.109916,1.8,0.74859,-0.361327,-0.353516,0,0,59.571,0.01,0.0,0.8267,189.28,47.4
0.809218,1.70994,1.8,1.51138,-0.198559,-0.197257,0,0,60.701,0.01,0.0,0.8905,189.28,48.0
0.871073,2.354544,1.8,2.288668,-0.065875,-0.065828,0,0,61.855,0.009,0.0,0.9554,189.28,48.0
0.937204,3.039851,1.8,3.119695,0.079843,0.079759,0,0,66.131,0.01,0.0,1.0191,189.28,46.3
1.006224,3.806236,1.8,3.987034,0.180798,0.179815,0,0,69.021,0.01,0.0,1.0838,189.28,46.9
1.070093,4.63028,1.8,4.789636,0.159356,0.158683,0,0,63.869,0.01,0.0,1.1477,189.28,47.4
1.1306,5.388094,1.8,5.54999,0.161897,0.16119,0,0,60.507,0.01,0.0,1.211,189.28,46.9
1.190164,6.106548,1.8,0.0,0.176637,0.17572,1,0,59.563,0.011,0.0,1.274,189.28,46.3
1.250104,0.533641,1.8,0.751399,0.217758,0.216041,0,0,59.94,0.009,0.0,1.3379,189.28,48.0
1.310332,1.256871,1.8,1.506416,0.249545,0.246963,0,0,60.229,0.01,0.0,1.4022,189.28,46.9
1.371807,1.9901,1.8,2.277054,0.286954,0.283032,0,0,61.475,0.01,0.0,1.4659,189.28,47.4
1.438404,2.746261,1.8,3.111898,0.365638,0.357545,0,0,66.597,0.01,0.0,1.5297,189.28,48.0
1.507428,3.58279,1.8,3.977172,0.394383,0.384238,0,0,69.024,0.01,0.0,1.5937,189.28,46.9
1.571363,4.456259,1.8,4.778651,0.322393,0.316837,0,0,63.935,0.01,0.0,1.6572,189.28,46.9
1.631128,5.250246,1.8,5.527857,0.277611,0.274059,0,0,59.765,0.01,0.0,1.7219,189.28,48.5
1.691228,5.983499,1.8,0.0,0.299686,0.29522,1,0,60.1,0.011,0.0,1.786,189.28,48.5
1.752177,0.442128,1.8,0.764169,0.322041,0.316504,0,0,60.949,0.01,0.0,1.8492,189.28,48.0
1.811323,1.198967,1.8,1.505732,0.306765,0.301976,0,0,59.146,0.01,0.0,1.9121,189.28,46.9
1.872286,1.930409,1.8,2.27006,0.339651,0.333158,0,0,60.962,0.01,0.0,1.9767,189.28,46.9
1.940122,2.690958,1.8,3.120577,0.429619,0.416524,0,0,67.836,0.01,0.0,2.0416,189.28,46.9
2.008362,3.557065,1.8,3.976158,0.419093,0.406932,0,0,68.24,0.011,0.0,2.1061,189.28,48.0
2.071311,4.426036,1.8,4.765394,0.339358,0.332881,0,0,62.949,0.009,0.0,2.1696,189.28,47.4
2.1314,5.21131,1.8,5.518774,0.307464,0.302643,0,0,60.089,0.01,0.0,2.2338,189.28,47.4
2.192413,5.954548,1.8,0.0,0.328637,0.322753,1,0,61.013,0.011,0.0,2.2973,189.28,48.5
2.251782,0.430323,1.8,0.744291,0.313968,0.308835,0,0,59.369,0.01,0.0,2.3618,189.28,48.0
2.312145,1.165946,1.8,1.501049,0.335104,0.328867,0,0,60.364,0.01,0.0,2.4254,189.28,48.0
2.37333,1.918123,1.8,2.268101,0.349978,0.342877,0,0,61.185,0.01,0.0,2.4889,189.28,48.5
2.439789,2.683531,1.8,3.101271,0.41774,0.405696,0,0,66.459,0.01,0.0,2.5527,189.28,48.5
2.508446,3.529528,1.8,3.96201,0.432482,0.419126,0,0,68.658,0.01,0.0,2.6161,189.28,48.0
2.571724,4.406746,1.8,4.755296,0.348551,0.341536,0,0,63.277,0.01,0.0,2.6803,189.28,48.5
2.632013,5.198035,1.8,5.51112,0.313085,0.307995,0,0,60.289,0.01,0.0,2.7444,189.28,47.4
2.69267,5.944879,1.8,0.0,0.338306,0.33189,1,0,60.658,0.011,0.0,2.8077,189.28,48.5
2.752305,0.418176,1.8,0.747707,0.329532,0.3236,0,1,59.634,0.01,0.0,2.8716,189.28,45.8
2.812266,1.160168,1.8,1.499509,0.339341,0.332866,0,1,59.961,0.01,0.0,2.9347,189.28,48.0
2.873385,1.908167,1.8,2.265834,0.357666,0.350089,0,1,61.119,0.01,0.0,2.9994,189.28,46.9
2.940277,2.674301,1.8,3.104535,0.430234,0.417084,0,1,66.892,0.01,0.0,3.0629,189.28,47.4
3.008712,3.528477,1.8,3.962591,0.434114,0.420606,0,1,68.435,0.009,0.0,3.1274,189.28,46.9
3.073251,4.40321,1.8,4.771785,0.368576,0.360287,0,1,64.538,0.01,0.0,3.1909,189.28,47.4
3.13245,5.214506,1.8,5.514033,0.299527,0.295068,0,1,59.199,0.01,0.0,3.255,189.28,48.5
3.192596,5.945168,1.8,0.0,0.338018,0.331618,1,1,60.146,0.011,0.0,3.3188,189.28,46.9
3.252507,0.412025,1.8,0.751266,0.339241,0.332771,0,1,59.911,0.01,0.0,3.3822,189.28,48.5
3.312765,1.159382,1.8,1.50688,0.347498,0.340546,0,1,60.258,0.01,0.0,3.4456,189.28,47.4
3.374156,1.912704,1.8,2.276703,0.364,0.356015,0,1,61.391,0.01,0.0,3.5094,189.28,48.5
3.44124,2.683515,1.8,3.11792,0.434405,0.42087,0,1,67.084,0.01,0.0,3.573,189.28,48.5
3.510442,3.541039,1.8,3.985686,0.444647,0.430139,0,1,69.202,0.01,0.0,3.6386,189.28,48.5
3.574608,4.427874,1.8,4.790308,0.362434,0.354551,0,1,64.166,0.01,0.0,3.7029,189.28,46.9
3.635001,5.233199,1.8,0.0,1.049986,0.867416,0,1,60.394,0.01,0.0,3.766,189.28,46.9
3.69406,6.099592,1.8,0.741167,0.92476,0.798476,1,1,59.058,0.01,0.0,3.8296,189.28,48.5
3.754767,0.649386,1.8,1.503031,0.853645,0.753681,0,1,60.707,0.01,0.0,3.8926,189.28,47.4
3.814228,1.496109,1.8,2.249249,0.75314,0.683933,0,1,59.461,0.01,0.0,3.957,189.28,48.0
3.876103,2.310928,1.8,3.025775,0.714847,0.655502,0,1,61.876,0.01,0.0,4.0209,189.28,47.4
3.94339,3.152684,1.8,3.870214,0.71753,0.657526,0,1,67.287,0.01,0.0,4.0854,189.28,47.4
4.012531,4.068534,1.8,4.737916,0.669381,0.620501,0,1,69.141,0.01,0.0,4.1493,189.28,48.5
4.075671,5.000655,1.8,5.530311,0.529657,0.505237,0,1,63.14,0.01,0.0,4.2125,189.28,48.5
4.135157,5.826406,1.8,0.0,0.456779,0.44106,1,1,59.486,0.011,0.0,4.2763,189.28,47.4
4.195213,0.30782,1.8,0.754297,0.446477,0.43179,0,1,60.056,0.01,0.0,4.3399,189.28,47.4
4.255762,1.077797,1.8,1.514777,0.436979,0.423204,0,1,60.548,0.009,0.0,4.4045,189.28,47.4
4.316281,1.852268,1.8,2.27489,0.422622,0.410154,0,1,60.519,0.01,0.0,4.4679,189.28,46.9
4.377207,2.6236,1.8,3.040116,0.416517,0.404577,0,1,60.926,0.01,0.0,4.5321,189.28,48.0
4.444474,3.398931,1.8,3.884986,0.486055,0.467141,0,1,67.267,0.01,0.0,4.5966,189.28,46.9
4.512632,4.269687,1.8,4.74104,0.471353,0.454092,0,1,68.158,0.01,0.0,4.6601,189.28,48.5
4.575436,5.148858,1.8,5.529847,0.380989,0.371839,0,1,62.804,0.01,0.0,4.7242,189.28,48.0
4.63631,5.940886,1.8,0.0,0.3423,0.335654,1,1,60.875,0.011,0.0,4.7881,189.28,46.9
4.695886,0.417695,1.8,0.747666,0.329971,0.324015,0,1,59.576,0.009,0.0,4.8509,189.28,46.9
4.755363,1.159046,1.8,1.494081,0.335036,0.328803,0,1,59.476,0.01,0.0,4.9152,189.28,47.4
4.816175,1.900154,1.8,2.257266,0.357112,0.34957,0,1,60.813,0.01,0.0,4.9782,189.28,46.9
4.877127,2.662332,1.8,3.022199,0.359868,0.35215,0,1,60.952,0.01,0.0,5.0425,189.28,46.9
4.944738,3.426807,1.8,3.870704,0.443897,0.429462,0,1,67.611,0.01,0.0,5.1064,189.28,48.0
5.013089,4.293098,1.8,4.72849,0.435392,0.421766,0,1,68.351,0.01,0.0,5.1707,189.28,48.5
5.075922,5.167023,1.8,5.517031,0.350008,0.342905,0,1,62.833,0.01,0.0,5.2352,189.28,46.9
5.136378,5.953059,1.8,0.0,0.330126,0.324162,1,1,60.455,0.011,0.0,5.2989,189.28,47.4
5.196655,0.422198,1.8,0.757073,0.334875,0.328651,0,1,60.277,0.01,0.0,5.362,189.28,47.4
5.256123,1.173251,1.8,1.503994,0.330743,0.324746,0,1,59.469,0.009,0.0,5.4252,189.28,47.4
5.316295,1.913419,1.8,2.259746,0.346327,0.339445,0,1,60.172,0.01,0.0,5.4885,189.28,47.4
5.377981,2.665434,1.8,3.034515,0.369081,0.360758,0,1,61.686,0.01,0.0,5.5541,189.28,48.5
5.446191,3.440974,1.8,3.891228,0.450255,0.435195,0,1,68.21,0.01,0.0,5.6185,189.28,48.5
5.513987,4.31631,1.8,4.742732,0.426422,0.413615,0,1,67.795,0.01,0.0,5.6825,189.28,46.9
5.576732,5.181203,1.8,5.530806,0.349603,0.342525,0,1,62.745,0.01,0.0,5.746,189.28,47.4
5.636413,5.966057,1.8,0.0,0.317129,0.31184,1,1,59.681,0.011,0.0,5.8093,189.28,48.5
5.696752,0.422987,1.8,0.757928,0.334941,0.328714,0,1,60.339,0.01,0.0,5.874,189.28,47.4
5.757003,1.174824,1.8,1.514745,0.339921,0.333412,0,1,60.25,0.01,0.0,5.9377,189.28,48.5
5.816543,1.92655,1.8,2.262641,0.336091,0.3298,0,1,59.54,0.01,0.0,6.001,189.28,46.9
5.878382,2.668662,1.8,3.039413,0.37075,0.362315,0,1,61.839,0.01,0.0,6.0652,189.28,47.4
