t_s,event_type
1.04079,follower_flash
1.351167,follower_flash
1.604396,leader_flash
1.776177,follower_flash
1.900178,leader_flash
2.187673,follower_flash
2.40136,leader_flash
2.61127,follower_flash
2.903622,leader_flash
3.035786,follower_flash
3.401687,leader_flash
3.470219,follower_flash
3.840917,follower_flash
3.901753,leader_flash
4.280572,follower_flash
4.403368,leader_flash
4.6917,follower_flash
4.903219,leader_flash
5.191662,follower_flash
5.403845,leader_flash
5.693052,follower_flash
5.904933,leader_flash
6.110064,follower_flash
6.403441,leader_flash
6.606581,follower_flash
6.901239,leader_flash
7.034494,follower_flash
7.400214,leader_flash
7.469595,follower_flash
7.902329,leader_flash
7.971582,follower_flash
8.400913,leader_flash
8.400913,follower_flash
8.902663,leader_flash
8.902663,follower_flash
9.340679,follower_flash
9.400803,leader_flash
9.842843,follower_flash
9.902559,leader_flash
10.340756,follower_flash
10.400597,leader_flash
10.842721,follower_flash
10.902779,leader_flash
11.341741,follower_flash
11.401702,leader_flash
11.843415,follower_flash
11.902313,leader_flash
12.340387,follower_flash
12.400153,leader_flash
12.863734,follower_flash
12.937245,leader_flash
13.320492,follower_flash
13.382073,leader_flash
13.843434,follower_flash
13.902711,leader_flash
14.340668,follower_flash
14.400972,leader_flash
14.842198,follower_flash
14.902008,leader_flash
15.340242,follower_flash
15.400108,leader_flash
15.842314,follower_flash
15.901929,leader_flash
16.341102,follower_flash
16.400935,leader_flash
16.843113,follower_flash
16.901932,leader_flash
17.340485,follower_flash
17.40009,leader_flash
17.861247,follower_flash
17.937751,leader_flash
18.320797,follower_flash
18.38197,leader_flash
18.84081,follower_flash
18.90101,leader_flash
19.343435,follower_flash
19.402704,leader_flash
19.841587,follower_flash
19.902271,leader_flash
20.341544,follower_flash
20.401191,leader_flash
20.843695,follower_flash
20.902427,leader_flash
21.341167,follower_flash
21.401382,leader_flash
21.843234,follower_flash
21.902096,leader_flash
22.341792,follower_flash
22.401895,leader_flash
22.842179,follower_flash
22.902108,leader_flash
23.345088,follower_flash
23.404368,leader_flash
23.843288,follower_flash
23.902545,leader_flash
24.342992,follower_flash
24.403091,leader_flash
24.845799,follower_flash
24.905071,leader_flash
25.344016,follower_flash
25.403198,leader_flash
25.842153,follower_flash
25.901049,leader_flash
26.341668,follower_flash
26.401467,leader_flash
26.843912,follower_flash
26.903225,leader_flash
27.342597,follower_flash
27.402995,leader_flash
27.843029,follower_flash
27.902407,leader_flash
28.342962,follower_flash
28.402572,leader_flash
28.842665,follower_flash
28.903216,leader_flash
29.343916,follower_flash
29.403347,leader_flash
29.844043,follower_flash
29.903674,leader_flash
