model,variant,topology,freq_set,param_label,K,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,all_to_all,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.005079,0.004657,0.999406,full_group_sync
kuramoto,baseline,all_to_all,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.005079,0.004657,0.999406,full_group_sync
kuramoto,baseline,all_to_all,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.004127,0.004657,0.999406,full_group_sync
kuramoto,baseline,all_to_all,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.004127,0.004657,0.999406,full_group_sync
kuramoto,baseline,all_to_all,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.004127,0.004657,0.999406,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=1.5,1.5,True,True,True,True,True,0.002026,1.0,0.0,0.035556,0.004714,0.962863,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.034921,0.004641,0.962863,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.035556,0.004696,0.962863,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.034921,0.004657,0.962863,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=1.5,1.5,True,True,True,True,True,0.002026,1.0,0.0,0.035556,0.004714,0.962863,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,K=1.5,1.5,False,False,False,True,True,0.002014,1.0,0.0,0.095714,0.072927,0.792582,phase_not_synchronised
kuramoto,baseline,all_to_all,moderate_heterogeneity,K=1.5,1.5,False,True,False,True,True,0.002014,1.0,0.0,0.085714,0.004205,0.792582,offset_phase_locked
kuramoto,baseline,all_to_all,moderate_heterogeneity,K=1.5,1.5,False,True,False,True,True,0.002014,1.0,0.0,0.085714,0.004205,0.792582,offset_phase_locked
kuramoto,baseline,all_to_all,moderate_heterogeneity,K=1.5,1.5,False,True,False,True,True,0.002014,1.0,0.0,0.086032,0.004103,0.792582,offset_phase_locked
kuramoto,baseline,all_to_all,moderate_heterogeneity,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.085714,0.004322,0.792582,offset_phase_locked
kuramoto,baseline,all_to_all,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.689613,1.4375,0.7,0.117925,0.128099,0.51638,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.671033,1.4375,0.7,0.118491,0.119899,0.524306,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.682585,1.4375,0.7,0.118302,0.122609,0.504312,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.669088,1.4375,0.7,0.115556,0.122489,0.501462,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.683511,1.4375,0.7,0.118704,0.122798,0.522754,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.006667,0.00333,0.998665,full_group_sync
kuramoto,baseline,chain,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.006667,0.00333,0.998665,full_group_sync
kuramoto,baseline,chain,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.006667,0.00333,0.998665,full_group_sync
kuramoto,baseline,chain,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.006667,0.00333,0.998665,full_group_sync
kuramoto,baseline,chain,identical,K=1.5,1.5,True,True,True,True,True,0.00203,1.0,0.0,0.006667,0.00333,0.998665,full_group_sync
kuramoto,baseline,chain,near_identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.052698,0.001957,0.919536,full_group_sync
kuramoto,baseline,chain,near_identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.052698,0.001957,0.919536,full_group_sync
kuramoto,baseline,chain,near_identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.053016,0.00142,0.919536,full_group_sync
kuramoto,baseline,chain,near_identical,K=1.5,1.5,True,True,True,True,True,0.002026,1.0,0.0,0.052698,0.001957,0.919536,full_group_sync
kuramoto,baseline,chain,near_identical,K=1.5,1.5,True,True,True,True,True,0.002026,1.0,0.0,0.051746,0.003565,0.919536,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,K=1.5,1.5,False,False,False,True,True,0.0,1.0,0.0,0.119683,0.072097,0.659644,phase_not_synchronised
kuramoto,baseline,chain,moderate_heterogeneity,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.112063,0.004577,0.659644,offset_phase_locked
kuramoto,baseline,chain,moderate_heterogeneity,K=1.5,1.5,False,False,False,True,True,0.002018,1.0,0.0,0.119683,0.072775,0.659644,phase_not_synchronised
kuramoto,baseline,chain,moderate_heterogeneity,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.112063,0.004577,0.659644,offset_phase_locked
kuramoto,baseline,chain,moderate_heterogeneity,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.112063,0.004577,0.659644,offset_phase_locked
kuramoto,baseline,chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.505025,1.3125,0.5,0.124528,0.101257,0.517378,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.496724,1.3125,0.5,0.135179,0.1341,0.515858,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.498391,1.3125,0.5,0.134286,0.133394,0.515776,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.497896,1.3125,0.5,0.12283,0.095237,0.516943,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.501213,1.3125,0.5,0.124717,0.099311,0.516993,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,K=1.5,1.5,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,near_identical,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.093,0.003844,0.774721,offset_phase_locked
kuramoto,baseline,directed_chain,near_identical,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.093,0.003949,0.774721,offset_phase_locked
kuramoto,baseline,directed_chain,near_identical,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.092667,0.004161,0.774721,offset_phase_locked
kuramoto,baseline,directed_chain,near_identical,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.093,0.003844,0.774721,offset_phase_locked
kuramoto,baseline,directed_chain,near_identical,K=1.5,1.5,False,True,False,True,True,0.0,1.0,0.0,0.092667,0.004161,0.774721,offset_phase_locked
kuramoto,baseline,directed_chain,moderate_heterogeneity,K=1.5,1.5,False,False,False,False,True,0.336317,1.1579,0.3,0.121579,0.100753,0.573092,frequency_not_locked
kuramoto,baseline,directed_chain,moderate_heterogeneity,K=1.5,1.5,False,False,False,False,True,0.316935,1.1579,0.3,0.118772,0.091244,0.560848,frequency_not_locked
kuramoto,baseline,directed_chain,moderate_heterogeneity,K=1.5,1.5,False,False,False,False,True,0.312676,1.1579,0.3,0.128772,0.099634,0.537018,frequency_not_locked
kuramoto,baseline,directed_chain,moderate_heterogeneity,K=1.5,1.5,False,False,False,False,True,0.314804,1.1579,0.3,0.124035,0.09662,0.551843,frequency_not_locked
kuramoto,baseline,directed_chain,moderate_heterogeneity,K=1.5,1.5,False,False,False,False,True,0.321212,1.1579,0.3,0.120526,0.095328,0.565768,frequency_not_locked
kuramoto,baseline,directed_chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.738047,1.4375,0.7,0.118077,0.133002,0.496597,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.74261,1.4375,0.7,0.128269,0.14419,0.484926,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.74261,1.4375,0.7,0.115577,0.129892,0.499597,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.726721,1.4375,0.7,0.122308,0.125066,0.489251,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.735772,1.4375,0.7,0.124423,0.135511,0.49407,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.999403,full_group_sync
kuramoto,baseline,all_to_all,identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.003492,0.00333,0.999403,full_group_sync
kuramoto,baseline,all_to_all,identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.003175,0.00333,0.999403,full_group_sync
kuramoto,baseline,all_to_all,identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.999403,full_group_sync
kuramoto,baseline,all_to_all,identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.003492,0.00333,0.999403,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=2.0,2.0,True,True,True,True,True,0.002039,1.0,0.0,0.026984,0.00142,0.977996,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.026984,0.00142,0.977996,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.027302,0.002398,0.977996,full_group_sync
kuramoto,baseline,all_to_all,near_identical,K=2.0,2.0,True,True,True,True,True,0.0,1.0,0.0,0.026984,0.00142,0.977996,full_group_sync
