K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
5.0,0,-0.122149316,-0.740298884,0.033,0.708773047,0,0,0,1.410888866,2.0,0.5,3.594466986,4.720522734,4.42798182,0.292540914,0.292540914,0,0.033575,frequency_step_gt_0.5hz,-0.833514834
5.0,0,-0.107723339,-0.65286872,0.033,0.6754641,0,0,0,1.48046358,1.410888866,0.5,4.009157216,5.027489626,4.720522734,0.306966892,0.306966892,0,0.066946,,-0.711365518
5.0,0,-0.093661382,-0.567644742,0.033,0.645876894,0,0,0,1.548282667,1.48046358,0.5,4.423847447,5.348518474,5.027489626,0.321028848,0.321028848,0,0.100157,,-0.603642179
5.0,0,-0.08054648,-0.488160487,0.033,0.62052669,0,0,0,1.611534227,1.548282667,0.5,4.838537677,5.682662224,5.348518474,0.33414375,0.33414375,0,0.133768,,-0.509980797
5.0,0,-0.068698831,-0.416356549,0.033,0.599278234,0,0,0,1.668673986,1.611534227,0.5,5.253227907,6.028653623,5.682662224,0.3459914,0.3459914,0,0.167256,,-0.429434316
5.0,0,-0.058238809,-0.352962477,0.033,0.58169249,1,1,1,1.719121385,1.668673986,0.5,5.667918137,0.101919738,6.028653623,0.356451422,0.356451422,0,0.200598,,-0.360735486
5.0,0,-0.049154234,-0.29790445,0.033,0.567235833,1,0,0,1.762935171,1.719121385,0.5,6.082608368,0.467455734,0.101919738,0.365535996,0.365535996,0,0.234107,,-0.302496677
5.0,0,-0.041355782,-0.250641106,0.033,0.555387043,1,0,0,1.800546145,1.762935171,0.5,0.214113291,0.840790182,0.467455734,0.373334448,0.373334448,0,0.267383,,-0.253342443
5.0,0,-0.034716413,-0.210402503,0.033,0.545682638,1,0,0,1.832567008,1.800546145,0.5,0.628803521,1.220763999,0.840790182,0.379973817,0.379973817,0,0.300795,,-0.211986661
5.0,0,-0.029096638,-0.17634326,0.033,0.53772967,1,0,0,1.859670492,1.832567008,0.5,1.043493751,1.606357591,1.220763999,0.385593592,0.385593592,0,0.334335,,-0.177270248
5.0,0,-0.02435928,-0.147632002,0.033,0.531203368,1,0,0,1.882518185,1.859670492,0.5,1.458183982,1.996688541,1.606357591,0.39033095,0.39033095,0,0.367549,,-0.14817361
5.0,0,-0.020377207,-0.123498226,0.033,0.525838872,1,0,0,1.901723234,1.882518185,0.5,1.872874212,2.391001564,1.996688541,0.394313023,0.394313023,0,0.401003,,-0.123814329
5.0,0,-0.017036707,-0.103252771,0.033,0.521421547,1,0,0,1.917834056,1.901723234,0.5,2.287564442,2.788655087,2.391001564,0.397653523,0.397653523,0,0.434328,,-0.103437122
5.0,0,-0.014238338,-0.086292958,0.033,0.517777838,1,0,0,1.931330246,1.917834056,0.5,2.702254673,3.189106979,2.788655087,0.400451892,0.400451892,0,0.467879,,-0.086400415
5.0,0,-0.059231867,-0.358981012,0.033,0.583317588,1,0,0,1.714331987,1.931330246,0.5,0.41469023,3.544565343,3.189106979,0.355458363,0.355458363,1,0.501431,,-2.774416749
5.0,0,-0.06824448,-0.413602907,0.033,0.598492303,1,0,0,1.670865264,1.714331987,0.5,0.829380461,3.891011093,3.544565343,0.346445751,0.346445751,0,0.534857,,-2.715184882
5.0,0,-0.078329726,-0.474725614,0.033,0.616437164,1,0,0,1.622225359,1.670865264,0.5,1.244070691,4.227371597,3.891011093,0.336360504,0.336360504,0,0.568151,,-2.646940403
