accepted_flash_event,accepted_flash_event_count,adaptive_amplitude,adaptive_high,adaptive_low,agent_id,brightness_mean,brightness_used,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,estimated_frequency_hz,event_type,frame_index,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,norm_off_threshold,norm_on_threshold,normalized_signal,periodicity_confidence,raw_brightness,rising_edge,rising_edge_count,roi,roi_id,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_frequency_hz,signal_norm,signal_quality,source_agent_id,state,t_s,threshold_off,threshold_on,timestamp_s,top_percentile_brightness,use_adaptive
False,0,0.0,1.0,0.0,V0,24.0,24.0,local_contrast,False,,0,0.3971674160002294,0.0,,1,128.99,,0.35,0.65,24.0,0.1935,0.35,0.65,0.0,0.0,24.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,124.75,123.0,147.0,0.0,0.0,0.0,V0,OFF,2e-06,120.0,180.0,10077.059970255,147.0,True
False,0,0.0,1.0,0.0,V1,78.0,78.0,local_contrast,False,,0,0.3971674160002294,0.0,,1,128.99,,0.35,0.65,78.0,0.5532,0.35,0.65,0.0,0.0,78.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,155.84,140.0,218.0,0.0,0.0,0.0,V1,OFF,2e-06,120.0,180.0,10077.059970255,218.0,True
False,0,0.0,1.0,0.0,V0,65.0,65.0,local_contrast,False,,0,0.4416316890001326,0.0,,2,113.25,,0.35,0.65,65.0,0.4887,0.35,0.65,0.0,0.0,65.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,146.47,132.0,197.0,0.0,0.0,0.0,V0,OFF,0.431204,120.0,180.0,10077.104434528,197.0,True
False,0,0.0,1.0,0.0,V1,90.0,90.0,local_contrast,False,,0,0.4416316890001326,0.0,,2,113.25,,0.35,0.65,90.0,0.7759,0.35,0.65,0.0,0.0,90.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,134.42,115.0,205.0,0.0,0.0,0.0,V1,OFF,0.431204,120.0,180.0,10077.104434528,205.0,True
False,0,0.0,1.0,0.0,V0,65.0,65.0,local_contrast,False,,0,0.5746513550002419,0.0,,3,90.32,,0.35,0.65,65.0,0.5372,0.35,0.65,0.0,0.0,65.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,135.75,120.0,185.0,0.0,0.0,0.0,V0,OFF,0.550641,120.0,180.0,10077.237454194,185.0,True
False,0,0.0,1.0,0.0,V1,11.0,11.0,local_contrast,False,,0,0.5746513550002419,0.0,,3,90.32,,0.35,0.65,11.0,0.1642,0.35,0.65,0.0,0.0,11.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,66.55,66.0,77.0,0.0,0.0,0.0,V1,OFF,0.550641,120.0,180.0,10077.237454194,77.0,True
False,0,0.0,1.0,0.0,V0,65.0,65.0,local_contrast,False,,0,0.6081330939996406,0.0,,4,101.71,,0.35,0.65,65.0,0.5417,0.35,0.65,0.0,0.0,65.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,134.55,119.0,184.0,0.0,0.0,0.0,V0,OFF,0.588171,120.0,180.0,10077.270935933,184.0,True
False,0,0.0,1.0,0.0,V1,88.0,88.0,local_contrast,False,,0,0.6081330939996406,0.0,,4,101.71,,0.35,0.65,88.0,0.88,0.35,0.65,0.0,0.0,88.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,119.59,99.0,187.0,0.0,0.0,0.0,V1,OFF,0.588171,120.0,180.0,10077.270935933,187.0,True
False,0,0.0,1.0,0.0,V0,45.0,45.0,local_contrast,False,,0,0.7080219519993989,0.0,,5,112.13,,0.35,0.65,45.0,0.3659,0.35,0.65,0.0,0.0,45.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,131.98,122.0,167.0,0.0,0.0,0.0,V0,OFF,0.693641,120.0,180.0,10077.370824791,167.0,True
False,0,0.0,1.0,0.0,V1,89.0,89.0,local_contrast,False,,0,0.7080219519993989,0.0,,5,112.13,,0.35,0.65,89.0,0.7542,0.35,0.65,0.0,0.0,89.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,136.24,117.0,206.0,0.0,0.0,0.0,V1,OFF,0.693641,120.0,180.0,10077.370824791,206.0,True
