agent_id,fire_count,flash_on,frequency_hz,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,1,1,2.17104,1.744341,0,1,virtual,2e-06,all_to_all
V1,1,0,2.395122,4.415085,0,1,virtual,2e-06,all_to_all
P0,0,0,2.277602,4.281547,,0,pi,2e-06,all_to_all
V0,1,1,2.17104,3.72068,1,2,virtual,0.431204,all_to_all
V1,2,1,2.395122,6.245194,1,2,virtual,0.431204,all_to_all
P0,1,1,2.277602,4.16911,,0,pi,0.431204,all_to_all
V0,1,0,2.21355,6.196958,2,5,virtual,0.693641,all_to_all
V1,3,1,2.402238,2.287377,2,3,virtual,0.693641,all_to_all
P0,2,0,2.277602,1.641558,,0,pi,0.693641,all_to_all
V0,2,1,2.49264,3.32441,2,5,virtual,0.922372,all_to_all
V1,3,0,2.554698,5.672604,2,4,virtual,0.922372,all_to_all
P0,2,0,2.277602,4.973494,,0,pi,0.922372,all_to_all
V0,3,1,2.826887,2.116564,3,7,virtual,1.147877,all_to_all
V1,4,1,2.785643,4.090733,3,6,virtual,1.147877,all_to_all
P0,3,0,2.279885,2.066687,,1,pi,1.147877,all_to_all
V0,3,1,2.866347,4.517288,3,7,virtual,1.356069,all_to_all
V1,5,1,2.819794,6.25247,3,6,virtual,1.356069,all_to_all
P0,3,0,2.306681,5.143359,,0,pi,1.356069,all_to_all
V0,4,1,2.884084,1.878948,4,10,virtual,1.560693,all_to_all
V1,6,1,2.832189,3.239275,4,8,virtual,1.560693,all_to_all
P0,4,0,2.336086,1.867855,,0,pi,1.560693,all_to_all
V0,5,1,2.860152,0.355659,4,11,virtual,1.789288,all_to_all
V1,7,1,2.799115,1.282516,4,8,virtual,1.789288,all_to_all
P0,4,0,2.409278,5.292617,,0,pi,1.789288,all_to_all
V0,5,1,2.835882,3.256148,5,12,virtual,1.99471,all_to_all
V1,7,1,2.772044,3.958676,5,10,virtual,1.99471,all_to_all
P0,5,0,2.427687,2.135559,,1,pi,1.99471,all_to_all
V0,6,1,2.798415,0.993478,5,13,virtual,2.222427,all_to_all
V1,8,1,2.734299,1.619405,5,11,virtual,2.222427,all_to_all
P0,5,0,2.456245,5.66958,,0,pi,2.222427,all_to_all
V0,6,1,2.768859,4.504173,6,14,virtual,2.422897,all_to_all
V1,8,0,2.709359,5.055371,6,12,virtual,2.422897,all_to_all
P0,6,0,2.466819,2.451318,,0,pi,2.422897,all_to_all
V0,7,1,2.742194,2.18871,6,15,virtual,2.656383,all_to_all
V1,9,1,2.690204,2.78552,6,13,virtual,2.656383,all_to_all
P0,6,0,2.487637,6.08154,,0,pi,2.656383,all_to_all
V0,7,0,2.722359,5.702631,7,16,virtual,2.856736,all_to_all
V1,9,0,2.676681,6.194174,7,14,virtual,2.856736,all_to_all
P0,7,0,2.508796,2.978414,,0,pi,2.856736,all_to_all
V0,7,0,2.692117,4.636192,7,17,virtual,3.089651,all_to_all
V1,10,0,2.654772,4.928485,7,14,virtual,3.089651,all_to_all
P0,8,1,2.546093,0.46809,,0,pi,3.089651,all_to_all
V0,8,1,2.67985,0.639896,8,19,virtual,3.289945,all_to_all
V1,11,1,2.645736,0.852188,8,16,virtual,3.289945,all_to_all
P0,8,0,2.555383,3.678122,,0,pi,3.289945,all_to_all
V0,8,0,2.658349,5.163561,9,20,virtual,3.561227,all_to_all
V1,11,0,2.629836,5.271213,9,17,virtual,3.561227,all_to_all
P0,9,0,2.557543,1.798936,,0,pi,3.561227,all_to_all
V0,8,0,2.646529,2.821675,9,21,virtual,3.789393,all_to_all
V1,12,1,2.622212,2.868775,9,17,virtual,3.789393,all_to_all
P0,9,0,2.549567,5.6135,,0,pi,3.789393,all_to_all
V0,8,0,2.641226,6.205212,10,22,virtual,3.989994,all_to_all
V1,12,0,2.620117,6.211268,10,18,virtual,3.989994,all_to_all
P0,10,0,2.53892,2.610214,,0,pi,3.989994,all_to_all
V0,9,1,2.640465,3.317216,10,23,virtual,4.190997,all_to_all
V1,13,1,2.622205,3.293357,10,19,virtual,4.190997,all_to_all
P0,10,0,2.51605,5.873396,,0,pi,4.190997,all_to_all
V0,10,1,2.64102,0.413122,11,24,virtual,4.423772,all_to_all
V1,14,1,2.625279,0.369372,11,20,virtual,4.423772,all_to_all
P0,11,0,2.493903,3.354056,,0,pi,4.423772,all_to_all
V0,10,0,2.64217,4.901369,11,25,virtual,4.624027,all_to_all
V1,14,0,2.629177,4.840444,11,21,virtual,4.624027,all_to_all
P0,12,1,2.469143,0.303744,,0,pi,4.624027,all_to_all
V0,11,1,2.639751,1.969041,12,27,virtual,4.856579,all_to_all
V1,15,1,2.628459,1.900063,12,23,virtual,4.856579,all_to_all
P0,12,0,2.45342,3.991315,,0,pi,4.856579,all_to_all
V0,11,0,2.634403,5.856788,13,28,virtual,5.133414,all_to_all
V1,15,0,2.62481,5.782249,13,24,virtual,5.133414,all_to_all
P0,13,0,2.446875,2.118084,,0,pi,5.133414,all_to_all
V0,12,1,2.628981,3.444748,13,29,virtual,5.357567,all_to_all
V1,16,1,2.620794,3.36776,13,25,virtual,5.357567,all_to_all
P0,13,0,2.447414,5.839641,,0,pi,5.357567,all_to_all
V0,13,1,2.62589,0.473502,14,30,virtual,5.557579,all_to_all
V1,17,1,2.618708,0.396175,14,26,virtual,5.557579,all_to_all
P0,14,0,2.449229,2.791208,,0,pi,5.557579,all_to_all
V0,13,1,2.627078,4.337999,14,31,virtual,5.757748,all_to_all
V1,17,1,2.616573,4.256817,14,27,virtual,5.757748,all_to_all
P0,14,0,2.446411,6.113459,,0,pi,5.757748,all_to_all
V0,14,1,2.628062,1.356329,15,33,virtual,5.990934,all_to_all
V1,18,1,2.613234,1.261393,15,29,virtual,5.990934,all_to_all
P0,15,0,2.437757,3.573342,,0,pi,5.990934,all_to_all
V0,14,0,2.624364,5.718725,15,33,virtual,6.191258,all_to_all
V1,18,0,2.609497,5.610351,15,29,virtual,6.191258,all_to_all
P0,16,1,2.4209,0.532795,,0,pi,6.191258,all_to_all
V0,15,1,2.621414,2.158438,16,35,virtual,6.423966,all_to_all
V1,19,1,2.607702,2.045382,16,31,virtual,6.423966,all_to_all
P0,16,0,2.400017,4.214261,,2,pi,6.423966,all_to_all
V0,15,0,2.6177,5.959343,17,36,virtual,6.660119,all_to_all
V1,19,0,2.605791,5.843282,17,32,virtual,6.660119,all_to_all
P0,17,0,2.39484,1.692488,,0,pi,6.660119,all_to_all
V0,16,1,2.618957,3.501394,17,37,virtual,6.891403,all_to_all
V1,20,1,2.60872,3.385516,17,33,virtual,6.891403,all_to_all
P0,17,0,2.39977,5.501035,,0,pi,6.891403,all_to_all
V0,17,1,2.622113,1.061139,18,39,virtual,7.124027,all_to_all
V1,21,1,2.613341,0.947791,18,35,virtual,7.124027,all_to_all
P0,18,0,2.39872,2.921291,,0,pi,7.124027,all_to_all
V0,17,1,2.621055,4.336144,18,39,virtual,7.325007,all_to_all
V1,21,1,2.613375,4.226316,18,35,virtual,7.325007,all_to_all
P0,18,0,2.405647,6.046628,,0,pi,7.325007,all_to_all
V0,18,1,2.617631,1.854728,19,41,virtual,7.557548,all_to_all
V1,22,1,2.611057,1.750108,19,37,virtual,7.557548,all_to_all
P0,19,0,2.419138,3.312763,,0,pi,7.557548,all_to_all
V0,18,0,2.613628,6.194373,19,41,virtual,7.758548,all_to_all
V1,22,0,2.608125,6.096636,19,37,virtual,7.758548,all_to_all
P0,20,1,2.422937,0.217688,,0,pi,7.758548,all_to_all
V0,19,1,2.609005,2.610124,20,43,virtual,7.991102,all_to_all
V1,23,1,2.60408,2.516984,20,39,virtual,7.991102,all_to_all
P0,20,0,2.415755,3.948004,,0,pi,7.991102,all_to_all
V0,20,1,2.599192,0.611311,21,44,virtual,8.262824,all_to_all
V1,24,1,2.595069,0.526467,21,41,virtual,8.262824,all_to_all
P0,21,0,2.4047,2.010533,,0,pi,8.262824,all_to_all
V0,20,0,2.586982,4.328088,21,45,virtual,8.492178,all_to_all
V1,24,1,2.58748,4.277011,21,41,virtual,8.492178,all_to_all
P0,21,0,2.404033,5.622263,,0,pi,8.492178,all_to_all
V0,21,1,2.574695,1.733985,21,46,virtual,8.724706,all_to_all
