elapsed_ms,endpoint,error,monotonic_time_s,ok
12.135,POST /api/reset,,10076.548904,1
5.617,POST /api/mode,,10076.561046,1
9.437,POST /api/leader/config,,10076.566669,1
13.635,POST /api/mutual/config,,10076.576112,1
13.514,POST /api/agents/0,,10076.589759,1
11.987,POST /api/agents/1,,10076.603282,1
9.721,POST /api/agents/2,,10076.615276,1
7.533,POST /api/start,,10076.625004,1
7.329,POST /api/feedback,,10076.632542,1
19.82,GET /api/agents,,10077.074171,1
24.693,POST /api/pi_flash,,10077.178824,1
9.887,GET /api/agents,,10077.203537,1
11.523,POST /api/pi_flash,,10077.344915,1
7.86,GET /api/agents,,10077.384895,1
13.038,GET /api/agents,,10077.618134,1
32.592,POST /api/pi_flash,,10077.778083,1
73.265,GET /api/agents,,10077.851623,1
23.289,GET /api/agents,,10078.051802,1
11.14,POST /api/pi_flash,,10078.21235,1
10.739,GET /api/agents,,10078.252314,1
56.619,GET /api/agents,,10078.48519,1
12.161,POST /api/pi_flash,,10078.645347,1
19.542,GET /api/agents,,10078.68568,1
13.354,GET /api/agents,,10078.918266,1
11.135,POST /api/pi_flash,,10079.01217,1
15.644,GET /api/agents,,10079.119277,1
12.828,GET /api/agents,,10079.352288,1
10.829,POST /api/pi_flash,,10079.445984,1
9.985,GET /api/agents,,10079.552798,1
10.069,POST /api/pi_flash,,10079.845805,1
14.195,GET /api/agents,,10079.855886,1
8.158,GET /api/agents,,10079.985482,1
10.913,POST /api/pi_flash,,10080.213112,1
6.499,GET /api/agents,,10080.252918,1
12.57,GET /api/agents,,10080.485738,1
9.157,POST /api/pi_flash,,10080.579568,1
14.556,GET /api/agents,,10080.686206,1
9.167,GET /api/agents,,10080.886872,1
8.688,POST /api/pi_flash,,10080.980237,1
8.306,GET /api/agents,,10081.119951,1
9.202,POST /api/pi_flash,,10081.380201,1
8.538,GET /api/agents,,10081.389414,1
21.774,GET /api/agents,,10081.552752,1
15.635,POST /api/pi_flash,,10081.780576,1
6.355,GET /api/agents,,10081.820312,1
10.657,GET /api/agents,,10082.053764,1
9.811,POST /api/pi_flash,,10082.147222,1
10.434,GET /api/agents,,10082.252944,1
37.119,GET /api/agents,,10082.453765,1
20.595,POST /api/pi_flash,,10082.580406,1
24.819,GET /api/agents,,10082.686355,1
11.534,POST /api/pi_flash,,10082.947597,1
8.732,GET /api/agents,,10082.959143,1
11.651,GET /api/agents,,10083.120791,1
