agent_id,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,pi_flash,2.300507,,,,1.326584,,,,19.46551
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,19.46551,19.46551
V0,pi_detected_virtual_flash,,,1,0.8293,,59.0,0,,19.566828
P0,pi_flash,2.297628,,,,0.223908,,,,19.839758
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,19.839758,19.839758
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,20.030441
V1,pi_detected_virtual_flash,,,1,0.8904,,78.0,1,,20.030441
P0,pi_flash,2.29096,,,,0.158303,,,,20.297212
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,20.297212,20.297212
V0,pi_detected_virtual_flash,,,1,0.6829,,53.0,0,,20.463922
V1,pi_detected_virtual_flash,,,1,0.8904,,78.0,1,,20.463922
P0,pi_flash,2.285481,,,,0.117592,,,,20.764721
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,20.764721,20.764721
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,20.997638
V1,pi_detected_virtual_flash,,,1,0.8919,,78.0,1,,20.997638
P0,pi_flash,2.281068,,,,0.030816,,,,21.231495
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,21.231495,21.231495
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,21.430975
V1,pi_detected_virtual_flash,,,1,0.891,,78.0,1,,21.430975
P0,pi_flash,2.273932,,,,0.292854,,,,21.730888
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,21.730888,21.730888
V0,pi_detected_virtual_flash,,,1,0.7073,,54.0,0,,21.877381
V1,pi_detected_virtual_flash,,,1,0.921,,78.0,1,,21.877381
P0,pi_flash,2.266739,,,,0.256746,,,,22.19867
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,22.19867,22.19867
V0,pi_detected_virtual_flash,,,1,0.7444,,55.0,0,,22.398209
V1,pi_detected_virtual_flash,,,1,0.9519,,78.0,1,,22.398209
P0,pi_flash,2.2485,,,,0.119125,,,,22.664701
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,22.664701,22.664701
V0,pi_detected_virtual_flash,,,1,0.725,,54.0,0,,22.831533
V1,pi_detected_virtual_flash,,,1,0.9559,,78.0,1,,22.831533
P0,pi_flash,2.240558,,,,0.347588,,,,23.164914
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,23.164914,23.164914
V0,pi_detected_virtual_flash,,,1,0.725,,54.0,0,,23.269939
V1,pi_detected_virtual_flash,,,1,0.9559,,78.0,1,,23.365886
P0,pi_flash,2.236259,,,,0.330567,,,,23.631795
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,23.631795,23.631795
V1,pi_detected_virtual_flash,,,1,0.6916,,60.0,1,,23.772106
V0,pi_detected_virtual_flash,,,1,0.7007,,53.0,0,,23.79927
P0,pi_flash,2.235376,,,,0.231085,,,,24.099406
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,24.099406,24.099406
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,24.243996
P0,pi_flash,2.240491,,,,0.185087,,,,24.566118
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,24.566118,24.566118
V0,pi_detected_virtual_flash,,,1,0.7772,,54.0,0,,24.765824
V1,pi_detected_virtual_flash,,,1,0.9853,,79.0,1,,24.765824
P0,pi_flash,2.224403,,,,0.038644,,,,25.033332
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,25.033332,25.033332
P0,pi_flash,2.187909,,,,0.069398,,,,25.532817
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,25.532817,25.532817
V0,pi_detected_virtual_flash,,,1,0.7531,,55.0,0,,25.73258
V1,pi_detected_virtual_flash,,,1,0.898,,79.0,1,,25.73258
P0,pi_flash,2.147537,,,,0.028786,,,,26.033394
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,26.033394,26.033394
V0,pi_detected_virtual_flash,,,1,1.0,,66.0,0,,26.172336
V1,pi_detected_virtual_flash,,,1,1.0,,90.0,1,,26.172336
P0,pi_flash,2.119455,,,,0.022273,,,,26.532962
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,26.532962,26.532962
V0,pi_detected_virtual_flash,,,1,0.7561,,55.0,0,,26.699594
V1,pi_detected_virtual_flash,,,1,0.8158,,75.0,1,,26.699594
P0,pi_flash,2.077161,,,,0.32238,,,,27.066458
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,27.066458,27.066458
V0,pi_detected_virtual_flash,,,1,0.7317,,54.0,0,,27.175049
V1,pi_detected_virtual_flash,,,1,0.8684,,79.0,1,,27.175049
P0,pi_flash,2.050952,,,,0.318698,,,,27.566625
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,27.566625,27.566625
V0,pi_detected_virtual_flash,,,1,0.7284,,54.0,0,,27.670193
V1,pi_detected_virtual_flash,,,1,0.8026,,74.0,1,,27.670193
P0,pi_flash,2.030913,,,,0.346946,,,,28.066774
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,28.066774,28.066774
V1,pi_detected_virtual_flash,,,1,0.6974,,66.0,1,,28.21071
V0,pi_detected_virtual_flash,,,1,0.727,,54.0,0,,28.234679
P0,pi_flash,2.012913,,,,0.126502,,,,28.570363
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,28.570363,28.570363
V0,pi_detected_virtual_flash,,,1,0.7073,,53.0,0,,28.671261
V1,pi_detected_virtual_flash,,,1,0.8421,,77.0,1,,28.671261
P0,pi_flash,2.017006,,,,0.001905,,,,29.067108
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,29.067108,29.067108
V0,pi_detected_virtual_flash,,,1,0.7317,,54.0,0,,29.198987
V1,pi_detected_virtual_flash,,,1,0.8553,,78.0,1,,29.198987
P0,pi_flash,2.011137,,,,0.043285,,,,29.56763
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,29.56763,29.56763
V0,pi_detected_virtual_flash,,,1,0.75,,54.0,0,,29.735166
V1,pi_detected_virtual_flash,,,1,0.7578,,69.0,1,,29.735166
P0,pi_flash,1.997104,,,,0.167675,,,,30.101092
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,30.101092,30.101092
V0,pi_detected_virtual_flash,,,1,0.75,,54.0,0,,30.200698
V1,pi_detected_virtual_flash,,,1,0.9246,,78.0,1,,30.200698
P0,pi_flash,1.986666,,,,6.282907,,,,30.601525
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,30.601525,30.601525
V0,pi_detected_virtual_flash,,,1,0.8596,,54.0,0,,30.710036
V1,pi_detected_virtual_flash,,,1,0.9118,,75.0,1,,30.710036
P0,pi_flash,1.98587,,,,1.35052,,,,30.710036
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,30.710036,30.710036
P0,pi_flash,1.975094,,,,0.326304,,,,31.134689
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,31.134689,31.134689
V0,pi_detected_virtual_flash,,,1,0.8108,,54.0,0,,31.23716
