agent_id,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
V1,pi_detected_virtual_flash,,,1,0.7612,,64.0,1,,42.340317
P0,pi_flash,1.841407,,,,0.282011,,,,42.715854
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,42.715854,42.715854
V1,pi_detected_virtual_flash,,,1,0.7273,,61.0,1,,42.873802
V0,pi_detected_virtual_flash,,,1,0.9062,,53.0,0,,42.918392
P0,pi_flash,1.828229,,,,0.250263,,,,43.307385
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,43.307385,43.307385
V1,pi_detected_virtual_flash,,,1,0.747,,62.0,1,,43.419782
V0,pi_detected_virtual_flash,,,1,0.9355,,53.0,0,,43.44168
P0,pi_flash,1.817431,,,,0.219634,,,,43.878494
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,43.878494,43.878494
V0,pi_detected_virtual_flash,,,1,0.9375,,54.0,0,,43.981305
V1,pi_detected_virtual_flash,,,1,0.9848,,78.0,1,,43.981305
P0,pi_flash,1.81376,,,,0.254952,,,,44.441019
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,44.441019,44.441019
V0,pi_detected_virtual_flash,,,1,0.8514,,54.0,0,,44.555511
V1,pi_detected_virtual_flash,,,1,0.9701,,78.0,1,,44.555511
P0,pi_flash,1.807037,,,,0.350636,,,,45.007911
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,45.007911,45.007911
V0,pi_detected_virtual_flash,,,1,0.8329,,54.0,0,,45.110755
V1,pi_detected_virtual_flash,,,1,0.9851,,79.0,1,,45.110755
P0,pi_flash,1.800147,,,,0.021454,,,,45.541558
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,45.541558,45.541558
V0,pi_detected_virtual_flash,,,1,0.8286,,54.0,0,,45.709087
V1,pi_detected_virtual_flash,,,1,0.8358,,69.0,1,,45.709087
P0,pi_flash,1.794679,,,,0.295775,,,,46.15046
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,46.15046,46.15046
V0,pi_detected_virtual_flash,,,1,0.8056,,53.0,0,,46.248644
V1,pi_detected_virtual_flash,,,1,0.8358,,69.0,1,,46.248644
P0,pi_flash,1.79634,,,,0.167758,,,,46.709048
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,46.709048,46.709048
V0,pi_detected_virtual_flash,,,1,0.8735,,53.0,0,,46.814145
V1,pi_detected_virtual_flash,,,1,0.8182,,67.0,1,,46.814145
P0,pi_flash,1.793935,,,,0.22565,,,,47.275572
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,47.275572,47.275572
V1,pi_detected_virtual_flash,,,1,0.803,,66.0,1,,47.409355
V0,pi_detected_virtual_flash,,,1,0.9062,,53.0,0,,47.443551
P0,pi_flash,1.785492,,,,0.008063,,,,47.842791
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,47.842791,47.842791
V0,pi_detected_virtual_flash,,,1,0.9524,,54.0,0,,47.982267
V1,pi_detected_virtual_flash,,,1,0.8333,,68.0,1,,47.982267
P0,pi_flash,1.779754,,,,0.212206,,,,48.454332
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,48.454332,48.454332
V0,pi_detected_virtual_flash,,,1,0.6686,,47.0,0,,48.609869
V1,pi_detected_virtual_flash,,,1,0.806,,67.0,1,,48.609869
P0,pi_flash,1.767438,,,,0.274408,,,,49.057338
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,49.057338,49.057338
V1,pi_detected_virtual_flash,,,1,0.803,,66.0,1,,49.148476
V0,pi_detected_virtual_flash,,,1,0.9677,,54.0,0,,49.177561
P0,pi_flash,1.762009,,,,0.218571,,,,49.643723
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,49.643723,49.643723
V0,pi_detected_virtual_flash,,,1,0.9333,,52.0,0,,49.811222
V1,pi_detected_virtual_flash,,,1,0.8154,,66.0,1,,49.811222
P0,pi_flash,1.748453,,,,0.265837,,,,50.254282
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,50.254282,50.254282
V0,pi_detected_virtual_flash,,,1,1.0,,53.0,0,,50.348712
V1,pi_detected_virtual_flash,,,1,0.8462,,68.0,1,,50.348712
P0,pi_flash,1.732067,,,,0.250459,,,,50.844274
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,50.844274,50.844274
V0,pi_detected_virtual_flash,,,1,0.785,,47.0,0,,50.985341
V1,pi_detected_virtual_flash,,,1,0.8308,,67.0,1,,50.985341
P0,pi_flash,1.717121,,,,0.025796,,,,51.411168
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,51.411168,51.411168
V1,pi_detected_virtual_flash,,,1,0.8154,,66.0,1,,51.513608
V0,pi_detected_virtual_flash,,,1,1.0,,54.0,0,,51.557524
P0,pi_flash,1.707864,,,,0.158288,,,,52.021717
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,52.021717,52.021717
V0,pi_detected_virtual_flash,,,1,0.9302,,52.0,0,,52.17844
V1,pi_detected_virtual_flash,,,1,0.9385,,74.0,1,,52.17844
P0,pi_flash,1.70209,,,,0.318705,,,,52.65708
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,52.65708,52.65708
V0,pi_detected_virtual_flash,,,1,0.6667,,44.0,0,,52.812014
V1,pi_detected_virtual_flash,,,1,0.7538,,62.0,1,,52.812014
P0,pi_flash,1.676177,,,,0.312151,,,,53.293293
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,53.293293,53.293293
V0,pi_detected_virtual_flash,,,1,1.0,,54.0,0,,53.382852
V1,pi_detected_virtual_flash,,,1,0.858,,68.0,1,,53.382852
P0,pi_flash,1.668008,,,,0.005649,,,,53.87896
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,53.87896,53.87896
V0,pi_detected_virtual_flash,,,1,0.7667,,47.0,0,,54.019633
V1,pi_detected_virtual_flash,,,1,0.8462,,68.0,1,,54.019633
P0,pi_flash,1.649005,,,,0.361871,,,,54.546091
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,54.546091,54.546091
V0,pi_detected_virtual_flash,,,1,0.9333,,52.0,0,,54.687797
V1,pi_detected_virtual_flash,,,1,0.8154,,66.0,1,,54.687797
P0,pi_flash,1.628904,,,,0.171723,,,,55.17987
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,55.17987,55.17987
V0,pi_detected_virtual_flash,,,1,0.7667,,47.0,0,,55.313603
V1,pi_detected_virtual_flash,,,1,0.8769,,70.0,1,,55.313603
P0,pi_flash,1.614189,,,,0.278024,,,,55.846791
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,55.846791,55.846791
V0,pi_detected_virtual_flash,,,1,0.6667,,44.0,0,,55.947959
V1,pi_detected_virtual_flash,,,1,0.7656,,62.0,1,,55.947959
P0,pi_flash,1.60347,,,,0.040552,,,,56.459582
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,56.459582,56.459582
V0,pi_detected_virtual_flash,,,1,0.9333,,52.0,0,,56.614794
V1,pi_detected_virtual_flash,,,1,0.8154,,66.0,1,,56.614794
P0,pi_flash,1.593984,,,,0.15349,,,,57.127996
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,57.127996,57.127996
V0,pi_detected_virtual_flash,,,1,0.9655,,52.0,0,,57.243718
V1,pi_detected_virtual_flash,,,1,0.8438,,67.0,1,,57.243718
P0,pi_flash,1.58816,,,,0.242072,,,,57.776505
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,57.776505,57.776505
V0,pi_detected_virtual_flash,,,1,0.8276,,48.0,0,,57.883304
V1,pi_detected_virtual_flash,,,1,0.9077,,72.0,1,,57.883304
P0,pi_flash,1.583254,,,,0.040976,,,,58.393635
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,58.393635,58.393635
