event,model,source,t_s
virtual_flash,kuramoto,camera,0.690084
pi_flash,kuramoto,pi_oscillator,0.752261
virtual_flash,kuramoto,camera,1.089705
pi_flash,kuramoto,pi_oscillator,1.121491
pi_flash,kuramoto,pi_oscillator,1.468703
pi_flash,kuramoto,pi_oscillator,1.877863
virtual_flash,kuramoto,camera,2.057717
pi_flash,kuramoto,pi_oscillator,2.314204
virtual_flash,kuramoto,camera,2.437874
virtual_flash,kuramoto,camera,2.797836
pi_flash,kuramoto,pi_oscillator,2.797836
pi_flash,kuramoto,pi_oscillator,3.19776
virtual_flash,kuramoto,camera,3.304113
virtual_flash,kuramoto,camera,3.659482
pi_flash,kuramoto,pi_oscillator,3.659482
pi_flash,kuramoto,pi_oscillator,4.043331
virtual_flash,kuramoto,camera,4.142582
pi_flash,kuramoto,pi_oscillator,4.495188
virtual_flash,kuramoto,camera,4.589654
virtual_flash,kuramoto,camera,4.949652
pi_flash,kuramoto,pi_oscillator,4.949652
pi_flash,kuramoto,pi_oscillator,5.327423
virtual_flash,kuramoto,camera,5.421459
pi_flash,kuramoto,pi_oscillator,5.794663
virtual_flash,kuramoto,camera,6.227654
pi_flash,kuramoto,pi_oscillator,6.227654
pi_flash,kuramoto,pi_oscillator,6.627611
virtual_flash,kuramoto,camera,6.721412
virtual_flash,kuramoto,camera,7.114539
pi_flash,kuramoto,pi_oscillator,7.114539
pi_flash,kuramoto,pi_oscillator,7.507264
virtual_flash,kuramoto,camera,7.604993
pi_flash,kuramoto,pi_oscillator,8.021917
virtual_flash,kuramoto,camera,8.136848
pi_flash,kuramoto,pi_oscillator,8.544193
virtual_flash,kuramoto,camera,8.951373
pi_flash,kuramoto,pi_oscillator,9.010649
pi_flash,kuramoto,pi_oscillator,9.384914
virtual_flash,kuramoto,camera,9.505198
virtual_flash,kuramoto,camera,9.911276
pi_flash,kuramoto,pi_oscillator,9.911276
pi_flash,kuramoto,pi_oscillator,10.347682
virtual_flash,kuramoto,camera,10.438403
pi_flash,kuramoto,pi_oscillator,10.856929
virtual_flash,kuramoto,camera,11.353822
pi_flash,kuramoto,pi_oscillator,11.353822
virtual_flash,kuramoto,camera,11.750587
pi_flash,kuramoto,pi_oscillator,11.772329
pi_flash,kuramoto,pi_oscillator,12.185046
virtual_flash,kuramoto,camera,12.323538
virtual_flash,kuramoto,camera,12.729995
pi_flash,kuramoto,pi_oscillator,12.729995
virtual_flash,kuramoto,camera,13.174818
pi_flash,kuramoto,pi_oscillator,13.174818
pi_flash,kuramoto,pi_oscillator,13.639983
virtual_flash,kuramoto,camera,13.737645
virtual_flash,kuramoto,camera,14.134055
pi_flash,kuramoto,pi_oscillator,14.134055
pi_flash,kuramoto,pi_oscillator,14.538563
virtual_flash,kuramoto,camera,14.6285
pi_flash,kuramoto,pi_oscillator,15.029727
virtual_flash,kuramoto,camera,15.136338
virtual_flash,kuramoto,camera,15.538929
pi_flash,kuramoto,pi_oscillator,15.538929
pi_flash,kuramoto,pi_oscillator,15.942537
virtual_flash,kuramoto,camera,16.049381
pi_flash,kuramoto,pi_oscillator,16.468382
virtual_flash,kuramoto,camera,16.914145
pi_flash,kuramoto,pi_oscillator,16.914145
pi_flash,kuramoto,pi_oscillator,17.338243
virtual_flash,kuramoto,camera,17.481213
virtual_flash,kuramoto,camera,17.881053
pi_flash,kuramoto,pi_oscillator,17.881053
pi_flash,kuramoto,pi_oscillator,18.300174
virtual_flash,kuramoto,camera,18.408649
pi_flash,kuramoto,pi_oscillator,18.819931
virtual_flash,kuramoto,camera,19.293681
pi_flash,kuramoto,pi_oscillator,19.323887
virtual_flash,kuramoto,camera,19.718284
pi_flash,kuramoto,pi_oscillator,19.775875
pi_flash,kuramoto,pi_oscillator,20.147743
virtual_flash,kuramoto,camera,20.369754
virtual_flash,kuramoto,camera,21.576277
pi_flash,kuramoto,pi_oscillator,21.576277
virtual_flash,kuramoto,camera,21.99286
pi_flash,kuramoto,pi_oscillator,21.99286
pi_flash,kuramoto,pi_oscillator,22.44445
virtual_flash,kuramoto,camera,22.555761
virtual_flash,kuramoto,camera,22.967824
pi_flash,kuramoto,pi_oscillator,22.967824
virtual_flash,kuramoto,camera,23.420702
pi_flash,kuramoto,pi_oscillator,23.420702
pi_flash,kuramoto,pi_oscillator,23.829142
virtual_flash,kuramoto,camera,23.943284
pi_flash,kuramoto,pi_oscillator,24.350797
virtual_flash,kuramoto,camera,24.810664
pi_flash,kuramoto,pi_oscillator,24.840687
pi_flash,kuramoto,pi_oscillator,25.258539
virtual_flash,kuramoto,camera,25.365444
virtual_flash,kuramoto,camera,25.797465
pi_flash,kuramoto,pi_oscillator,25.797465
virtual_flash,kuramoto,camera,26.222209
pi_flash,kuramoto,pi_oscillator,26.222209
pi_flash,kuramoto,pi_oscillator,26.632782
virtual_flash,kuramoto,camera,26.732695
pi_flash,kuramoto,pi_oscillator,27.156114
virtual_flash,kuramoto,camera,27.255045
virtual_flash,kuramoto,camera,27.609296
pi_flash,kuramoto,pi_oscillator,27.639009
pi_flash,kuramoto,pi_oscillator,28.032931
virtual_flash,kuramoto,camera,28.168517
pi_flash,kuramoto,pi_oscillator,28.572724
virtual_flash,kuramoto,camera,29.029064
pi_flash,kuramoto,pi_oscillator,29.059142
pi_flash,kuramoto,pi_oscillator,29.473714
virtual_flash,kuramoto,camera,29.583537
