t_s,event_type
1.048941,follower_flash
1.35311,follower_flash
1.636441,leader_flash
2.015117,follower_flash
2.077361,leader_flash
2.611049,leader_flash
2.674198,follower_flash
3.106775,leader_flash
3.32784,follower_flash
3.607431,leader_flash
3.829613,follower_flash
4.047382,leader_flash
4.408929,follower_flash
4.480589,follower_flash
4.547219,leader_flash
4.980947,follower_flash
5.04783,leader_flash
5.547958,leader_flash
5.547958,follower_flash
6.047646,leader_flash
6.10823,follower_flash
6.548544,leader_flash
6.608261,follower_flash
7.048656,leader_flash
7.10817,follower_flash
7.548841,leader_flash
7.609246,follower_flash
8.047564,leader_flash
8.171149,follower_flash
8.547863,leader_flash
9.048316,leader_flash
9.108345,follower_flash
9.548305,leader_flash
9.608557,follower_flash
10.049384,leader_flash
10.109066,follower_flash
10.548213,leader_flash
10.607422,follower_flash
11.048653,leader_flash
11.108279,follower_flash
11.547872,leader_flash
11.607993,follower_flash
12.04644,leader_flash
12.106266,follower_flash
12.548396,leader_flash
12.607598,follower_flash
13.047883,leader_flash
13.107557,follower_flash
13.548638,leader_flash
13.548638,follower_flash
14.048877,leader_flash
14.048877,follower_flash
14.547659,leader_flash
14.547659,follower_flash
15.049174,leader_flash
15.049174,follower_flash
15.548512,leader_flash
15.548512,follower_flash
16.049105,leader_flash
16.049105,follower_flash
16.548622,leader_flash
16.548622,follower_flash
17.048966,leader_flash
17.048966,follower_flash
17.548768,leader_flash
17.548768,follower_flash
18.049684,leader_flash
18.049684,follower_flash
18.54898,leader_flash
18.54898,follower_flash
19.04951,leader_flash
19.04951,follower_flash
19.548229,leader_flash
19.548229,follower_flash
20.049914,leader_flash
20.049914,follower_flash
20.548767,leader_flash
20.548767,follower_flash
21.048177,leader_flash
21.048177,follower_flash
21.548846,leader_flash
21.548846,follower_flash
22.048411,leader_flash
22.048411,follower_flash
22.549473,leader_flash
22.549473,follower_flash
23.049397,leader_flash
23.049397,follower_flash
23.549179,leader_flash
23.549179,follower_flash
24.048189,leader_flash
24.048189,follower_flash
24.548994,leader_flash
24.548994,follower_flash
25.049325,leader_flash
25.049325,follower_flash
25.549236,leader_flash
25.549236,follower_flash
26.048372,leader_flash
26.048372,follower_flash
26.548681,leader_flash
26.548681,follower_flash
27.047688,leader_flash
27.047688,follower_flash
27.549301,leader_flash
27.549301,follower_flash
28.049524,leader_flash
28.049524,follower_flash
28.548134,leader_flash
28.548134,follower_flash
29.048241,leader_flash
29.048241,follower_flash
29.548226,leader_flash
29.548226,follower_flash
29.984134,follower_flash
