model,variant,topology,freq_set,param_label,K,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,chain,near_identical,K=4.0,4.0,True,True,True,True,True,0.006363,1.05,0.1,0.022,0.00614,0.984158,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,K=4.0,4.0,False,True,False,True,True,0.012396,1.0,0.0,0.078667,0.010385,0.827,offset_phase_locked
kuramoto,baseline,directed_chain,near_identical,K=4.0,4.0,True,True,True,True,True,0.008045,1.0,0.0,0.038596,0.006992,0.958124,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,K=4.0,4.0,False,False,False,False,False,0.451789,1.3333,0.5,0.136444,0.104758,0.556035,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,near_identical,K=5.0,5.0,True,True,True,True,True,0.002102,1.0,0.0,0.012698,0.001957,0.994474,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,K=5.0,5.0,True,True,True,True,True,0.002055,1.0,0.0,0.042,0.003712,0.946752,full_group_sync
kuramoto,baseline,chain,near_identical,K=5.0,5.0,True,True,True,True,True,0.004208,1.0,0.0,0.019048,0.005149,0.988201,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,K=5.0,5.0,True,True,True,True,True,0.010449,1.0,0.0,0.062,0.007959,0.888854,full_group_sync
kuramoto,baseline,directed_chain,near_identical,K=5.0,5.0,True,True,True,True,True,0.004014,1.0,0.0,0.034035,0.004385,0.968414,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,K=5.0,5.0,False,True,False,True,True,0.027788,1.0,0.0,0.160444,0.027672,0.583701,offset_phase_locked
pco_simple,additive_phase_eps0.1_r0.05,all_to_all,near_identical,additive_phase eps=0.1,,False,False,True,False,False,0.49416,1.2778,0.5,0.094386,0.111559,0.973527,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.1_r0.05,all_to_all,strong_heterogeneity,additive_phase eps=0.1,,False,False,True,False,False,1.071565,1.7857,1.1,0.091633,0.107542,0.972418,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.1_r0.05,chain,near_identical,additive_phase eps=0.1,,False,False,True,False,True,0.270705,1.1667,0.3,0.070175,0.080201,0.981747,partial_phase_lock
pco_simple,additive_phase_eps0.1_r0.05,chain,strong_heterogeneity,additive_phase eps=0.1,,False,False,True,False,False,0.933623,1.7143,1.0,0.09449,0.109125,0.972438,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.1_r0.05,directed_chain,near_identical,additive_phase eps=0.1,,False,False,True,False,True,0.270705,1.1667,0.3,0.070175,0.080201,0.981747,partial_phase_lock
pco_simple,additive_phase_eps0.1_r0.05,directed_chain,strong_heterogeneity,additive_phase eps=0.1,,False,False,True,False,False,0.933623,1.7143,1.0,0.09449,0.109125,0.972438,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.1_r0.1,all_to_all,near_identical,additive_phase eps=0.1,,False,False,True,False,False,0.433883,1.2778,0.5,0.088246,0.106481,0.975421,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.1_r0.1,all_to_all,strong_heterogeneity,additive_phase eps=0.1,,False,False,True,False,False,1.017923,1.7857,1.1,0.094286,0.110193,0.972332,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.1_r0.1,chain,near_identical,additive_phase eps=0.1,,False,False,True,False,True,0.227372,1.1667,0.3,0.07614,0.088271,0.980212,partial_phase_lock
pco_simple,additive_phase_eps0.1_r0.1,chain,strong_heterogeneity,additive_phase eps=0.1,,False,False,True,False,False,0.85789,1.6429,0.9,0.096939,0.110419,0.973823,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.1_r0.1,directed_chain,near_identical,additive_phase eps=0.1,,False,False,True,False,True,0.227372,1.1667,0.3,0.07614,0.088271,0.980212,partial_phase_lock
pco_simple,additive_phase_eps0.1_r0.1,directed_chain,strong_heterogeneity,additive_phase eps=0.1,,False,False,True,False,False,0.85789,1.6429,0.9,0.096939,0.110419,0.973823,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.05,all_to_all,near_identical,additive_phase eps=0.15,,False,False,True,False,False,0.651839,1.3333,0.6,0.072632,0.090197,0.976942,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.05,all_to_all,strong_heterogeneity,additive_phase eps=0.15,,False,False,True,False,False,1.276366,1.9286,1.3,0.076327,0.089688,0.972257,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.05,chain,near_identical,additive_phase eps=0.15,,False,False,True,False,True,0.325597,1.1667,0.3,0.057895,0.075533,0.983687,partial_phase_lock
pco_simple,additive_phase_eps0.15_r0.05,chain,strong_heterogeneity,additive_phase eps=0.15,,False,False,True,False,False,1.096459,1.7857,1.1,0.088163,0.097256,0.972771,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.05,directed_chain,near_identical,additive_phase eps=0.15,,False,False,True,False,True,0.325597,1.1667,0.3,0.057895,0.075533,0.983687,partial_phase_lock
pco_simple,additive_phase_eps0.15_r0.05,directed_chain,strong_heterogeneity,additive_phase eps=0.15,,False,False,True,False,False,1.096459,1.7857,1.1,0.088163,0.097256,0.972771,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.1,all_to_all,near_identical,additive_phase eps=0.15,,False,False,True,False,False,0.517579,1.2778,0.5,0.084912,0.097447,0.975385,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.1,all_to_all,strong_heterogeneity,additive_phase eps=0.15,,False,False,True,False,False,1.147378,1.8571,1.2,0.086939,0.097114,0.97211,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.1,chain,near_identical,additive_phase eps=0.15,,False,False,True,False,True,0.24996,1.1667,0.3,0.075263,0.084607,0.979745,partial_phase_lock
pco_simple,additive_phase_eps0.15_r0.1,chain,strong_heterogeneity,additive_phase eps=0.15,,False,False,True,False,False,0.90659,1.6429,0.9,0.087143,0.105045,0.974865,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.15_r0.1,directed_chain,near_identical,additive_phase eps=0.15,,False,False,True,False,True,0.24996,1.1667,0.3,0.075263,0.084607,0.979745,partial_phase_lock
pco_simple,additive_phase_eps0.15_r0.1,directed_chain,strong_heterogeneity,additive_phase eps=0.15,,False,False,True,False,False,0.90659,1.6429,0.9,0.087143,0.105045,0.974865,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.05,all_to_all,near_identical,additive_phase eps=0.2,,False,False,True,False,False,0.769956,1.4444,0.8,0.074138,0.085583,0.97372,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.05,all_to_all,strong_heterogeneity,additive_phase eps=0.2,,False,False,True,False,False,1.2617,1.9286,1.3,0.0746,0.087068,0.974072,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.05,chain,near_identical,additive_phase eps=0.2,,False,False,True,False,False,0.383478,1.2222,0.4,0.055172,0.064266,0.983536,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.05,chain,strong_heterogeneity,additive_phase eps=0.2,,False,False,True,False,False,1.155768,1.8571,1.2,0.0812,0.097018,0.974692,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.05,directed_chain,near_identical,additive_phase eps=0.2,,False,False,True,False,False,0.383478,1.2222,0.4,0.055172,0.064266,0.983536,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.05,directed_chain,strong_heterogeneity,additive_phase eps=0.2,,False,False,True,False,False,1.155768,1.8571,1.2,0.0812,0.097018,0.974692,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.1,all_to_all,near_identical,additive_phase eps=0.2,,False,False,True,False,False,0.607785,1.3333,0.6,0.067193,0.074943,0.977527,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.1,all_to_all,strong_heterogeneity,additive_phase eps=0.2,,False,False,True,False,False,1.164211,1.8571,1.2,0.078,0.08791,0.973875,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.1,chain,near_identical,additive_phase eps=0.2,,False,False,True,False,True,0.287121,1.1667,0.3,0.073684,0.079158,0.979735,partial_phase_lock
pco_simple,additive_phase_eps0.2_r0.1,chain,strong_heterogeneity,additive_phase eps=0.2,,False,False,True,False,False,0.862923,1.6429,0.9,0.0776,0.08472,0.977,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.2_r0.1,directed_chain,near_identical,additive_phase eps=0.2,,False,False,True,False,True,0.287121,1.1667,0.3,0.073684,0.079158,0.979735,partial_phase_lock
pco_simple,additive_phase_eps0.2_r0.1,directed_chain,strong_heterogeneity,additive_phase eps=0.2,,False,False,True,False,False,0.862923,1.6429,0.9,0.0776,0.08472,0.977,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.05,all_to_all,near_identical,additive_phase eps=0.25,,False,False,True,False,False,0.872589,1.4444,0.8,0.04931,0.066892,0.978535,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.05,all_to_all,strong_heterogeneity,additive_phase eps=0.25,,False,False,True,False,False,1.492537,2.0714,1.5,0.0502,0.053329,0.977374,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.05,chain,near_identical,additive_phase eps=0.25,,False,False,True,False,False,0.581019,1.3333,0.6,0.062069,0.075779,0.978035,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.05,chain,strong_heterogeneity,additive_phase eps=0.25,,False,False,True,False,False,1.155768,1.8571,1.2,0.0712,0.083557,0.975237,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.05,directed_chain,near_identical,additive_phase eps=0.25,,False,False,True,False,False,0.581019,1.3333,0.6,0.062069,0.075779,0.978035,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.05,directed_chain,strong_heterogeneity,additive_phase eps=0.25,,False,False,True,False,False,1.155768,1.8571,1.2,0.0712,0.083557,0.975237,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.1,all_to_all,near_identical,additive_phase eps=0.25,,False,False,True,False,False,0.651839,1.3333,0.6,0.061053,0.07363,0.978505,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.1,all_to_all,strong_heterogeneity,additive_phase eps=0.25,,False,False,True,False,False,1.2617,1.9286,1.3,0.0748,0.079097,0.973085,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.1,chain,near_identical,additive_phase eps=0.25,,False,False,True,False,True,0.325597,1.1667,0.3,0.064211,0.068556,0.981559,partial_phase_lock
pco_simple,additive_phase_eps0.25_r0.1,chain,strong_heterogeneity,additive_phase eps=0.25,,False,False,True,False,False,0.867978,1.6429,0.9,0.0774,0.088065,0.976829,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.25_r0.1,directed_chain,near_identical,additive_phase eps=0.25,,False,False,True,False,True,0.325597,1.1667,0.3,0.064211,0.068556,0.981559,partial_phase_lock
pco_simple,additive_phase_eps0.25_r0.1,directed_chain,strong_heterogeneity,additive_phase eps=0.25,,False,False,True,False,False,0.867978,1.6429,0.9,0.0774,0.088065,0.976829,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.05,all_to_all,near_identical,additive_phase eps=0.3,,False,False,True,False,False,0.985548,1.5556,1.0,0.037797,0.050685,0.978136,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.05,all_to_all,strong_heterogeneity,additive_phase eps=0.3,,False,False,True,False,False,1.492537,2.0714,1.5,0.0516,0.0548,0.977394,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.05,chain,near_identical,additive_phase eps=0.3,,False,False,True,False,False,0.471193,1.2778,0.5,0.040339,0.051869,0.98437,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.05,chain,strong_heterogeneity,additive_phase eps=0.3,,False,False,True,False,False,1.28524,1.9286,1.3,0.065,0.074662,0.97506,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.05,directed_chain,near_identical,additive_phase eps=0.3,,False,False,True,False,False,0.471193,1.2778,0.5,0.040339,0.051869,0.98437,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.05,directed_chain,strong_heterogeneity,additive_phase eps=0.3,,False,False,True,False,False,1.28524,1.9286,1.3,0.065,0.074662,0.97506,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.1,all_to_all,near_identical,additive_phase eps=0.3,,False,False,True,False,False,0.651839,1.3333,0.6,0.055263,0.06315,0.979232,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.1,all_to_all,strong_heterogeneity,additive_phase eps=0.3,,False,False,True,False,False,1.2617,1.9286,1.3,0.0818,0.087467,0.9727,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.1,chain,near_identical,additive_phase eps=0.3,,False,False,True,False,True,0.325597,1.1667,0.3,0.057895,0.057251,0.983024,partial_phase_lock
