common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
2.281255,,0.224082,0,1,acquisition,,0.280032,0.470421,0,3e-06,0
2.281255,,0.224082,0,1,acquisition,,0.267345,0.494222,0,0.429614,0
2.299724,,0.188876,0,1,acquisition,,0.249909,0.56426,0,0.694931,0
2.50914,,0.385692,0,1,acquisition,,0.243856,0.603497,0,0.923236,0
2.686745,,0.625633,0,1,acquisition,,0.227506,0.645385,0,1.165587,0
2.769551,,0.687745,0,1,acquisition,,0.251472,0.55404,0,1.390224,0
2.786648,,0.651144,0,1,acquisition,,0.329721,0.344653,0,1.632169,0
2.767916,,0.532652,0,1,acquisition,,0.333333,0.195226,0,1.857351,0
2.73913,,0.439878,0,1,acquisition,,0.313768,0.390306,0,2.057615,0
2.721637,,0.345651,0,1,acquisition,,0.24111,0.606906,0,2.257858,0
2.704482,,0.291278,0,1,acquisition,,0.196404,0.728099,0,2.460075,0
2.691703,,0.23409,0,1,acquisition,,0.135842,0.867154,0,2.691241,0
2.677315,,0.202384,0,1,acquisition,,0.116378,0.90194,0,2.932894,0
2.649007,,0.222192,0,1,acquisition,,0.0889,0.94203,0,3.158135,0
2.637487,,0.243537,0,1,acquisition,,0.055209,0.9726,0,3.358278,0
2.637912,,0.240577,0,1,acquisition,,0.150352,0.835058,0,3.558501,0
2.639603,,0.233035,0,1,acquisition,,0.0595,0.968188,0,3.758806,0
2.63836,,0.22253,0,1,acquisition,,0.213967,0.669124,0,3.991789,0
2.635953,,0.21728,0,1,acquisition,,0.117514,0.900289,0,4.192377,0
2.630033,,0.207742,0,1,acquisition,,0.245043,0.572208,0,4.39259,0
2.627017,,0.200767,0,1,acquisition,,0.139496,0.858313,0,4.625992,0
2.621976,,0.186298,0,1,acquisition,,0.132116,0.872084,0,4.89984,0
2.609301,,0.17443,0,1,acquisition,,0.157903,0.813316,0,5.126255,0
2.595084,,0.159836,0,1,acquisition,,0.096219,0.932342,0,5.402695,0
2.578428,,0.129396,0,1,acquisition,,0.310408,0.373097,0,5.626392,0
2.572455,,0.119564,0,1,acquisition,,0.214104,0.66417,0,5.826786,0
2.561934,,0.111383,0,1,acquisition,,0.182502,0.768166,0,6.1335,0
2.56117,,0.101888,0,1,acquisition,,0.218026,0.676913,0,6.360351,0
2.562185,,0.096888,0,1,acquisition,,0.229503,0.642852,0,6.560887,0
2.563132,,0.094302,0,1,acquisition,,0.217889,0.67617,0,6.793809,0
2.562825,,0.095913,0,1,acquisition,,0.209525,0.699635,0,6.994237,0
2.560017,,0.10544,0,1,acquisition,,0.333333,0.196232,0,7.22741,0
2.559636,,0.10684,0,1,acquisition,,0.249726,0.585869,0,7.427884,0
2.561503,,0.105017,0,1,acquisition,,0.333333,0.168806,0,7.729085,0
2.559509,,0.105167,0,1,acquisition,,0.282281,0.485256,0,7.931967,0
2.5567,,0.094608,0,1,acquisition,,0.297654,0.438989,0,8.161618,0
2.55398,,0.075804,0,1,acquisition,,0.296805,0.43941,0,8.361959,0
2.54785,,0.067759,0,1,acquisition,,0.296132,0.440185,0,8.595401,0
2.539689,,0.068064,0,1,acquisition,,0.294186,0.445105,0,8.795409,0
2.531461,,0.065748,0,1,acquisition,,0.294587,0.443578,0,8.99557,0
2.521055,,0.059862,0,1,acquisition,,0.333333,0.107843,0,9.228607,0
2.518845,,0.051947,0,1,acquisition,,0.290869,0.452317,0,9.429117,0
2.514228,,0.040197,0,1,acquisition,,0.276081,0.488912,0,9.699646,0
2.50791,,0.040138,0,1,acquisition,,0.276618,0.486632,0,9.929482,0
2.502161,,0.041045,0,1,acquisition,,0.277893,0.482621,0,10.162837,0
2.496918,,0.044687,0,1,acquisition,,0.281948,0.471977,0,10.362896,0
2.492974,,0.0459,0,1,acquisition,,0.285569,0.46235,0,10.562979,0
2.487627,,0.048372,0,1,acquisition,,0.333333,0.113861,0,10.796504,0
2.485264,,0.051445,0,1,acquisition,,0.243634,0.554516,0,10.996911,0
2.480428,,0.05416,0,1,acquisition,,0.333333,0.08501,0,11.23015,0
2.47849,,0.056868,0,1,acquisition,,0.252971,0.533358,0,11.430541,0
2.472967,,0.065208,0,1,acquisition,,0.256862,0.524036,0,11.733731,0
2.468609,,0.073,0,1,acquisition,,0.270824,0.492831,0,11.963804,0
2.465517,,0.077908,0,1,acquisition,,0.275383,0.481888,0,12.197668,0
2.460369,,0.089662,0,1,acquisition,,0.286077,0.456432,0,12.430747,0
2.458382,,0.09289,0,1,acquisition,,0.294728,0.435094,0,12.63086,0
2.456445,,0.096256,0,1,acquisition,,0.294832,0.434104,0,12.831142,0
2.455481,,0.096995,0,1,acquisition,,0.289763,0.445563,0,13.035016,0
2.454315,,0.097695,0,1,acquisition,,0.333333,0.113235,0,13.264642,0
2.453348,,0.099399,0,1,acquisition,,0.303767,0.411,0,13.46513,0
2.450873,,0.104196,0,1,acquisition,,0.333333,0.084581,0,13.698399,0
2.449609,,0.106905,0,1,acquisition,,0.310523,0.393791,0,13.89892,0
2.447634,,0.110609,0,1,acquisition,,0.308331,0.399324,0,14.202976,0
2.446007,,0.113712,0,1,acquisition,,0.317463,0.37563,0,14.432355,0
2.445069,,0.1144,0,1,acquisition,,0.318239,0.373338,0,14.635995,0
2.440844,,0.112576,0,1,acquisition,,0.325385,0.354589,0,14.866151,0
2.43711,,0.109821,0,1,acquisition,,0.330468,0.341053,0,15.09943,0
2.436069,,0.111277,0,1,acquisition,,0.333333,0.324552,0,15.299534,0
2.436167,,0.112204,0,1,acquisition,,0.333333,0.299691,0,15.499972,0
2.437124,,0.111498,0,1,acquisition,,0.333333,0.274561,0,15.732839,0
2.436773,,0.109642,0,1,acquisition,,0.333333,0.263798,0,15.933345,0
2.432881,,0.102836,0,1,acquisition,,0.333333,0.067641,0,16.166497,0
2.431375,,0.100734,0,1,acquisition,,0.303943,0.411198,0,16.367054,0
2.426593,,0.095013,0,1,acquisition,,0.333333,0.056144,0,16.600072,0
2.425191,,0.093922,0,1,acquisition,,0.29912,0.422975,0,16.800604,0
2.42177,,0.090544,0,1,acquisition,,0.318833,0.372711,0,17.121941,0
2.422407,,0.092878,0,1,acquisition,,0.29966,0.422914,0,17.33427,0
2.423878,,0.096078,0,1,acquisition,,0.294697,0.435381,0,17.54047,0
2.422229,,0.098044,0,1,acquisition,,0.309415,0.397871,0,17.767795,0
2.42,,0.097773,0,1,acquisition,,0.315418,0.381993,0,17.968,0
2.417219,,0.097236,0,1,acquisition,,0.322256,0.363547,0,18.16803,0
2.413669,,0.096827,0,1,acquisition,,0.315066,0.382036,0,18.377092,0
2.409787,,0.097338,0,1,acquisition,,0.333333,0.32877,0,18.601555,0
2.408766,,0.096823,0,1,acquisition,,0.333333,0.323746,0,18.801959,0
2.411477,,0.09715,0,1,acquisition,,0.333333,0.327342,0,19.035224,0
2.412005,,0.09562,0,1,acquisition,,0.333333,0.324684,0,19.235465,0
2.408211,,0.089846,0,1,acquisition,,0.332836,0.334626,0,19.468889,0
2.405393,,0.086684,0,1,acquisition,,0.332537,0.335387,0,19.669402,0
2.403747,,0.082127,0,1,acquisition,,0.332287,0.335977,0,19.902502,0
2.401345,,0.076201,0,1,acquisition,,0.332353,0.335771,0,20.102892,0
2.396806,,0.06539,0,1,acquisition,,0.333333,0.06124,0,20.335971,0
2.393779,,0.060173,0,1,acquisition,,0.329615,0.342649,0,20.536187,0
2.386519,,0.052853,0,1,acquisition,,0.333333,0.050623,0,20.769567,0
2.384614,,0.052733,0,1,acquisition,,0.275899,0.468747,0,20.969728,0
