agent_id,f_lock_hz,fire_count,flash_on,frequency_hz,lock_hold_state,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,,1,1,2.17104,acquisition,2.237574,0,1,virtual,3e-06,all_to_all
V1,,1,0,2.395122,acquisition,4.876811,0,1,virtual,3e-06,all_to_all
P0,,0,0,2.277602,acquisition,4.281547,,0,pi,3e-06,all_to_all
V0,,1,1,2.17104,acquisition,3.718918,0,1,virtual,0.429614,all_to_all
V1,,2,1,2.395122,acquisition,6.238587,0,1,virtual,0.429614,all_to_all
P0,,1,1,2.277602,acquisition,4.146358,,0,pi,0.429614,all_to_all
V0,,1,0,2.216347,acquisition,6.181707,2,5,virtual,0.694931,all_to_all
V1,,3,1,2.405223,acquisition,2.253859,2,3,virtual,0.694931,all_to_all
P0,,2,0,2.277602,acquisition,1.660021,,0,pi,0.694931,all_to_all
V0,,2,1,2.586523,acquisition,3.869244,2,5,virtual,0.923236,all_to_all
V1,,3,0,2.663294,acquisition,6.167529,2,4,virtual,0.923236,all_to_all
P0,,2,0,2.277602,acquisition,4.829193,,0,pi,0.923236,all_to_all
V0,,3,1,2.876852,acquisition,1.010952,3,7,virtual,1.165587,all_to_all
V1,,4,1,2.904508,acquisition,3.155148,3,6,virtual,1.165587,all_to_all
P0,,3,0,2.278875,acquisition,1.793843,,1,pi,1.165587,all_to_all
V0,,3,0,2.994383,acquisition,5.366356,3,8,virtual,1.390224,all_to_all
V1,,5,1,3.001008,acquisition,0.920213,3,6,virtual,1.390224,all_to_all
P0,,3,0,2.313263,acquisition,4.833335,,0,pi,1.390224,all_to_all
V0,,4,1,3.003507,acquisition,3.519637,4,9,virtual,1.632169,all_to_all
V1,,5,0,3.00379,acquisition,5.14675,4,8,virtual,1.632169,all_to_all
P0,,4,0,2.352646,acquisition,2.039207,,0,pi,1.632169,all_to_all
V0,,5,1,2.947228,acquisition,1.716219,4,10,virtual,1.857351,all_to_all
V1,,6,1,2.941945,acquisition,3.05147,4,9,virtual,1.857351,all_to_all
P0,,4,0,2.414576,acquisition,5.419985,,0,pi,1.857351,all_to_all
V0,,5,0,2.888209,acquisition,5.505874,5,11,virtual,2.057615,all_to_all
V1,,7,1,2.880849,acquisition,0.287112,5,10,virtual,2.057615,all_to_all
P0,,5,0,2.448331,acquisition,2.179879,,0,pi,2.057615,all_to_all
V0,,6,1,2.837856,acquisition,2.921626,5,12,virtual,2.257858,all_to_all
V1,,7,1,2.834849,acquisition,3.751784,5,11,virtual,2.257858,all_to_all
P0,,5,0,2.492205,acquisition,5.194032,,0,pi,2.257858,all_to_all
V0,,7,1,2.794956,acquisition,0.229471,6,14,virtual,2.460075,all_to_all
V1,,8,1,2.804884,acquisition,0.89434,6,12,virtual,2.460075,all_to_all
P0,,6,0,2.513606,acquisition,2.080535,,0,pi,2.460075,all_to_all
V0,,7,1,2.752088,acquisition,4.297317,6,14,virtual,2.691241,all_to_all
V1,,8,0,2.778555,acquisition,4.8462,6,13,virtual,2.691241,all_to_all
P0,,6,0,2.544465,acquisition,5.577593,,0,pi,2.691241,all_to_all
V0,,8,1,2.71702,acquisition,1.983608,8,17,virtual,2.932894,all_to_all
V1,,9,1,2.758655,acquisition,2.479245,8,16,virtual,2.932894,all_to_all
P0,,8,0,2.556271,acquisition,3.080446,,0,pi,2.932894,all_to_all
V0,,9,1,2.684188,acquisition,0.655892,8,18,virtual,3.158135,all_to_all
V1,,10,1,2.742512,acquisition,1.129197,8,17,virtual,3.158135,all_to_all
P0,,9,1,2.52032,acquisition,0.29133,,0,pi,3.158135,all_to_all
V0,,9,1,2.675495,acquisition,2.844217,9,19,virtual,3.358278,all_to_all
V1,,10,1,2.740251,acquisition,3.317113,9,18,virtual,3.358278,all_to_all
P0,,9,0,2.496714,acquisition,3.364554,,0,pi,3.358278,all_to_all
V0,,10,1,2.667608,acquisition,0.959052,9,20,virtual,3.558501,all_to_all
V1,,11,1,2.743352,acquisition,1.455986,9,19,virtual,3.558501,all_to_all
P0,,10,1,2.502775,acquisition,0.038953,,0,pi,3.558501,all_to_all
V0,,10,1,2.665447,acquisition,3.147507,10,21,virtual,3.758806,all_to_all
V1,,11,1,2.743199,acquisition,3.657626,10,20,virtual,3.758806,all_to_all
P0,,10,0,2.510164,acquisition,3.09685,,0,pi,3.758806,all_to_all
V0,,11,1,2.661983,acquisition,1.772313,10,22,virtual,3.991789,all_to_all
V1,,12,1,2.737814,acquisition,2.300371,10,21,virtual,3.991789,all_to_all
P0,,11,1,2.515284,acquisition,0.283775,,0,pi,3.991789,all_to_all
V0,,11,1,2.660733,acquisition,3.942718,11,23,virtual,4.192377,all_to_all
V1,,12,0,2.732203,acquisition,4.469597,11,22,virtual,4.192377,all_to_all
P0,,11,0,2.514923,acquisition,3.362054,,0,pi,4.192377,all_to_all
V0,,12,1,2.658498,acquisition,1.97318,11,24,virtual,4.39259,all_to_all
V1,,13,1,2.719671,acquisition,2.484531,11,23,virtual,4.39259,all_to_all
P0,,12,1,2.511929,acquisition,0.175056,,0,pi,4.39259,all_to_all
