agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9649,,75.0,0,,8.130315
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7982,,97.0,1,,8.361959
P0,,,pi_flash,2.506118,,,,0.327751,,,,8.421432
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,8.421432,8.421432
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9474,,74.0,0,,8.532577
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8349,,101.0,1,,8.795409
P0,,,pi_flash,2.496954,,,,0.707191,,,,8.840483
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,8.840483,8.840483
V0,,0,pi_detected_virtual_flash,,0.0,1,0.887,,71.0,0,,8.930217
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8445,,102.0,1,,9.129086
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7853,,65.0,0,,9.228607
P0,,,pi_flash,2.484694,,,,0.503155,,,,9.228607
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,9.228607,9.228607
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9,,108.0,1,,9.562432
P0,,,pi_flash,2.490405,,,,0.055565,,,,9.595674
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,9.595674,9.595674
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9153,,74.0,0,,9.699646
V1,,0,pi_detected_virtual_flash,,0.0,1,0.841,,101.0,1,,9.996221
P0,,,pi_flash,2.480913,,,,0.115647,,,,9.996221
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,9.996221,9.996221
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9607,,114.0,1,,10.329911
P0,,,pi_flash,2.467672,,,,0.244409,,,,10.406589
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,10.406589,10.406589
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7744,,66.0,0,,10.529344
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9249,,110.0,1,,10.762849
P0,,,pi_flash,2.456643,,,,0.00514,,,,10.796504
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,10.796504,10.796504
V0,,0,pi_detected_virtual_flash,,0.0,1,0.95,,77.0,0,,10.913501
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9358,,111.0,1,,11.196546
P0,,,pi_flash,2.445244,,,,0.44736,,,,11.23015
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,11.23015,11.23015
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,83.0,0,,11.35353
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,119.0,1,,11.63015
P0,,,pi_flash,2.431776,,,,0.307564,,,,11.63015
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,11.63015,11.63015
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9032,,76.0,0,,11.733731
V1,,0,pi_detected_virtual_flash,,0.0,1,0.6909,,85.0,1,,11.93083
P0,,,pi_flash,2.418127,,,,0.135747,,,,12.030659
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,12.030659,12.030659
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9839,,81.0,0,,12.163627
V1,,0,pi_detected_virtual_flash,,0.0,1,0.6818,,84.0,1,,12.364323
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8578,,74.0,0,,12.486415
P0,,,pi_flash,2.399383,,,,0.787601,,,,12.486415
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,12.486415,12.486415
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7,,86.0,1,,12.798154
P0,,,pi_flash,2.392185,,,,0.507893,,,,12.879428
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,12.879428,12.879428
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8254,,72.0,0,,12.967569
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7091,,87.0,1,,13.231563
P0,,,pi_flash,2.389441,,,,0.09136,,,,13.264642
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,13.264642,13.264642
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8254,,72.0,0,,13.381486
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8727,,105.0,1,,13.564986
P0,,,pi_flash,2.381567,,,,0.41027,,,,13.698399
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,13.698399,13.698399
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8889,,76.0,0,,13.804547
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8909,,107.0,1,,13.99879
P0,,,pi_flash,2.374555,,,,0.248958,,,,14.09849
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,14.09849,14.09849
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9524,,80.0,0,,14.202976
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8917,,107.0,1,,14.432355
P0,,,pi_flash,2.369269,,,,0.558634,,,,14.532207
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,14.532207,14.532207
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9844,,83.0,0,,14.635995
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9099,,109.0,1,,14.866151
P0,,,pi_flash,2.365045,,,,0.315045,,,,14.932392
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,14.932392,14.932392
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9385,,81.0,0,,15.037796
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8644,,104.0,1,,15.299534
P0,,,pi_flash,2.361611,,,,0.242392,,,,15.345848
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,15.345848,15.345848
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8182,,74.0,0,,15.436872
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8899,,106.0,1,,15.633073
P0,,,pi_flash,2.363081,,,,0.468691,,,,15.777333
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,15.777333,15.777333
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8663,,77.0,0,,15.871978
