t_s,event_type
0.994422,follower_flash
1.136237,follower_flash
1.70529,leader_flash
1.70529,follower_flash
2.25584,leader_flash
2.25584,follower_flash
2.719386,leader_flash
2.806441,follower_flash
3.274834,leader_flash
3.357233,follower_flash
3.744257,leader_flash
3.908329,follower_flash
4.199161,leader_flash
4.450765,follower_flash
4.742753,leader_flash
4.997336,follower_flash
5.196555,leader_flash
5.554057,follower_flash
5.746412,leader_flash
6.102511,follower_flash
6.200086,leader_flash
6.64897,follower_flash
6.74234,leader_flash
7.09765,follower_flash
7.196108,leader_flash
7.654564,follower_flash
7.746823,leader_flash
8.20018,leader_flash
8.20018,follower_flash
8.648873,follower_flash
8.74237,leader_flash
9.195882,leader_flash
9.195882,follower_flash
9.654635,follower_flash
9.746333,leader_flash
10.2,leader_flash
10.2,follower_flash
10.648007,follower_flash
10.741777,leader_flash
11.196292,leader_flash
11.196292,follower_flash
11.654081,follower_flash
11.745899,leader_flash
12.199597,leader_flash
12.199597,follower_flash
12.648076,follower_flash
12.742124,leader_flash
13.201867,leader_flash
13.201867,follower_flash
13.651383,follower_flash
13.744284,leader_flash
14.196635,leader_flash
14.196635,follower_flash
14.653664,follower_flash
14.746046,leader_flash
15.19934,leader_flash
15.19934,follower_flash
15.647856,follower_flash
15.741198,leader_flash
16.201701,leader_flash
16.201701,follower_flash
16.651105,follower_flash
16.743547,leader_flash
17.195905,leader_flash
17.195905,follower_flash
17.653174,follower_flash
17.745978,leader_flash
18.198894,leader_flash
18.198894,follower_flash
18.646623,follower_flash
18.740945,leader_flash
19.200877,leader_flash
19.200877,follower_flash
19.650828,follower_flash
19.742536,leader_flash
20.195106,leader_flash
20.195106,follower_flash
20.652787,follower_flash
20.74539,leader_flash
21.198763,leader_flash
21.198763,follower_flash
21.646631,follower_flash
21.740779,leader_flash
22.200729,leader_flash
22.200729,follower_flash
22.650018,follower_flash
22.742549,leader_flash
23.195468,leader_flash
23.195468,follower_flash
23.653198,follower_flash
23.745345,leader_flash
24.198296,leader_flash
24.198296,follower_flash
24.646512,follower_flash
24.740046,leader_flash
25.200645,leader_flash
25.200645,follower_flash
25.650104,follower_flash
25.742827,leader_flash
26.19544,leader_flash
26.19544,follower_flash
26.653433,follower_flash
26.745401,leader_flash
27.198061,leader_flash
27.198061,follower_flash
27.646217,follower_flash
27.740019,leader_flash
28.200557,leader_flash
28.200557,follower_flash
28.649547,follower_flash
28.74252,leader_flash
29.19527,leader_flash
29.19527,follower_flash
29.652409,follower_flash
29.745086,leader_flash
