model,variant,topology,freq_set,n_agents,n_trials,zero_lag_group_sync_success_rate,phase_locked_group_success_rate,phase_sync_success_rate,frequency_lock_success_rate,one_to_one_flash_lock_success_rate,mean_final_frequency_spread_hz,mean_flash_count_ratio,mean_extra_flash_rate_hz,mean_mean_pairwise_timing_error_s,mean_mean_pairwise_offset_jitter_s,mean_mean_order_parameter_R,dominant_diagnostic
eapf_consensus,consensus,chain_5,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011053,0.004262,0.996226,full_group_sync
eapf_consensus,consensus,chain_5,n5_strong_heterogeneity,5,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.022733,0.066393,0.999405,full_group_sync
eapf_consensus,consensus,local_degree_2_3,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.005579,0.003587,0.998696,full_group_sync
eapf_consensus,consensus,local_degree_2_3,n5_strong_heterogeneity,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.003375,0.003749,0.999843,full_group_sync
eapf_consensus,consensus,local_ring_5,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.007895,0.004262,0.997886,full_group_sync
eapf_consensus,consensus,local_ring_5,n5_strong_heterogeneity,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.004625,0.003791,0.999714,full_group_sync
eapf_tracker,tracker,chain_5,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.008863,0.004289,0.997256,full_group_sync
eapf_tracker,tracker,chain_5,n5_strong_heterogeneity,5,10,0.0,0.1,0.0,0.0,0.0,0.900844,1.54375,0.87,0.061108,0.067447,0.652308,extra_flashes_or_harmonic_locking
eapf_tracker,tracker,local_degree_2_3,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.008863,0.004289,0.997775,full_group_sync
eapf_tracker,tracker,local_degree_2_3,n5_strong_heterogeneity,5,10,0.4,0.4,0.4,0.4,0.4,0.452237,1.2625,0.42,0.040828,0.044091,0.846217,extra_flashes_or_harmonic_locking
eapf_tracker,tracker,local_ring_5,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.006442,0.003863,0.99817,full_group_sync
eapf_tracker,tracker,local_ring_5,n5_strong_heterogeneity,5,10,0.0,0.1,0.0,0.0,0.0,0.896724,1.54375,0.87,0.058127,0.064915,0.661634,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_near_identical,5,10,0.0,1.0,0.0,1.0,1.0,0.001465,1.0,0.0,0.075079,0.004087,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_strong_heterogeneity,5,10,0.0,0.0,0.0,0.0,0.0,0.356799,1.2105,0.4,0.112071,0.094066,0.402053,extra_flashes_or_harmonic_locking
